county,precinct,office,district,party,candidate,total,poll,absentee,,,,,
Yakima,YAKIMA  0101,,,,Registered,692,,,,,,,
Yakima,YAKIMA  0104,,,,Registered,478,,,,,,,
Yakima,YAKIMA  0105,,,,Registered,148,,,,,,,
Yakima,YAKIMA  0109,,,,Registered,295,,,,,,,
Yakima,YAKIMA  0110,,,,Registered,693,,,,,,,
Yakima,YAKIMA  0111,,,,Registered,441,,,,,,,
Yakima,YAKIMA  0114,,,,Registered,730,,,,,,,
Yakima,YAKIMA  0116,,,,Registered,221,,,,,,,
Yakima,YAKIMA  0118,,,,Registered,312,,,,,,,
Yakima,YAKIMA  0120,,,,Registered,238,,,,,,,
Yakima,YAKIMA  0123,,,,Registered,739,,,,,,,
Yakima,YAKIMA  0126,,,,Registered,957,,,,,,,
Yakima,YAKIMA  0127,,,,Registered,610,,,,,,,
Yakima,YAKIMA  0129,,,,Registered,612,,,,,,,
Yakima,YAKIMA  0131,,,,Registered,803,,,,,,,
Yakima,YAKIMA  0133,,,,Registered,730,,,,,,,
Yakima,YAKIMA  0134,,,,Registered,456,,,,,,,
Yakima,YAKIMA  0136,,,,Registered,716,,,,,,,
Yakima,YAKIMA  0138,,,,Registered,612,,,,,,,
Yakima,YAKIMA  0140,,,,Registered,331,,,,,,,
Yakima,YAKIMA  0142,,,,Registered,783,,,,,,,
Yakima,YAKIMA  0143,,,,Registered,469,,,,,,,
Yakima,YAKIMA  0145,,,,Registered,445,,,,,,,
Yakima,YAKIMA  0146,,,,Registered,624,,,,,,,
Yakima,YAKIMA  0149,,,,Registered,788,,,,,,,
Yakima,YAKIMA  0151,,,,Registered,443,,,,,,,
Yakima,YAKIMA  0153,,,,Registered,707,,,,,,,
Yakima,YAKIMA  0154,,,,Registered,458,,,,,,,
Yakima,YAKIMA  0155,,,,Registered,790,,,,,,,
Yakima,YAKIMA  0156,,,,Registered,677,,,,,,,
Yakima,YAKIMA  0161,,,,Registered,705,,,,,,,
Yakima,YAKIMA  0162,,,,Registered,720,,,,,,,
Yakima,YAKIMA  0163,,,,Registered,575,,,,,,,
Yakima,YAKIMA  0164,,,,Registered,15,,,,,,,
Yakima,YAKIMA  0165,,,,Registered,16,,,,,,,
Yakima,YAKIMA  0167,,,,Registered,588,,,,,,,
Yakima,YAKIMA  0169,,,,Registered,845,,,,,,,
Yakima,YAKIMA  0170,,,,Registered,520,,,,,,,
Yakima,YAKIMA  0172,,,,Registered,910,,,,,,,
Yakima,YAKIMA  0174,,,,Registered,757,,,,,,,
Yakima,YAKIMA  0175,,,,Registered,926,,,,,,,
Yakima,YAKIMA  0176,,,,Registered,518,,,,,,,
Yakima,YAKIMA  0179,,,,Registered,854,,,,,,,
Yakima,YAKIMA  0180,,,,Registered,671,,,,,,,
Yakima,YAKIMA  0183,,,,Registered,914,,,,,,,
Yakima,YAKIMA  0184,,,,Registered,909,,,,,,,
Yakima,YAKIMA  0185,,,,Registered,842,,,,,,,
Yakima,YAKIMA  0186,,,,Registered,292,,,,,,,
Yakima,YAKIMA  0190,,,,Registered,413,,,,,,,
Yakima,GRANDVIEW  0301,,,,Registered,206,,,,,,,
Yakima,GRANDVIEW  0302,,,,Registered,811,,,,,,,
Yakima,GRANDVIEW  0303,,,,Registered,948,,,,,,,
Yakima,GRANDVIEW  0306,,,,Registered,799,,,,,,,
Yakima,GRANGER 0501,,,,Registered,605,,,,,,,
Yakima,HARRAH  0701,,,,Registered,190,,,,,,,
Yakima,MABTON  0901,,,,Registered,455,,,,,,,
Yakima,MOXEE 1101,,,,Registered,474,,,,,,,
Yakima,NACHES  1301,,,,Registered,389,,,,,,,
Yakima,SELAH  1501,,,,Registered,742,,,,,,,
Yakima,SELAH  1502,,,,Registered,769,,,,,,,
Yakima,SELAH  1503,,,,Registered,619,,,,,,,
Yakima,SELAH  1504,,,,Registered,703,,,,,,,
Yakima,SUNNYSIDE  1701,,,,Registered,798,,,,,,,
Yakima,SUNNYSIDE  1702,,,,Registered,674,,,,,,,
Yakima,SUNNYSIDE  1703,,,,Registered,701,,,,,,,
Yakima,SUNNYSIDE  1706,,,,Registered,749,,,,,,,
Yakima,SUNNYSIDE  1708,,,,Registered,631,,,,,,,
Yakima,TIETON  1901,,,,Registered,332,,,,,,,
Yakima,TOPPENISH  2101,,,,Registered,601,,,,,,,
Yakima,TOPPENISH  2103,,,,Registered,958,,,,,,,
Yakima,TOPPENISH  2107,,,,Registered,697,,,,,,,
Yakima,UNION  GAP  2301,,,,Registered,575,,,,,,,
Yakima,UNION GAP  2303,,,,Registered,535,,,,,,,
Yakima,UNION GAP  2304,,,,Registered,235,,,,,,,
Yakima,UNION  GAP  2305,,,,Registered,251,,,,,,,
Yakima,UNION  GAP  2306,,,,Registered,741,,,,,,,
Yakima,WAPATO  2501,,,,Registered,857,,,,,,,
Yakima,WAPATO  2503,,,,Registered,295,,,,,,,
Yakima,ZILLAH 2701,,,,Registered,812,,,,,,,
Yakima,ZILLAH 2702,,,,Registered,329,,,,,,,
Yakima,ALFALFA  3002,,,,Registered,224,,,,,,,
Yakima,APPLE  VALLEY  3003,,,,Registered,916,,,,,,,
Yakima,BELMA  3101,,,,Registered,522,,,,,,,
Yakima,BRADSHAW  3102,,,,Registered,1032,,,,,,,
Yakima,BUENA  3104,,,,Registered,526,,,,,,,
Yakima,BYRON  3105,,,,Registered,67,,,,,,,
Yakima,BUTTERFIELD  3106,,,,Registered,670,,,,,,,
Yakima,CHINOOK  3203,,,,Registered,398,,,,,,,
Yakima,CLIFFDELL  3204,,,,Registered,107,,,,,,,
Yakima,COTTONWOOD  3205,,,,Registered,489,,,,,,,
Yakima,COUNTRY  CLUB  3206,,,,Registered,774,,,,,,,
Yakima,COWICHE  CANYON  3208,,,,Registered,117,,,,,,,
Yakima,CRESCENT  3209,,,,Registered,13,,,,,,,
Yakima,E  AHTANUM  3301,,,,Registered,739,,,,,,,
Yakima,E  GRANGER  3303,,,,Registered,338,,,,,,,
Yakima,E  MOXEE  3304,,,,Registered,678,,,,,,,
Yakima,E  NACHES  3305,,,,Registered,719,,,,,,,
Yakima,E  SELAH  3306,,,,Registered,361,,,,,,,
Yakima,E  TIETON  3308,,,,Registered,567,,,,,,,
Yakima,E  TOPPENISH  3309,,,,Registered,94,,,,,,,
Yakima,E  WAPATO  3310,,,,Registered,404,,,,,,,
Yakima,E  ZILLAH  3311,,,,Registered,732,,,,,,,
Yakima,ENGLEWOOD  3312,,,,Registered,755,,,,,,,
Yakima,ESCHBACH  3313,,,,Registered,589,,,,,,,
Yakima,FULLBRIGHT  3503,,,,Registered,61,,,,,,,
Yakima,FIRING  CENTER  3504,,,,Registered,16,,,,,,,
Yakima,GLADE  3601,,,,Registered,42,,,,,,,
Yakima,GLEED  3602,,,,Registered,270,,,,,,,
Yakima,GROMORE  3605,,,,Registered,1052,,,,,,,
Yakima,HARRAH  RURAL  3701,,,,Registered,680,,,,,,,
Yakima,HARWOOD  3702,,,,Registered,987,,,,,,,
Yakima,LIBERTY  3902,,,,Registered,362,,,,,,,
Yakima,LOWER WENAS  3903,,,,Registered,1176,,,,,,,
Yakima,LOWER  NACHES  3904,,,,Registered,29,,,,,,,
Yakima,MCKINLEY  4001,,,,Registered,522,,,,,,,
Yakima,MABTON  RURAL  4002,,,,Registered,363,,,,,,,
Yakima,MOXEE  RURAL  4003,,,,Registered,502,,,,,,,
Yakima,NACHES  HTS  4101,,,,Registered,272,,,,,,,
Yakima,NILE  4102,,,,Registered,565,,,,,,,
Yakima,N  COWICHE  4104,,,,Registered,565,,,,,,,
Yakima,N  GRANDVIEW  4105,,,,Registered,297,,,,,,,
Yakima,N  HOLLAND  4106,,,,Registered,754,,,,,,,
Yakima,N  SELAH  HGTS  4108,,,,Registered,862,,,,,,,
Yakima,N  SUNNYSIDE  4109,,,,Registered,390,,,,,,,
Yakima,N  TOPPENISH  4110,,,,Registered,469,,,,,,,
Yakima,N  GLEED  4111,,,,Registered,590,,,,,,,
Yakima,N  SELAH  4112,,,,Registered,774,,,,,,,
Yakima,N  TAMPICO  4114,,,,Registered,105,,,,,,,
Yakima,N  WENAS  4115,,,,Registered,245,,,,,,,
Yakima,ORCHARD  4302,,,,Registered,139,,,,,,,
Yakima,OUTLOOK  4303,,,,Registered,277,,,,,,,
Yakima,PARKER  HGTS  4401,,,,Registered,444,,,,,,,
Yakima,POMONA  4402,,,,Registered,610,,,,,,,
Yakima,REST  HAVEN  4501,,,,Registered,292,,,,,,,
Yakima,ROZA  4502,,,,Registered,452,,,,,,,
Yakima,RIMROCK  4503,,,,Registered,105,,,,,,,
Yakima,ROZA HILL  4504,,,,Registered,453,,,,,,,
Yakima,SCENIC  4601,,,,Registered,282,,,,,,,
Yakima,SELAH  CENTRAL  4602,,,,Registered,536,,,,,,,
Yakima,SELAH  EXTENSION  4603,,,,Registered,890,,,,,,,
Yakima,SELAH  RURAL  4604,,,,Registered,284,,,,,,,
Yakima,SHELLER  4605,,,,Registered,387,,,,,,,
Yakima,SLAVIN  4606,,,,Registered,491,,,,,,,
Yakima,S  AIRPORT  4607,,,,Registered,36,,,,,,,
Yakima,S  COWICHE  4609,,,,Registered,276,,,,,,,
Yakima,S  GRANDVIEW  4610,,,,Registered,553,,,,,,,
Yakima,S  HOLLAND  4611,,,,Registered,327,,,,,,,
Yakima,S  NOB  HILL  4613,,,,Registered,651,,,,,,,
Yakima,S  SUNNYSIDE  4615,,,,Registered,312,,,,,,,
Yakima,S  TOPPENISH  4616,,,,Registered,433,,,,,,,
Yakima,SUNNYVALLEY  4618,,,,Registered,422,,,,,,,
Yakima,SUNTIDES  4621,,,,Registered,846,,,,,,,
Yakima,S  ZILLAH  4622,,,,Registered,381,,,,,,,
Yakima,S  AHTANUM  4623,,,,Registered,505,,,,,,,
Yakima,S  HILLS  4624,,,,Registered,220,,,,,,,
Yakima,S  WENAS  4625,,,,Registered,6,,,,,,,
Yakima,SUMMITVIEW  4626,,,,Registered,29,,,,,,,
Yakima,S  NACHES  HGHTS  4627,,,,Registered,207,,,,,,,
Yakima,S  OUTLOOK 4628,,,,Registered,236,,,,,,,
Yakima,TAMPICO 4801,,,,Registered,475,,,,,,,
Yakima,TERRACE  HGTS  4802,,,,Registered,956,,,,,,,
Yakima,WANETA  5001,,,,Registered,206,,,,,,,
Yakima,WENDELL  PHILLIPS 5002 ,,,,Registered,376,,,,,,,
Yakima,W  AHTANUM  5003,,,,Registered,968,,,,,,,
Yakima,W  NOB  HILL  5006,,,,Registered,62,,,,,,,
Yakima,W  PARKER  5007,,,,Registered,18,,,,,,,
Yakima,W  WAPATO  5009,,,,Registered,736,,,,,,,
Yakima,WESTVIEW  5010,,,,Registered,686,,,,,,,
Yakima,WESTWOOD  5011,,,,Registered,925,,,,,,,
Yakima,WHITE  SWAN  5012,,,,Registered,952,,,,,,,
Yakima,WIDE  HOLLOW  5013,,,,Registered,664,,,,,,,
Yakima,WILEY  CITY  5014,,,,Registered,603,,,,,,,
Yakima,W  SELAH  5016,,,,Registered,484,,,,,,,
Yakima,W MOXEE  5017,,,,Registered,530,,,,,,,
Yakima,WEST  VALLEY  5018,,,,Registered,645,,,,,,,
Yakima,W  WASHINGTON  5020,,,,Registered,811,,,,,,,
Yakima,YAKIMA  RIDGE  5101,,,,Registered,102,,,,,,,
Yakima,ZIER  5201,,,,Registered,475,,,,,,,
county,precinct,office,district,party,candidate,total,poll,absentee,,,,,
Yakima,YAKIMA  0101,,,,Ballots,483,138,345,,,,,
Yakima,YAKIMA  0104,,,,Ballots,269,112,157,,,,,
Yakima,YAKIMA  0105,,,,Ballots,88,54,34,,,,,
Yakima,YAKIMA  0109,,,,Ballots,161,73,88,,,,,
Yakima,YAKIMA  0110,,,,Ballots,465,221,244,,,,,
Yakima,YAKIMA  0111,,,,Ballots,285,143,142,,,,,
Yakima,YAKIMA  0114,,,,Ballots,585,282,303,,,,,
Yakima,YAKIMA  0116,,,,Ballots,190,62,128,,,,,
Yakima,YAKIMA  0118,,,,Ballots,197,73,124,,,,,
Yakima,YAKIMA  0120,,,,Ballots,130,57,73,,,,,
Yakima,YAKIMA  0123,,,,Ballots,429,168,261,,,,,
Yakima,YAKIMA  0126,,,,Ballots,597,220,377,,,,,
Yakima,YAKIMA  0127,,,,Ballots,409,218,191,,,,,
Yakima,YAKIMA  0129,,,,Ballots,443,233,210,,,,,
Yakima,YAKIMA  0131,,,,Ballots,584,269,315,,,,,
Yakima,YAKIMA  0133,,,,Ballots,618,278,340,,,,,
Yakima,YAKIMA  0134,,,,Ballots,392,178,214,,,,,
Yakima,YAKIMA  0136,,,,Ballots,599,250,349,,,,,
Yakima,YAKIMA  0138,,,,Ballots,526,221,305,,,,,
Yakima,YAKIMA  0140,,,,Ballots,223,80,143,,,,,
Yakima,YAKIMA  0142,,,,Ballots,616,153,463,,,,,
Yakima,YAKIMA  0143,,,,Ballots,307,141,166,,,,,
Yakima,YAKIMA  0145,,,,Ballots,285,121,164,,,,,
Yakima,YAKIMA  0146,,,,Ballots,537,171,366,,,,,
Yakima,YAKIMA  0149,,,,Ballots,617,255,362,,,,,
Yakima,YAKIMA  0151,,,,Ballots,395,115,280,,,,,
Yakima,YAKIMA  0153,,,,Ballots,582,192,390,,,,,
Yakima,YAKIMA  0154,,,,Ballots,345,147,198,,,,,
Yakima,YAKIMA  0155,,,,Ballots,615,238,377,,,,,
Yakima,YAKIMA  0156,,,,Ballots,469,195,274,,,,,
Yakima,YAKIMA  0161,,,,Ballots,471,206,265,,,,,
Yakima,YAKIMA  0162,,,,Ballots,531,204,327,,,,,
Yakima,YAKIMA  0163,,,,Ballots,502,182,320,,,,,
Yakima,YAKIMA  0164,,,,Ballots,13,7,6,,,,,
Yakima,YAKIMA  0165,,,,Ballots,29,24,5,,,,,
Yakima,YAKIMA  0167,,,,Ballots,402,181,221,,,,,
Yakima,YAKIMA  0169,,,,Ballots,745,285,460,,,,,
Yakima,YAKIMA  0170,,,,Ballots,430,176,254,,,,,
Yakima,YAKIMA  0172,,,,Ballots,733,260,473,,,,,
Yakima,YAKIMA  0174,,,,Ballots,663,216,447,,,,,
Yakima,YAKIMA  0175,,,,Ballots,800,283,517,,,,,
Yakima,YAKIMA  0176,,,,Ballots,411,153,258,,,,,
Yakima,YAKIMA  0179,,,,Ballots,706,217,489,,,,,
Yakima,YAKIMA  0180,,,,Ballots,526,226,300,,,,,
Yakima,YAKIMA  0183,,,,Ballots,765,166,599,,,,,
Yakima,YAKIMA  0184,,,,Ballots,656,219,437,,,,,
Yakima,YAKIMA  0185,,,,Ballots,712,248,464,,,,,
Yakima,YAKIMA  0186,,,,Ballots,257,96,161,,,,,
Yakima,YAKIMA  0190,,,,Ballots,331,122,209,,,,,
Yakima,GRANDVIEW  0301,,,,Ballots,147,116,31,,,,,
Yakima,GRANDVIEW  0302,,,,Ballots,562,273,289,,,,,
Yakima,GRANDVIEW  0303,,,,Ballots,628,315,313,,,,,
Yakima,GRANDVIEW  0306,,,,Ballots,629,252,377,,,,,
Yakima,GRANGER 0501,,,,Ballots,386,228,158,,,,,
Yakima,HARRAH  0701,,,,Ballots,139,104,35,,,,,
Yakima,MABTON  0901,,,,Ballots,287,176,111,,,,,
Yakima,MOXEE 1101,,,,Ballots,352,176,176,,,,,
Yakima,NACHES  1301,,,,Ballots,295,135,160,,,,,
Yakima,SELAH  1501,,,,Ballots,535,287,248,,,,,
Yakima,SELAH  1502,,,,Ballots,601,313,288,,,,,
Yakima,SELAH  1503,,,,Ballots,513,262,251,,,,,
Yakima,SELAH  1504,,,,Ballots,561,294,267,,,,,
Yakima,SUNNYSIDE  1701,,,,Ballots,510,234,276,,,,,
Yakima,SUNNYSIDE  1702,,,,Ballots,510,212,298,,,,,
Yakima,SUNNYSIDE  1703,,,,Ballots,592,268,324,,,,,
Yakima,SUNNYSIDE  1706,,,,Ballots,445,178,267,,,,,
Yakima,SUNNYSIDE  1708,,,,Ballots,375,184,191,,,,,
Yakima,TIETON  1901,,,,Ballots,248,119,129,,,,,
Yakima,TOPPENISH  2101,,,,Ballots,398,206,192,,,,,
Yakima,TOPPENISH  2103,,,,Ballots,613,251,362,,,,,
Yakima,TOPPENISH  2107,,,,Ballots,517,235,282,,,,,
Yakima,UNION  GAP  2301,,,,Ballots,352,181,171,,,,,
Yakima,UNION GAP  2303,,,,Ballots,358,169,189,,,,,
Yakima,UNION GAP  2304,,,,Ballots,173,123,50,,,,,
Yakima,UNION  GAP  2305,,,,Ballots,196,105,91,,,,,
Yakima,UNION  GAP  2306,,,,Ballots,478,212,266,,,,,
Yakima,WAPATO  2501,,,,Ballots,502,236,266,,,,,
Yakima,WAPATO  2503,,,,Ballots,185,96,89,,,,,
Yakima,ZILLAH 2701,,,,Ballots,662,320,342,,,,,
Yakima,ZILLAH 2702,,,,Ballots,250,125,125,,,,,
Yakima,ALFALFA  3002,,,,Ballots,158,118,40,,,,,
Yakima,APPLE  VALLEY  3003,,,,Ballots,755,303,452,,,,,
Yakima,BELMA  3101,,,,Ballots,419,153,266,,,,,
Yakima,BRADSHAW  3102,,,,Ballots,645,321,324,,,,,
Yakima,BUENA  3104,,,,Ballots,431,162,269,,,,,
Yakima,BYRON  3105,,,,Ballots,54,32,22,,,,,
Yakima,BUTTERFIELD  3106,,,,Ballots,521,217,304,,,,,
Yakima,CHINOOK  3203,,,,Ballots,339,145,194,,,,,
Yakima,CLIFFDELL  3204,,,,Ballots,100,72,28,,,,,
Yakima,COTTONWOOD  3205,,,,Ballots,375,146,229,,,,,
