County,Precinct,Office,Dist,Party,Candidate,Vote
San Juan,Blakely-Decatur,President,,D,Al Gore,30
San Juan,Blakely-Decatur,President,,R,George Bush,47
San Juan,Blakely-Decatur,President,,G,Ralph Nader,4
San Juan,Blakely-Decatur,U S Senate,,D,Maria Cantwell,30
San Juan,Blakely-Decatur,U S Senate,,R,Slade Gorton,52
San Juan,Blakely-Decatur,Congress 2,2,D,Rick Larsen,23
San Juan,Blakely-Decatur,Congress 2,2,R,John Koster,47
San Juan,Blakely-Decatur,Congress 2,2,L,Stewart Andrews,1
San Juan,Blakely-Decatur,Congress 2,2,NL,Glen Johnson,2
San Juan,Blakely-Decatur,Governor,,D,Gary Locke,35
San Juan,Blakely-Decatur,Governor,,R,John Carlson,47
San Juan,Blakely-Decatur,Senate 40,40,D,Harriet Spanel,29
San Juan,Blakely-Decatur,Senate 40,40,R,Jerry Ferrier,41
San Juan,Blakely-Decatur,Senate 40,40,L,Ian Bannerman,2
San Juan,Blakely-Decatur,Rep 40-1,40,D,Dave Quall,40
San Juan,Blakely-Decatur,Rep 40-1,40,L,Mark Leigh,25
San Juan,Blakely-Decatur,Rep 40-1,40,,write-in,1
San Juan,Blakely-Decatur,Rep 40-2,40,D,Jeff Morris,27
San Juan,Blakely-Decatur,Rep 40-2,40,R,Bruce Ayers,38
San Juan,Blakely-Decatur,Rep 40-2,40,L,Charles Mann,9
San Juan,Blakely-Decatur,Voters,,,Registered,89
San Juan,Blakely-Decatur,Voters,,,Ballots,82
San Juan,SJ1 Southend,President,,D,Al Gore,477
San Juan,SJ1 Southend,President,,R,George Bush,381
San Juan,SJ1 Southend,President,,L,Harry Browne,3
San Juan,SJ1 Southend,President,,G,Ralph Nader,90
San Juan,SJ1 Southend,President,,F,Pat Buchanan,1
San Juan,SJ1 Southend,President,,NL,John Hagelin,2
San Juan,SJ1 Southend,President,,,write-in,1
San Juan,SJ1 Southend,U S Senate,,D,Maria Cantwell,498
San Juan,SJ1 Southend,U S Senate,,R,Slade Gorton,418
San Juan,SJ1 Southend,U S Senate,,L,Jeff Jared,27
San Juan,SJ1 Southend,U S Senate,,,write-in,1
San Juan,SJ1 Southend,Congress 2,2,D,Rick Larsen,483
San Juan,SJ1 Southend,Congress 2,2,R,John Koster,367
San Juan,SJ1 Southend,Congress 2,2,L,Stewart Andrews,35
San Juan,SJ1 Southend,Congress 2,2,NL,Glen Johnson,16
San Juan,SJ1 Southend,Governor,,D,Gary Locke,584
San Juan,SJ1 Southend,Governor,,R,John Carlson,340
San Juan,SJ1 Southend,Governor,,L,Steve LePage,22
San Juan,SJ1 Southend,Governor,,,write-in,1
San Juan,SJ1 Southend,Senate 40,40,D,Harriet Spanel,550
San Juan,SJ1 Southend,Senate 40,40,R,Jerry Ferrier,294
San Juan,SJ1 Southend,Senate 40,40,L,Ian Bannerman,40
San Juan,SJ1 Southend,Senate 40,40,,write-in,1
San Juan,SJ1 Southend,Rep 40-1,40,D,Dave Quall,596
San Juan,SJ1 Southend,Rep 40-1,40,L,Mark Leigh,191
San Juan,SJ1 Southend,Rep 40-1,40,,write-in,4
San Juan,SJ1 Southend,Rep 40-2,40,D,Jeff Morris,522
San Juan,SJ1 Southend,Rep 40-2,40,R,Bruce Ayers,299
San Juan,SJ1 Southend,Rep 40-2,40,L,Charles Mann,33
San Juan,SJ1 Southend,Rep 40-2,40,,write-in,1
San Juan,SJ1 Southend,Voters,,,Registered,1069
San Juan,SJ1 Southend,Voters,,,Ballots,959
San Juan,SJ2 Univ-Turn Pt,President,,D,Al Gore,332
San Juan,SJ2 Univ-Turn Pt,President,,R,George Bush,288
San Juan,SJ2 Univ-Turn Pt,President,,L,Harry Browne,5
San Juan,SJ2 Univ-Turn Pt,President,,G,Ralph Nader,82
San Juan,SJ2 Univ-Turn Pt,President,,WW,Monica Moorehead,1
San Juan,SJ2 Univ-Turn Pt,President,,F,Pat Buchanan,1
San Juan,SJ2 Univ-Turn Pt,President,,NL,John Hagelin,1
San Juan,SJ2 Univ-Turn Pt,President,,,write-in,2
San Juan,SJ2 Univ-Turn Pt,U S Senate,,D,Maria Cantwell,380
San Juan,SJ2 Univ-Turn Pt,U S Senate,,R,Slade Gorton,308
San Juan,SJ2 Univ-Turn Pt,U S Senate,,L,Jeff Jared,15
San Juan,SJ2 Univ-Turn Pt,U S Senate,,,write-in,0
San Juan,SJ2 Univ-Turn Pt,Congress 2,2,D,Rick Larsen,362
San Juan,SJ2 Univ-Turn Pt,Congress 2,2,R,John Koster,275
San Juan,SJ2 Univ-Turn Pt,Congress 2,2,L,Stewart Andrews,32
San Juan,SJ2 Univ-Turn Pt,Congress 2,2,NL,Glen Johnson,8
San Juan,SJ2 Univ-Turn Pt,Governor,,D,Gary Locke,420
San Juan,SJ2 Univ-Turn Pt,Governor,,R,John Carlson,259
San Juan,SJ2 Univ-Turn Pt,Governor,,L,Steve LePage,18
San Juan,SJ2 Univ-Turn Pt,Senate 40,40,D,Harriet Spanel,407
San Juan,SJ2 Univ-Turn Pt,Senate 40,40,R,Jerry Ferrier,233
San Juan,SJ2 Univ-Turn Pt,Senate 40,40,L,Ian Bannerman,30
San Juan,SJ2 Univ-Turn Pt,Rep 40-1,40,D,Dave Quall,430
San Juan,SJ2 Univ-Turn Pt,Rep 40-1,40,L,Mark Leigh,171
San Juan,SJ2 Univ-Turn Pt,Rep 40-2,40,D,Jeff Morris,373
San Juan,SJ2 Univ-Turn Pt,Rep 40-2,40,R,Bruce Ayers,242
San Juan,SJ2 Univ-Turn Pt,Rep 40-2,40,L,Charles Mann,31
San Juan,SJ2 Univ-Turn Pt,Voters,,,Registered,828
San Juan,SJ2 Univ-Turn Pt,Voters,,,Ballots,714
San Juan,SJ3 Roche Harbor,President,,D,Al Gore,182
San Juan,SJ3 Roche Harbor,President,,R,George Bush,219
San Juan,SJ3 Roche Harbor,President,,L,Harry Browne,2
San Juan,SJ3 Roche Harbor,President,,G,Ralph Nader,28
San Juan,SJ3 Roche Harbor,President,,NL,John Hagelin,2
San Juan,SJ3 Roche Harbor,U S Senate,,D,Maria Cantwell,182
San Juan,SJ3 Roche Harbor,U S Senate,,R,Slade Gorton,236
San Juan,SJ3 Roche Harbor,U S Senate,,L,Jeff Jared,9
San Juan,SJ3 Roche Harbor,Congress 2,2,D,Rick Larsen,184
San Juan,SJ3 Roche Harbor,Congress 2,2,R,John Koster,198
San Juan,SJ3 Roche Harbor,Congress 2,2,L,Stewart Andrews,15
San Juan,SJ3 Roche Harbor,Congress 2,2,NL,Glen Johnson,5
San Juan,SJ3 Roche Harbor,Governor,,D,Gary Locke,224
San Juan,SJ3 Roche Harbor,Governor,,R,John Carlson,192
San Juan,SJ3 Roche Harbor,Governor,,L,Steve LePage,10
San Juan,SJ3 Roche Harbor,Senate 40,40,D,Harriet Spanel,207
San Juan,SJ3 Roche Harbor,Senate 40,40,R,Jerry Ferrier,177
San Juan,SJ3 Roche Harbor,Senate 40,40,L,Ian Bannerman,15
San Juan,SJ3 Roche Harbor,Rep 40-1,40,D,Dave Quall,235
San Juan,SJ3 Roche Harbor,Rep 40-1,40,L,Mark Leigh,113
San Juan,SJ3 Roche Harbor,Rep 40-1,40,,write-in,1
