Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,32,1,7,Total,NP,Registered Voters,503
SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,32,1,7,Total,NP,Times Counted,91
SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,32,1,7,Total,NP,Times Under Voted,4
SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,32,1,7,Total,<NP>,No,25
SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,32,1,7,Total,<NP>,Yes,62
SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,32,1,7,Total,NP,Times Over Voted,0
SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,32,1,7,Total,NP,Registered Voters,503
SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,32,1,7,Total,NP,Times Counted,91
SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,32,1,7,Total,NP,Times Under Voted,8
SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,32,1,7,Total,<NP>,No,21
SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,32,1,7,Total,<NP>,Yes,62
SHL 32-0001,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,32,1,7,Total,NP,Times Over Voted,0
LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,46,1,7,Total,NP,Registered Voters,471
LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,46,1,7,Total,NP,Times Counted,158
LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,46,1,7,Total,NP,Times Under Voted,5
LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,46,1,7,Total,<NP>,No,78
LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,46,1,7,Total,<NP>,Yes,75
LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1,46,1,7,Total,NP,Times Over Voted,0
LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,46,1,7,Total,NP,Registered Voters,471
LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,46,1,7,Total,NP,Times Counted,158
LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,46,1,7,Total,NP,Times Under Voted,10
LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,46,1,7,Total,<NP>,No,69
LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,46,1,7,Total,<NP>,Yes,79
LFP 46-0003,Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2,46,1,7,Total,NP,Times Over Voted,0
BUR 33-0009,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,33,8,7,Total,NP,Registered Voters,304
BUR 33-0009,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,33,8,7,Total,NP,Times Counted,67
BUR 33-0009,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,33,8,7,Total,NP,Times Under Voted,0
BUR 33-0009,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,33,8,7,Total,<NP>,No,33
BUR 33-0009,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,33,8,7,Total,<NP>,Yes,34
BUR 33-0009,Highline School District No. 401 Highline School District No. 401 Proposition No. 1,33,8,7,Total,NP,Times Over Voted,0
ALDERWOOD,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2,45,3,1,Total,NP,Registered Voters,471
ALDERWOOD,Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2,45,3,1,Total,NP,Times Counted,188
