SplitID,PartyID,VoterCount
2,0,459
4.01,0,255
6,0,147
8,0,397
10.01,0,4
10.02,0,48
10.03,0,50
12,0,681
14,0,66
16.01,0,213
18.01,0,126
20.01,0,269
20.02,0,0
20.03,0,6
22,0,138
24.01,0,40
24.02,0,507
26,0,145
28,0,7
30,0,454
32,0,148
34.01,0,451
34.02,0,5
34.03,0,0
36,0,54
38,0,13
40,0,233
42.01,0,4
42.02,0,11
44.01,0,88
44.02,0,15
46,0,820
48,0,814
50,0,76
52,0,362
56.01,0,567
56.02,0,0
58,0,1265
60.01,0,868
60.02,0,58
62.01,0,369
62.02,0,69
64,0,210
66,0,14
68.01,0,710
68.02,0,7
70.01,0,725
70.02,0,5
72.01,0,626
72.02,0,11
74,0,446
76,0,123
78,0,107
80,0,1095
82,0,266
84.01,0,4
84.02,0,329
86,0,7
88.01,0,77
88.02,0,2
90.01,0,39
90.02,0,43
92,0,0
94,0,589
96.01,0,553
96.02,0,9
98,0,429
111,0,1388
121,0,1204
131,0,1406
132,0,5
141,0,864
142,0,964
151,0,1082
161,0,1369
201,0,1060
301,0,579
302,0,1247
411,0,781
421,0,709
431,0,806
441,0,811
451,0,830
461,0,745
501,0,1046
601,0,1281
602,0,1359
603,0,0
701,0,355
801,0,802
802,0,1105
803,0,1284
810,0,707
820,0,629
830,0,319
901,0,1326
