"Race","CountyCode","Candidate","PrecinctName","PrecinctCode","Votes"
"City of Shelton Council Member No. 4","MA","Eric Onisko","Total","-1","608"
"City of Shelton Council Member No. 4","MA","Jason Coots","Total","-1","406"
"City of Shelton Council Member No. 4","MA","Jessie (Jess) Mosley","Total","-1","297"
"City of Shelton Council Member No. 4","MA","Eric Onisko","OLYMPIC VIEW","301","214"
"City of Shelton Council Member No. 4","MA","Jason Coots","OLYMPIC VIEW","301","140"
"City of Shelton Council Member No. 4","MA","Jessie (Jess) Mosley","OLYMPIC VIEW","301","92"
"City of Shelton Council Member No. 4","MA","Eric Onisko","DOWNTOWN","302","152"
"City of Shelton Council Member No. 4","MA","Jason Coots","DOWNTOWN","302","77"
"City of Shelton Council Member No. 4","MA","Jessie (Jess) Mosley","DOWNTOWN","302","59"
"City of Shelton Council Member No. 4","MA","Eric Onisko","ANGLESIDE","303","128"
"City of Shelton Council Member No. 4","MA","Jason Coots","ANGLESIDE","303","113"
"City of Shelton Council Member No. 4","MA","Jessie (Jess) Mosley","ANGLESIDE","303","105"
"City of Shelton Council Member No. 4","MA","Eric Onisko","HILLCREST","304","114"
"City of Shelton Council Member No. 4","MA","Jason Coots","HILLCREST","304","76"
"City of Shelton Council Member No. 4","MA","Jessie (Jess) Mosley","HILLCREST","304","41"
"City of Shelton Council Member No. 5","MA","Marilyn Vogler","Total","-1","458"
"City of Shelton Council Member No. 5","MA","Deidre Peterson","Total","-1","374"
"City of Shelton Council Member No. 5","MA","David C. Brown","Total","-1","171"
"City of Shelton Council Member No. 5","MA","Josh Johnson","Total","-1","301"
"City of Shelton Council Member No. 5","MA","Marilyn Vogler","OLYMPIC VIEW","301","152"
"City of Shelton Council Member No. 5","MA","Deidre Peterson","OLYMPIC VIEW","301","134"
"City of Shelton Council Member No. 5","MA","David C. Brown","OLYMPIC VIEW","301","59"
"City of Shelton Council Member No. 5","MA","Josh Johnson","OLYMPIC VIEW","301","103"
"City of Shelton Council Member No. 5","MA","Marilyn Vogler","DOWNTOWN","302","114"
"City of Shelton Council Member No. 5","MA","Deidre Peterson","DOWNTOWN","302","84"
"City of Shelton Council Member No. 5","MA","David C. Brown","DOWNTOWN","302","40"
"City of Shelton Council Member No. 5","MA","Josh Johnson","DOWNTOWN","302","47"
"City of Shelton Council Member No. 5","MA","Marilyn Vogler","ANGLESIDE","303","105"
"City of Shelton Council Member No. 5","MA","Deidre Peterson","ANGLESIDE","303","109"
"City of Shelton Council Member No. 5","MA","David C. Brown","ANGLESIDE","303","36"
"City of Shelton Council Member No. 5","MA","Josh Johnson","ANGLESIDE","303","92"
"City of Shelton Council Member No. 5","MA","Marilyn Vogler","HILLCREST","304","87"
