"Race","CountyCode","Candidate","PrecinctName","PrecinctCode","Votes"
"President Democratic Party","AD","Hillary Clinton ","Total","-1","398"
"President Democratic Party","AD","Bernie Sanders","Total","-1","321"
"President Democratic Party","AD","Hillary Clinton ","Ritzville Ward #1","111","11"
"President Democratic Party","AD","Bernie Sanders","Ritzville Ward #1","111","6"
"President Democratic Party","AD","Hillary Clinton ","Ritzville Ward #2","112","14"
"President Democratic Party","AD","Bernie Sanders","Ritzville Ward #2","112","10"
"President Democratic Party","AD","Hillary Clinton ","Ritzville Ward #3","113","17"
"President Democratic Party","AD","Bernie Sanders","Ritzville Ward #3","113","11"
"President Democratic Party","AD","Hillary Clinton ","Ritzville Ward #4","114","16"
"President Democratic Party","AD","Bernie Sanders","Ritzville Ward #4","114","19"
"President Democratic Party","AD","Hillary Clinton ","Ritzville Ward #5","115","18"
"President Democratic Party","AD","Bernie Sanders","Ritzville Ward #5","115","11"
"President Democratic Party","AD","Hillary Clinton ","Ritzville Rural NW","121","5"
"President Democratic Party","AD","Bernie Sanders","Ritzville Rural NW","121","11"
"President Democratic Party","AD","Hillary Clinton ","Ritzville Rural SE","122","9"
"President Democratic Party","AD","Bernie Sanders","Ritzville Rural SE","122","7"
"President Democratic Party","AD","Hillary Clinton ","Batum","123","2"
"President Democratic Party","AD","Bernie Sanders","Batum","123","6"
"President Democratic Party","AD","Hillary Clinton ","Benge","211","3"
"President Democratic Party","AD","Bernie Sanders","Benge","211","2"
"President Democratic Party","AD","Hillary Clinton ","Washtucna City #1","212","6"
"President Democratic Party","AD","Bernie Sanders","Washtucna City #1","212","9"
"President Democratic Party","AD","Hillary Clinton ","Washtucna Rural(*)","221","0"
"President Democratic Party","AD","Bernie Sanders","Washtucna Rural(*)","221","0"
"President Democratic Party","AD","Hillary Clinton ","Ralston(*)","222","0"
"President Democratic Party","AD","Bernie Sanders","Ralston(*)","222","0"
"President Democratic Party","AD","Hillary Clinton ","Lind #1","311","17"
"President Democratic Party","AD","Bernie Sanders","Lind #1","311","20"
"President Democratic Party","AD","Hillary Clinton ","Hatton City(*)","313","0"
"President Democratic Party","AD","Bernie Sanders","Hatton City(*)","313","0"
"President Democratic Party","AD","Hillary Clinton ","Lind Rural","321","3"
"President Democratic Party","AD","Bernie Sanders","Lind Rural","321","4"
"President Democratic Party","AD","Hillary Clinton ","Fairview","322","2"
"President Democratic Party","AD","Bernie Sanders","Fairview","322","2"
"President Democratic Party","AD","Hillary Clinton ","Schrag(*)","323","0"
"President Democratic Party","AD","Bernie Sanders","Schrag(*)","323","0"
"President Democratic Party","AD","Hillary Clinton ","Hatton Rural(*)","324","0"
"President Democratic Party","AD","Bernie Sanders","Hatton Rural(*)","324","0"
"President Democratic Party","AD","Hillary Clinton ","Cunningham(*)","325","0"
"President Democratic Party","AD","Bernie Sanders","Cunningham(*)","325","0"
"President Democratic Party","AD","Hillary Clinton ","Othello City #1(*)","411","0"
"President Democratic Party","AD","Bernie Sanders","Othello City #1(*)","411","0"
"President Democratic Party","AD","Hillary Clinton ","Othello City #2","412","28"
"President Democratic Party","AD","Bernie Sanders","Othello City #2","412","37"
"President Democratic Party","AD","Hillary Clinton ","Othello City #3","413","51"
"President Democratic Party","AD","Bernie Sanders","Othello City #3","413","19"
"President Democratic Party","AD","Hillary Clinton ","Othello City #4","414","26"
"President Democratic Party","AD","Bernie Sanders","Othello City #4","414","21"
"President Democratic Party","AD","Hillary Clinton ","Othello City #5","415","21"
"President Democratic Party","AD","Bernie Sanders","Othello City #5","415","21"
"President Democratic Party","AD","Hillary Clinton ","Othello City #6","416","28"
"President Democratic Party","AD","Bernie Sanders","Othello City #6","416","17"
"President Democratic Party","AD","Hillary Clinton ","Othello Rural #1","511","26"
"President Democratic Party","AD","Bernie Sanders","Othello Rural #1","511","15"
"President Democratic Party","AD","Hillary Clinton ","Othello Rural #2","512","17"
"President Democratic Party","AD","Bernie Sanders","Othello Rural #2","512","12"
"President Democratic Party","AD","Hillary Clinton ","Othello Rural #3","513","29"
"President Democratic Party","AD","Bernie Sanders","Othello Rural #3","513","23"
"President Democratic Party","AD","Hillary Clinton ","Othello Rural #4","514","17"
"President Democratic Party","AD","Bernie Sanders","Othello Rural #4","514","9"
"President Democratic Party","AD","Hillary Clinton ","Othello Rural #5","515","11"
"President Democratic Party","AD","Bernie Sanders","Othello Rural #5","515","12"
"President Democratic Party","AD","Hillary Clinton ","Othello Rural #6","516","5"
"President Democratic Party","AD","Bernie Sanders","Othello Rural #6","516","10"
"President Democratic Party","AS","Hillary Clinton ","Total","-1","1191"
"President Democratic Party","AS","Bernie Sanders","Total","-1","981"
