"Race","CountyCode","Candidate","PrecinctName","PrecinctCode","Votes"
"President Democratic Party","AS","Hillary Clinton ","ANATONE","1","7"
"President Democratic Party","AS","Bernie Sanders","ANATONE","1","18"
"President Democratic Party","AS","Hillary Clinton ","RURAL ASOTIN","3","17"
"President Democratic Party","AS","Bernie Sanders","RURAL ASOTIN","3","14"
"President Democratic Party","AS","Hillary Clinton ","W ASOTIN","4","14"
"President Democratic Party","AS","Bernie Sanders","W ASOTIN","4","9"
"President Democratic Party","AS","Hillary Clinton ","SWALLOWS NEST","5","75"
"President Democratic Party","AS","Bernie Sanders","SWALLOWS NEST","5","38"
"President Democratic Party","AS","Hillary Clinton ","ASOTIN #1","101","41"
"President Democratic Party","AS","Bernie Sanders","ASOTIN #1","101","29"
"President Democratic Party","AS","Hillary Clinton ","ASOTIN #2","102","24"
"President Democratic Party","AS","Bernie Sanders","ASOTIN #2","102","28"
"President Democratic Party","AS","Hillary Clinton ","CLARKSTON #1","201","31"
"President Democratic Party","AS","Bernie Sanders","CLARKSTON #1","201","40"
"President Democratic Party","AS","Hillary Clinton ","CLARKSTON #2","202","47"
"President Democratic Party","AS","Bernie Sanders","CLARKSTON #2","202","58"
"President Democratic Party","AS","Hillary Clinton ","CLARKSTON #3","203","46"
"President Democratic Party","AS","Bernie Sanders","CLARKSTON #3","203","39"
"President Democratic Party","AS","Hillary Clinton ","CLARKSTON #4","204","38"
"President Democratic Party","AS","Bernie Sanders","CLARKSTON #4","204","40"
"President Democratic Party","AS","Hillary Clinton ","CLARKSTON #5","205","36"
"President Democratic Party","AS","Bernie Sanders","CLARKSTON #5","205","30"
"President Democratic Party","AS","Hillary Clinton ","CLARKSTON #6","206","45"
"President Democratic Party","AS","Bernie Sanders","CLARKSTON #6","206","43"
"President Democratic Party","AS","Hillary Clinton ","CLARKSTON #7","207","41"
"President Democratic Party","AS","Bernie Sanders","CLARKSTON #7","207","27"
"President Democratic Party","AS","Hillary Clinton ","CLARKSTON #8","208","47"
"President Democratic Party","AS","Bernie Sanders","CLARKSTON #8","208","39"
"President Democratic Party","AS","Hillary Clinton ","CLARKSTON HTS #1","301","40"
"President Democratic Party","AS","Bernie Sanders","CLARKSTON HTS #1","301","36"
"President Democratic Party","AS","Hillary Clinton ","CLARKSTON HTS #2","302","70"
"President Democratic Party","AS","Bernie Sanders","CLARKSTON HTS #2","302","52"
"President Democratic Party","AS","Hillary Clinton ","CLARKSTON HTS #3","303","21"
"President Democratic Party","AS","Bernie Sanders","CLARKSTON HTS #3","303","8"
"President Democratic Party","AS","Hillary Clinton ","CLARKSTON HTS #4","304","53"
"President Democratic Party","AS","Bernie Sanders","CLARKSTON HTS #4","304","33"
"President Democratic Party","AS","Hillary Clinton ","CLARKSTON HTS #5","305","60"
"President Democratic Party","AS","Bernie Sanders","CLARKSTON HTS #5","305","65"
"President Democratic Party","AS","Hillary Clinton ","CLARKSTON HTS #6","306","86"
"President Democratic Party","AS","Bernie Sanders","CLARKSTON HTS #6","306","55"
"President Democratic Party","AS","Hillary Clinton ","CLARKSTON HTS #7","307","58"
"President Democratic Party","AS","Bernie Sanders","CLARKSTON HTS #7","307","47"
"President Democratic Party","AS","Hillary Clinton ","SOUTH CLARKSTON #1","401","41"
"President Democratic Party","AS","Bernie Sanders","SOUTH CLARKSTON #1","401","48"
"President Democratic Party","AS","Hillary Clinton ","SOUTH CLARKSTON #2","402","66"
"President Democratic Party","AS","Bernie Sanders","SOUTH CLARKSTON #2","402","54"
"President Democratic Party","AS","Hillary Clinton ","WEST CLARKSTON #1","501","66"
"President Democratic Party","AS","Bernie Sanders","WEST CLARKSTON #1","501","36"
"President Democratic Party","AS","Hillary Clinton ","WEST CLARKSTON #2","502","51"
"President Democratic Party","AS","Bernie Sanders","WEST CLARKSTON #2","502","36"
"President Democratic Party","AS","Hillary Clinton ","WEST CLARKSTON #3","503","70"
"President Democratic Party","AS","Bernie Sanders","WEST CLARKSTON #3","503","59"
"President Democratic Party","BE","Hillary Clinton ","Total","-1","6324"
"President Democratic Party","BE","Bernie Sanders","Total","-1","6125"
"President Democratic Party","BE","Hillary Clinton ","Hanford 4","96","0"
"President Democratic Party","BE","Bernie Sanders","Hanford 4","96","0"
"President Democratic Party","BE","Hillary Clinton ","Hanford 3","97","0"
"President Democratic Party","BE","Bernie Sanders","Hanford 3","97","0"
"President Democratic Party","BE","Hillary Clinton ","Hanford 2","98","0"
"President Democratic Party","BE","Bernie Sanders","Hanford 2","98","0"
"President Democratic Party","BE","Hillary Clinton ","Hanford 1","99","0"
"President Democratic Party","BE","Bernie Sanders","Hanford 1","99","0"
"President Democratic Party","BE","Hillary Clinton ","450","450","51"
"President Democratic Party","BE","Bernie Sanders","450","450","41"
"President Democratic Party","BE","Hillary Clinton ","455","455","44"
"President Democratic Party","BE","Bernie Sanders","455","455","41"
"President Democratic Party","BE","Hillary Clinton ","460","460","38"
"President Democratic Party","BE","Bernie Sanders","460","460","26"
"President Democratic Party","BE","Hillary Clinton ","465","465","42"
"President Democratic Party","BE","Bernie Sanders","465","465","35"
"President Democratic Party","BE","Hillary Clinton ","470","470","26"
"President Democratic Party","BE","Bernie Sanders","470","470","30"
"President Democratic Party","BE","Hillary Clinton ","Carley","1020","0"
"President Democratic Party","BE","Bernie Sanders","Carley","1020","0"
"President Democratic Party","BE","Hillary Clinton ","Onion(*)","1021","0"
"President Democratic Party","BE","Bernie Sanders","Onion(*)","1021","0"
"President Democratic Party","BE","Hillary Clinton ","Crow Butte(*)","1022","0"
"President Democratic Party","BE","Bernie Sanders","Crow Butte(*)","1022","0"
"President Democratic Party","BE","Hillary Clinton ","Horse Heaven","1023","2"
"President Democratic Party","BE","Bernie Sanders","Horse Heaven","1023","5"
"President Democratic Party","BE","Hillary Clinton ","Columbia(*)","1060","0"
"President Democratic Party","BE","Bernie Sanders","Columbia(*)","1060","0"
"President Democratic Party","BE","Hillary Clinton ","Black Rock","1061","0"
"President Democratic Party","BE","Bernie Sanders","Black Rock","1061","0"
"President Democratic Party","BE","Hillary Clinton ","Expansion(*)","1090","0"
"President Democratic Party","BE","Bernie Sanders","Expansion(*)","1090","0"
"President Democratic Party","BE","Hillary Clinton ","Salmon","1091","4"
"President Democratic Party","BE","Bernie Sanders","Salmon","1091","5"
"President Democratic Party","BE","Hillary Clinton ","Paterson","1240","8"
"President Democratic Party","BE","Bernie Sanders","Paterson","1240","2"
"President Democratic Party","BE","Hillary Clinton ","Roe(*)","1241","0"
"President Democratic Party","BE","Bernie Sanders","Roe(*)","1241","0"
"President Democratic Party","BE","Hillary Clinton ","Rattlesnake","1290","5"
"President Democratic Party","BE","Bernie Sanders","Rattlesnake","1290","5"
"President Democratic Party","BE","Hillary Clinton ","Ida","1291","0"
"President Democratic Party","BE","Bernie Sanders","Ida","1291","0"
"President Democratic Party","BE","Hillary Clinton ","Ridge","1292","0"
"President Democratic Party","BE","Bernie Sanders","Ridge","1292","0"
"President Democratic Party","BE","Hillary Clinton ","Reese(*)","1360","0"
"President Democratic Party","BE","Bernie Sanders","Reese(*)","1360","0"
"President Democratic Party","BE","Hillary Clinton ","Pearson(*)","1362","0"
"President Democratic Party","BE","Bernie Sanders","Pearson(*)","1362","0"
"President Democratic Party","BE","Hillary Clinton ","Sacagawea(*)","1363","0"
"President Democratic Party","BE","Bernie Sanders","Sacagawea(*)","1363","0"
"President Democratic Party","BE","Hillary Clinton ","Wheat","1364","0"
"President Democratic Party","BE","Bernie Sanders","Wheat","1364","0"
"President Democratic Party","BE","Hillary Clinton ","Tumble Weed(*)","1365","0"
"President Democratic Party","BE","Bernie Sanders","Tumble Weed(*)","1365","0"
"President Democratic Party","BE","Hillary Clinton ","Cook(*)","1400","0"
"President Democratic Party","BE","Bernie Sanders","Cook(*)","1400","0"
"President Democratic Party","BE","Hillary Clinton ","Dot","1402","19"
"President Democratic Party","BE","Bernie Sanders","Dot","1402","14"
"President Democratic Party","BE","Hillary Clinton ","McBee(*)","1403","0"
"President Democratic Party","BE","Bernie Sanders","McBee(*)","1403","0"
"President Democratic Party","BE","Hillary Clinton ","Weidle","1404","3"
"President Democratic Party","BE","Bernie Sanders","Weidle","1404","2"
"President Democratic Party","BE","Hillary Clinton ","Reata","1406","21"
"President Democratic Party","BE","Bernie Sanders","Reata","1406","31"
"President Democratic Party","BE","Hillary Clinton ","Elk","1407","0"
"President Democratic Party","BE","Bernie Sanders","Elk","1407","0"
"President Democratic Party","BE","Hillary Clinton ","Griffin(*)","1408","0"
"President Democratic Party","BE","Bernie Sanders","Griffin(*)","1408","0"
"President Democratic Party","BE","Hillary Clinton ","Goose Ridge(*)","1409","0"
"President Democratic Party","BE","Bernie Sanders","Goose Ridge(*)","1409","0"
"President Democratic Party","BE","Hillary Clinton ","Cone","1412","21"
"President Democratic Party","BE","Bernie Sanders","Cone","1412","16"
"President Democratic Party","BE","Hillary Clinton ","Vineyard","1413","0"
"President Democratic Party","BE","Bernie Sanders","Vineyard","1413","0"
"President Democratic Party","BE","Hillary Clinton ","Sunny","1414","7"
"President Democratic Party","BE","Bernie Sanders","Sunny","1414","8"
"President Democratic Party","BE","Hillary Clinton ","Badger","1420","9"
"President Democratic Party","BE","Bernie Sanders","Badger","1420","14"
"President Democratic Party","BE","Hillary Clinton ","Chandler","1422","5"
"President Democratic Party","BE","Bernie Sanders","Chandler","1422","6"
"President Democratic Party","BE","Hillary Clinton ","W1 - P645","1645","22"
"President Democratic Party","BE","Bernie Sanders","W1 - P645","1645","22"
"President Democratic Party","BE","Hillary Clinton ","W1 - P646","1646","9"
"President Democratic Party","BE","Bernie Sanders","W1 - P646","1646","23"
"President Democratic Party","BE","Hillary Clinton ","W1 - P650","1650","45"
"President Democratic Party","BE","Bernie Sanders","W1 - P650","1650","46"
"President Democratic Party","BE","Hillary Clinton ","W1 - P651","1651","11"
"President Democratic Party","BE","Bernie Sanders","W1 - P651","1651","13"
"President Democratic Party","BE","Hillary Clinton ","W1 - P655","1655","23"
"President Democratic Party","BE","Bernie Sanders","W1 - P655","1655","16"
"President Democratic Party","BE","Hillary Clinton ","W1 - P656","1656","15"
"President Democratic Party","BE","Bernie Sanders","W1 - P656","1656","25"
"President Democratic Party","BE","Hillary Clinton ","W1 - P657","1657","27"
"President Democratic Party","BE","Bernie Sanders","W1 - P657","1657","17"
"President Democratic Party","BE","Hillary Clinton ","W1 - P660","1660","38"
"President Democratic Party","BE","Bernie Sanders","W1 - P660","1660","37"
"President Democratic Party","BE","Hillary Clinton ","W1-P663","1663","25"
"President Democratic Party","BE","Bernie Sanders","W1-P663","1663","31"
"President Democratic Party","BE","Hillary Clinton ","W1 - P664","1664","62"
"President Democratic Party","BE","Bernie Sanders","W1 - P664","1664","53"
"President Democratic Party","BE","Hillary Clinton ","W1 - P665","1665","53"
"President Democratic Party","BE","Bernie Sanders","W1 - P665","1665","43"
"President Democratic Party","BE","Hillary Clinton ","W1 - P667","1667","21"
"President Democratic Party","BE","Bernie Sanders","W1 - P667","1667","33"
"President Democratic Party","BE","Hillary Clinton ","W1 - P668","1668","70"
"President Democratic Party","BE","Bernie Sanders","W1 - P668","1668","55"
"President Democratic Party","BE","Hillary Clinton ","W1 - P669","1669","34"
"President Democratic Party","BE","Bernie Sanders","W1 - P669","1669","29"
"President Democratic Party","BE","Hillary Clinton ","W1 - P670","1670","20"
"President Democratic Party","BE","Bernie Sanders","W1 - P670","1670","35"
"President Democratic Party","BE","Hillary Clinton ","W1 - P674","1674","13"
"President Democratic Party","BE","Bernie Sanders","W1 - P674","1674","24"
"President Democratic Party","BE","Hillary Clinton ","W1 - P675","1675","11"
"President Democratic Party","BE","Bernie Sanders","W1 - P675","1675","9"
"President Democratic Party","BE","Hillary Clinton ","W1 - P676","1676","66"
"President Democratic Party","BE","Bernie Sanders","W1 - P676","1676","32"
"President Democratic Party","BE","Hillary Clinton ","W1 - P680","1680","30"
"President Democratic Party","BE","Bernie Sanders","W1 - P680","1680","39"
"President Democratic Party","BE","Hillary Clinton ","W1 - P681","1681","40"
"President Democratic Party","BE","Bernie Sanders","W1 - P681","1681","28"
"President Democratic Party","BE","Hillary Clinton ","W1 - P682","1682","59"
"President Democratic Party","BE","Bernie Sanders","W1 - P682","1682","40"
"President Democratic Party","BE","Hillary Clinton ","W1 - P683","1683","47"
"President Democratic Party","BE","Bernie Sanders","W1 - P683","1683","22"
"President Democratic Party","BE","Hillary Clinton ","W1 - P685","1685","34"
"President Democratic Party","BE","Bernie Sanders","W1 - P685","1685","57"
"President Democratic Party","BE","Hillary Clinton ","W1 - P686","1686","47"
"President Democratic Party","BE","Bernie Sanders","W1 - P686","1686","25"
"President Democratic Party","BE","Hillary Clinton ","W1 - P690","1690","69"
"President Democratic Party","BE","Bernie Sanders","W1 - P690","1690","46"
"President Democratic Party","BE","Hillary Clinton ","W1 - P691","1691","6"
"President Democratic Party","BE","Bernie Sanders","W1 - P691","1691","3"
"President Democratic Party","BE","Hillary Clinton ","Buena Vista","2401","52"
"President Democratic Party","BE","Bernie Sanders","Buena Vista","2401","40"
"President Democratic Party","BE","Hillary Clinton ","Prosser North","2403","40"
"President Democratic Party","BE","Bernie Sanders","Prosser North","2403","40"
"President Democratic Party","BE","Hillary Clinton ","South","2404","19"
"President Democratic Party","BE","Bernie Sanders","South","2404","14"
"President Democratic Party","BE","Hillary Clinton ","Riverside","2405","39"
"President Democratic Party","BE","Bernie Sanders","Riverside","2405","43"
"President Democratic Party","BE","Hillary Clinton ","Walnut Grove","2406","35"
"President Democratic Party","BE","Bernie Sanders","Walnut Grove","2406","16"
"President Democratic Party","BE","Hillary Clinton ","Susie","2407","5"
"President Democratic Party","BE","Bernie Sanders","Susie","2407","4"
"President Democratic Party","BE","Hillary Clinton ","Apricot","2408","17"
"President Democratic Party","BE","Bernie Sanders","Apricot","2408","7"
"President Democratic Party","BE","Hillary Clinton ","Bobbie","2409","0"
"President Democratic Party","BE","Bernie Sanders","Bobbie","2409","0"
"President Democratic Party","BE","Hillary Clinton ","W2 - P560","2560","27"
"President Democratic Party","BE","Bernie Sanders","W2 - P560","2560","35"
"President Democratic Party","BE","Hillary Clinton ","W2 - P565","2565","32"
"President Democratic Party","BE","Bernie Sanders","W2 - P565","2565","28"
"President Democratic Party","BE","Hillary Clinton ","W2 - P570","2570","23"
"President Democratic Party","BE","Bernie Sanders","W2 - P570","2570","38"
"President Democratic Party","BE","Hillary Clinton ","W2-P574","2574","19"
"President Democratic Party","BE","Bernie Sanders","W2-P574","2574","27"
"President Democratic Party","BE","Hillary Clinton ","W2 - P575","2575","16"
"President Democratic Party","BE","Bernie Sanders","W2 - P575","2575","20"
"President Democratic Party","BE","Hillary Clinton ","W2 - P580","2580","35"
"President Democratic Party","BE","Bernie Sanders","W2 - P580","2580","17"
"President Democratic Party","BE","Hillary Clinton ","W2 - P585","2585","17"
"President Democratic Party","BE","Bernie Sanders","W2 - P585","2585","25"
"President Democratic Party","BE","Hillary Clinton ","W2 - P590","2590","36"
"President Democratic Party","BE","Bernie Sanders","W2 - P590","2590","23"
"President Democratic Party","BE","Hillary Clinton ","W2 - P595","2595","25"
"President Democratic Party","BE","Bernie Sanders","W2 - P595","2595","32"
"President Democratic Party","BE","Hillary Clinton ","W2 - P600","2600","27"
"President Democratic Party","BE","Bernie Sanders","W2 - P600","2600","17"
"President Democratic Party","BE","Hillary Clinton ","W2 - P601","2601","11"
"President Democratic Party","BE","Bernie Sanders","W2 - P601","2601","31"
"President Democratic Party","BE","Hillary Clinton ","W2 - P605","2605","22"
"President Democratic Party","BE","Bernie Sanders","W2 - P605","2605","25"
"President Democratic Party","BE","Hillary Clinton ","W2 - P610","2610","39"
"President Democratic Party","BE","Bernie Sanders","W2 - P610","2610","36"
"President Democratic Party","BE","Hillary Clinton ","W2 - P615","2615","22"
"President Democratic Party","BE","Bernie Sanders","W2 - P615","2615","12"
"President Democratic Party","BE","Hillary Clinton ","W2 - P620","2620","21"
"President Democratic Party","BE","Bernie Sanders","W2 - P620","2620","11"
"President Democratic Party","BE","Hillary Clinton ","W2 - P625","2625","48"
"President Democratic Party","BE","Bernie Sanders","W2 - P625","2625","58"
"President Democratic Party","BE","Hillary Clinton ","W2 - P626","2626","19"
"President Democratic Party","BE","Bernie Sanders","W2 - P626","2626","28"
"President Democratic Party","BE","Hillary Clinton ","W2 - P630","2630","20"
"President Democratic Party","BE","Bernie Sanders","W2 - P630","2630","39"
"President Democratic Party","BE","Hillary Clinton ","W2 - P632","2632","0"
"President Democratic Party","BE","Bernie Sanders","W2 - P632","2632","0"
"President Democratic Party","BE","Hillary Clinton ","W2 - P633","2633","34"
"President Democratic Party","BE","Bernie Sanders","W2 - P633","2633","17"
"President Democratic Party","BE","Hillary Clinton ","W2 - P634","2634","60"
"President Democratic Party","BE","Bernie Sanders","W2 - P634","2634","31"
"President Democratic Party","BE","Hillary Clinton ","W2 - P635","2635","32"
"President Democratic Party","BE","Bernie Sanders","W2 - P635","2635","38"
"President Democratic Party","BE","Hillary Clinton ","W2 - P636","2636","27"
"President Democratic Party","BE","Bernie Sanders","W2 - P636","2636","27"
"President Democratic Party","BE","Hillary Clinton ","W2 - P637","2637","53"
"President Democratic Party","BE","Bernie Sanders","W2 - P637","2637","17"
"President Democratic Party","BE","Hillary Clinton ","W2 - P638","2638","17"
"President Democratic Party","BE","Bernie Sanders","W2 - P638","2638","43"
"President Democratic Party","BE","Hillary Clinton ","W2 - P639","2639","26"
"President Democratic Party","BE","Bernie Sanders","W2 - P639","2639","18"
"President Democratic Party","BE","Hillary Clinton ","W2 - P640","2640","30"
"President Democratic Party","BE","Bernie Sanders","W2 - P640","2640","30"
"President Democratic Party","BE","Hillary Clinton ","W2 - P641","2641","35"
"President Democratic Party","BE","Bernie Sanders","W2 - P641","2641","25"
"President Democratic Party","BE","Hillary Clinton ","Benton North","3001","46"
"President Democratic Party","BE","Bernie Sanders","Benton North","3001","66"
"President Democratic Party","BE","Hillary Clinton ","Benton South","3002","37"
"President Democratic Party","BE","Bernie Sanders","Benton South","3002","35"
"President Democratic Party","BE","Hillary Clinton ","Benton East","3003","0"
"President Democratic Party","BE","Bernie Sanders","Benton East","3003","0"
"President Democratic Party","BE","Hillary Clinton ","Legion","3101","31"
"President Democratic Party","BE","Bernie Sanders","Legion","3101","23"
"President Democratic Party","BE","Hillary Clinton ","Kiona","3102","40"
"President Democratic Party","BE","Bernie Sanders","Kiona","3102","60"
"President Democratic Party","BE","Hillary Clinton ","Roza","3103","0"
"President Democratic Party","BE","Bernie Sanders","Roza","3103","0"
"President Democratic Party","BE","Hillary Clinton ","Yakima(*)","3104","0"
"President Democratic Party","BE","Bernie Sanders","Yakima(*)","3104","0"
"President Democratic Party","BE","Hillary Clinton ","Demoss(*)","3105","0"
"President Democratic Party","BE","Bernie Sanders","Demoss(*)","3105","0"
"President Democratic Party","BE","Hillary Clinton ","Edgewater","3106","22"
"President Democratic Party","BE","Bernie Sanders","Edgewater","3106","19"
"President Democratic Party","BE","Hillary Clinton ","Cherry","3107","34"
"President Democratic Party","BE","Bernie Sanders","Cherry","3107","35"
"President Democratic Party","BE","Hillary Clinton ","W3 - P500","3500","8"
"President Democratic Party","BE","Bernie Sanders","W3 - P500","3500","17"
"President Democratic Party","BE","Hillary Clinton ","W3 - P505","3505","34"
"President Democratic Party","BE","Bernie Sanders","W3 - P505","3505","33"
"President Democratic Party","BE","Hillary Clinton ","W3 - P510","3510","17"
"President Democratic Party","BE","Bernie Sanders","W3 - P510","3510","27"
"President Democratic Party","BE","Hillary Clinton ","W3-P511","3511","4"
"President Democratic Party","BE","Bernie Sanders","W3-P511","3511","2"
"President Democratic Party","BE","Hillary Clinton ","W3 - P515","3515","31"
"President Democratic Party","BE","Bernie Sanders","W3 - P515","3515","24"
"President Democratic Party","BE","Hillary Clinton ","W3-P516","3516","2"
"President Democratic Party","BE","Bernie Sanders","W3-P516","3516","4"
"President Democratic Party","BE","Hillary Clinton ","W3 - P520","3520","15"
"President Democratic Party","BE","Bernie Sanders","W3 - P520","3520","22"
"President Democratic Party","BE","Hillary Clinton ","W3 - P525","3525","28"
"President Democratic Party","BE","Bernie Sanders","W3 - P525","3525","37"
"President Democratic Party","BE","Hillary Clinton ","W3 - P530","3530","52"
"President Democratic Party","BE","Bernie Sanders","W3 - P530","3530","53"
"President Democratic Party","BE","Hillary Clinton ","W3 - P535","3535","20"
"President Democratic Party","BE","Bernie Sanders","W3 - P535","3535","25"
"President Democratic Party","BE","Hillary Clinton ","W3 - P540","3540","40"
"President Democratic Party","BE","Bernie Sanders","W3 - P540","3540","31"
"President Democratic Party","BE","Hillary Clinton ","W3 - P545","3545","16"
"President Democratic Party","BE","Bernie Sanders","W3 - P545","3545","19"
"President Democratic Party","BE","Hillary Clinton ","W3 - P550","3550","23"
"President Democratic Party","BE","Bernie Sanders","W3 - P550","3550","31"
"President Democratic Party","BE","Hillary Clinton ","W3 - P551","3551","31"
"President Democratic Party","BE","Bernie Sanders","W3 - P551","3551","23"
"President Democratic Party","BE","Hillary Clinton ","W3 - P552","3552","16"
"President Democratic Party","BE","Bernie Sanders","W3 - P552","3552","28"
"President Democratic Party","BE","Hillary Clinton ","W3 - P553","3553","32"
"President Democratic Party","BE","Bernie Sanders","W3 - P553","3553","32"
"President Democratic Party","BE","Hillary Clinton ","W3 - P555","3555","29"
"President Democratic Party","BE","Bernie Sanders","W3 - P555","3555","23"
"President Democratic Party","BE","Hillary Clinton ","W3 - P556","3556","36"
"President Democratic Party","BE","Bernie Sanders","W3 - P556","3556","30"
"President Democratic Party","BE","Hillary Clinton ","W3 - P557","3557","22"
"President Democratic Party","BE","Bernie Sanders","W3 - P557","3557","27"
"President Democratic Party","BE","Hillary Clinton ","W3 - P558","3558","47"
"President Democratic Party","BE","Bernie Sanders","W3 - P558","3558","35"
"President Democratic Party","BE","Hillary Clinton ","W3 - P559","3559","29"
"President Democratic Party","BE","Bernie Sanders","W3 - P559","3559","34"
"President Democratic Party","BE","Hillary Clinton ","W3 - P560","3560","20"
"President Democratic Party","BE","Bernie Sanders","W3 - P560","3560","14"
"President Democratic Party","BE","Hillary Clinton ","WR 1","4001","18"
"President Democratic Party","BE","Bernie Sanders","WR 1","4001","32"
"President Democratic Party","BE","Hillary Clinton ","WR 2","4002","20"
"President Democratic Party","BE","Bernie Sanders","WR 2","4002","25"
"President Democratic Party","BE","Hillary Clinton ","WR 3","4003","13"
"President Democratic Party","BE","Bernie Sanders","WR 3","4003","20"
"President Democratic Party","BE","Hillary Clinton ","WR 4","4004","36"
"President Democratic Party","BE","Bernie Sanders","WR 4","4004","48"
"President Democratic Party","BE","Hillary Clinton ","WR 5","4005","16"
"President Democratic Party","BE","Bernie Sanders","WR 5","4005","17"
"President Democratic Party","BE","Hillary Clinton ","WR 6","4006","33"
"President Democratic Party","BE","Bernie Sanders","WR 6","4006","32"
"President Democratic Party","BE","Hillary Clinton ","WR 7","4007","39"
"President Democratic Party","BE","Bernie Sanders","WR 7","4007","46"
"President Democratic Party","BE","Hillary Clinton ","WR 8","4008","55"
