"Race","CountyCode","Candidate","PrecinctName","PrecinctCode","Votes"
"Finley School District 53 Proposition 16-4 REPLACEMENT MAINTENANCE AND OPERATION LEVY","BE","Levy-Yes","Total","-1","512"
"Finley School District 53 Proposition 16-4 REPLACEMENT MAINTENANCE AND OPERATION LEVY","BE","Levy-No","Total","-1","293"
"Finley School District 53 Proposition 16-4 REPLACEMENT MAINTENANCE AND OPERATION LEVY","BE","Levy-Yes","Finley","5606","174"
"Finley School District 53 Proposition 16-4 REPLACEMENT MAINTENANCE AND OPERATION LEVY","BE","Levy-No","Finley","5606","108"
"Finley School District 53 Proposition 16-4 REPLACEMENT MAINTENANCE AND OPERATION LEVY","BE","Levy-Yes","Hedges","5609","79"
"Finley School District 53 Proposition 16-4 REPLACEMENT MAINTENANCE AND OPERATION LEVY","BE","Levy-No","Hedges","5609","51"
"Finley School District 53 Proposition 16-4 REPLACEMENT MAINTENANCE AND OPERATION LEVY","BE","Levy-Yes","Mills","5628","180"
"Finley School District 53 Proposition 16-4 REPLACEMENT MAINTENANCE AND OPERATION LEVY","BE","Levy-No","Mills","5628","81"
"Finley School District 53 Proposition 16-4 REPLACEMENT MAINTENANCE AND OPERATION LEVY","BE","Levy-Yes","Ivey","5629","79"
"Finley School District 53 Proposition 16-4 REPLACEMENT MAINTENANCE AND OPERATION LEVY","BE","Levy-No","Ivey","5629","53"
"Kiona-Benton City School District 52 Proposition 16-3 MAINTENANCE AND OPERATION REPLACEMENT LEVY","BE","Levy-Yes","Total","-1","890"
"Kiona-Benton City School District 52 Proposition 16-3 MAINTENANCE AND OPERATION REPLACEMENT LEVY","BE","Levy-No","Total","-1","750"
"Kiona-Benton City School District 52 Proposition 16-3 MAINTENANCE AND OPERATION REPLACEMENT LEVY","BE","Levy-Yes","Hanford 2","98","0"
"Kiona-Benton City School District 52 Proposition 16-3 MAINTENANCE AND OPERATION REPLACEMENT LEVY","BE","Levy-No","Hanford 2","98","0"
"Kiona-Benton City School District 52 Proposition 16-3 MAINTENANCE AND OPERATION REPLACEMENT LEVY","BE","Levy-Yes","Tumble Weed","1365","10"
"Kiona-Benton City School District 52 Proposition 16-3 MAINTENANCE AND OPERATION REPLACEMENT LEVY","BE","Levy-No","Tumble Weed","1365","15"
"Kiona-Benton City School District 52 Proposition 16-3 MAINTENANCE AND OPERATION REPLACEMENT LEVY","BE","Levy-Yes","Cook","1400","8"
"Kiona-Benton City School District 52 Proposition 16-3 MAINTENANCE AND OPERATION REPLACEMENT LEVY","BE","Levy-No","Cook","1400","4"
"Kiona-Benton City School District 52 Proposition 16-3 MAINTENANCE AND OPERATION REPLACEMENT LEVY","BE","Levy-Yes","Dot","1402","43"
"Kiona-Benton City School District 52 Proposition 16-3 MAINTENANCE AND OPERATION REPLACEMENT LEVY","BE","Levy-No","Dot","1402","56"
"Kiona-Benton City School District 52 Proposition 16-3 MAINTENANCE AND OPERATION REPLACEMENT LEVY","BE","Levy-Yes","Cone","1412","61"
"Kiona-Benton City School District 52 Proposition 16-3 MAINTENANCE AND OPERATION REPLACEMENT LEVY","BE","Levy-No","Cone","1412","44"
"Kiona-Benton City School District 52 Proposition 16-3 MAINTENANCE AND OPERATION REPLACEMENT LEVY","BE","Levy-Yes","Chandler","1422","24"
