Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
ALG 30-0013,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,No,33
ALG 30-0013,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Registered Voters,460
ALG 30-0013,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Blank Voted,0
ALG 30-0013,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Counted,84
ALG 30-0013,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Over Voted,0
ALG 30-0013,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Yes,51
ALG 30-0014,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,No,47
ALG 30-0014,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Registered Voters,491
ALG 30-0014,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Blank Voted,0
ALG 30-0014,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Counted,98
ALG 30-0014,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Over Voted,0
ALG 30-0014,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Yes,51
ALG 30-3141,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,No,51
ALG 30-3141,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Registered Voters,525
ALG 30-3141,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Blank Voted,0
ALG 30-3141,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Counted,99
ALG 30-3141,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Over Voted,0
ALG 30-3141,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Yes,48
ANGEL CITY,Renton School District No. 403 Proposition No. 1,37,2,9,Total,NP,No,68
ANGEL CITY,Renton School District No. 403 Proposition No. 1,37,2,9,Total,NP,Registered Voters,735
ANGEL CITY,Renton School District No. 403 Proposition No. 1,37,2,9,Total,NP,Times Blank Voted,0
ANGEL CITY,Renton School District No. 403 Proposition No. 1,37,2,9,Total,NP,Times Counted,160
ANGEL CITY,Renton School District No. 403 Proposition No. 1,37,2,9,Total,NP,Times Over Voted,0
ANGEL CITY,Renton School District No. 403 Proposition No. 1,37,2,9,Total,NP,Yes,92
ANGEL CITY,Renton School District No. 403 Proposition No. 2,37,2,9,Total,NP,No,69
ANGEL CITY,Renton School District No. 403 Proposition No. 2,37,2,9,Total,NP,Registered Voters,735
ANGEL CITY,Renton School District No. 403 Proposition No. 2,37,2,9,Total,NP,Times Blank Voted,1
ANGEL CITY,Renton School District No. 403 Proposition No. 2,37,2,9,Total,NP,Times Counted,160
ANGEL CITY,Renton School District No. 403 Proposition No. 2,37,2,9,Total,NP,Times Over Voted,0
ANGEL CITY,Renton School District No. 403 Proposition No. 2,37,2,9,Total,NP,Yes,90
ANGELO,Federal Way School District No. 210 Proposition No. 1,30,7,8,Total,NP,No,59
ANGELO,Federal Way School District No. 210 Proposition No. 1,30,7,8,Total,NP,Registered Voters,449
ANGELO,Federal Way School District No. 210 Proposition No. 1,30,7,8,Total,NP,Times Blank Voted,0
ANGELO,Federal Way School District No. 210 Proposition No. 1,30,7,8,Total,NP,Times Counted,126
ANGELO,Federal Way School District No. 210 Proposition No. 1,30,7,8,Total,NP,Times Over Voted,0
ANGELO,Federal Way School District No. 210 Proposition No. 1,30,7,8,Total,NP,Yes,67
AUB 30-0046,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,No,32
AUB 30-0046,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Registered Voters,341
AUB 30-0046,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Blank Voted,0
AUB 30-0046,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Counted,76
AUB 30-0046,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Over Voted,0
AUB 30-0046,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Yes,44
AUB 30-0053,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,No,42
AUB 30-0053,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Registered Voters,469
AUB 30-0053,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Blank Voted,0
AUB 30-0053,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Counted,99
AUB 30-0053,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Over Voted,0
AUB 30-0053,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Yes,57
AUB 30-0067,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,No,28
AUB 30-0067,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Registered Voters,374
AUB 30-0067,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Blank Voted,0
AUB 30-0067,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Counted,72
AUB 30-0067,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Over Voted,0
AUB 30-0067,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Yes,44
AUB 30-0067,Federal Way School District No. 210 Proposition No. 1,30,7,8,Total,NP,No,9
AUB 30-0067,Federal Way School District No. 210 Proposition No. 1,30,7,8,Total,NP,Registered Voters,101
AUB 30-0067,Federal Way School District No. 210 Proposition No. 1,30,7,8,Total,NP,Times Blank Voted,1
AUB 30-0067,Federal Way School District No. 210 Proposition No. 1,30,7,8,Total,NP,Times Counted,28
AUB 30-0067,Federal Way School District No. 210 Proposition No. 1,30,7,8,Total,NP,Times Over Voted,0
AUB 30-0067,Federal Way School District No. 210 Proposition No. 1,30,7,8,Total,NP,Yes,18
AUB 30-2702,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,No,27
AUB 30-2702,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Registered Voters,449
AUB 30-2702,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Blank Voted,0
AUB 30-2702,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Counted,75
AUB 30-2702,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Over Voted,0
AUB 30-2702,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Yes,48
AUB 30-2703,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,No,6
AUB 30-2703,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Registered Voters,269
AUB 30-2703,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Blank Voted,0
AUB 30-2703,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Counted,30
AUB 30-2703,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Over Voted,0
AUB 30-2703,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Yes,24
AUB 30-3476,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,No,8
AUB 30-3476,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Registered Voters,279
AUB 30-3476,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Blank Voted,0
AUB 30-3476,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Counted,37
AUB 30-3476,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Over Voted,0
AUB 30-3476,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Yes,29
AUB 30-3477,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,No,15
AUB 30-3477,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Registered Voters,186
AUB 30-3477,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Blank Voted,0
AUB 30-3477,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Counted,27
AUB 30-3477,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Times Over Voted,0
AUB 30-3477,Auburn School District No. 408 Proposition No. 1,30,7,8,Total,NP,Yes,12
AUB 31-0042,Auburn School District No. 408 Proposition No. 1,31,7,8,Total,NP,No,82
AUB 31-0042,Auburn School District No. 408 Proposition No. 1,31,7,8,Total,NP,Registered Voters,517
AUB 31-0042,Auburn School District No. 408 Proposition No. 1,31,7,8,Total,NP,Times Blank Voted,0
AUB 31-0042,Auburn School District No. 408 Proposition No. 1,31,7,8,Total,NP,Times Counted,147
AUB 31-0042,Auburn School District No. 408 Proposition No. 1,31,7,8,Total,NP,Times Over Voted,0
AUB 31-0042,Auburn School District No. 408 Proposition No. 1,31,7,8,Total,NP,Yes,65
AUB 31-0047,Auburn School District No. 408 Proposition No. 1,31,7,8,Total,NP,No,61
AUB 31-0047,Auburn School District No. 408 Proposition No. 1,31,7,8,Total,NP,Registered Voters,588
AUB 31-0047,Auburn School District No. 408 Proposition No. 1,31,7,8,Total,NP,Times Blank Voted,0
AUB 31-0047,Auburn School District No. 408 Proposition No. 1,31,7,8,Total,NP,Times Counted,141
AUB 31-0047,Auburn School District No. 408 Proposition No. 1,31,7,8,Total,NP,Times Over Voted,0
AUB 31-0047,Auburn School District No. 408 Proposition No. 1,31,7,8,Total,NP,Yes,80
AUB 31-0048,Auburn School District No. 408 Proposition No. 1,31,7,8,Total,NP,No,16
AUB 31-0048,Auburn School District No. 408 Proposition No. 1,31,7,8,Total,NP,Registered Voters,215
