Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
ADAIR,Democratic Party,45,3,1,Total,NP,Bernie Sanders,24
ADAIR,Democratic Party,45,3,1,Total,NP,Hillary Clinton,117
ADAIR,Democratic Party,45,3,1,Total,NP,Registered Voters,503
ADAIR,Democratic Party,45,3,1,Total,NP,Times Blank Voted,141
ADAIR,Democratic Party,45,3,1,Total,NP,Times Counted,282
ADAIR,Democratic Party,45,3,1,Total,NP,Times Over Voted,0
ADAIR,Democratic Party,45,3,1,Total,NP,Write-In,0
ADAIR,Republican Party,45,3,1,Total,NP,Ben Carson,1
ADAIR,Republican Party,45,3,1,Total,NP,Donald J. Trump,101
ADAIR,Republican Party,45,3,1,Total,NP,John R. Kasich,28
ADAIR,Republican Party,45,3,1,Total,NP,Registered Voters,503
ADAIR,Republican Party,45,3,1,Total,NP,Ted Cruz,8
ADAIR,Republican Party,45,3,1,Total,NP,Times Blank Voted,141
ADAIR,Republican Party,45,3,1,Total,NP,Times Counted,282
ADAIR,Republican Party,45,3,1,Total,NP,Times Over Voted,0
ADAIR,Republican Party,45,3,1,Total,NP,Write-In,3
ALDARRA,Democratic Party,5,3,8,Total,NP,Bernie Sanders,62
ALDARRA,Democratic Party,5,3,8,Total,NP,Hillary Clinton,76
ALDARRA,Democratic Party,5,3,8,Total,NP,Registered Voters,757
ALDARRA,Democratic Party,5,3,8,Total,NP,Times Blank Voted,116
ALDARRA,Democratic Party,5,3,8,Total,NP,Times Counted,254
ALDARRA,Democratic Party,5,3,8,Total,NP,Times Over Voted,0
ALDARRA,Democratic Party,5,3,8,Total,NP,Write-In,0
ALDARRA,Republican Party,5,3,8,Total,NP,Ben Carson,6
ALDARRA,Republican Party,5,3,8,Total,NP,Donald J. Trump,94
ALDARRA,Republican Party,5,3,8,Total,NP,John R. Kasich,11
ALDARRA,Republican Party,5,3,8,Total,NP,Registered Voters,757
ALDARRA,Republican Party,5,3,8,Total,NP,Ted Cruz,3
ALDARRA,Republican Party,5,3,8,Total,NP,Times Blank Voted,139
ALDARRA,Republican Party,5,3,8,Total,NP,Times Counted,254
ALDARRA,Republican Party,5,3,8,Total,NP,Times Over Voted,0
ALDARRA,Republican Party,5,3,8,Total,NP,Write-In,1
ALDER SPRINGS,Democratic Party,45,3,1,Total,NP,Bernie Sanders,58
ALDER SPRINGS,Democratic Party,45,3,1,Total,NP,Hillary Clinton,34
ALDER SPRINGS,Democratic Party,45,3,1,Total,NP,Registered Voters,574
ALDER SPRINGS,Democratic Party,45,3,1,Total,NP,Times Blank Voted,72
ALDER SPRINGS,Democratic Party,45,3,1,Total,NP,Times Counted,164
ALDER SPRINGS,Democratic Party,45,3,1,Total,NP,Times Over Voted,0
ALDER SPRINGS,Democratic Party,45,3,1,Total,NP,Write-In,0
ALDER SPRINGS,Republican Party,45,3,1,Total,NP,Ben Carson,4
ALDER SPRINGS,Republican Party,45,3,1,Total,NP,Donald J. Trump,45
ALDER SPRINGS,Republican Party,45,3,1,Total,NP,John R. Kasich,9
ALDER SPRINGS,Republican Party,45,3,1,Total,NP,Registered Voters,574
ALDER SPRINGS,Republican Party,45,3,1,Total,NP,Ted Cruz,13
ALDER SPRINGS,Republican Party,45,3,1,Total,NP,Times Blank Voted,92
ALDER SPRINGS,Republican Party,45,3,1,Total,NP,Times Counted,164
ALDER SPRINGS,Republican Party,45,3,1,Total,NP,Times Over Voted,0
ALDER SPRINGS,Republican Party,45,3,1,Total,NP,Write-In,1
ALDERWOOD,Democratic Party,45,3,1,Total,NP,Bernie Sanders,22
ALDERWOOD,Democratic Party,45,3,1,Total,NP,Hillary Clinton,52
ALDERWOOD,Democratic Party,45,3,1,Total,NP,Registered Voters,444
ALDERWOOD,Democratic Party,45,3,1,Total,NP,Times Blank Voted,54
ALDERWOOD,Democratic Party,45,3,1,Total,NP,Times Counted,128
ALDERWOOD,Democratic Party,45,3,1,Total,NP,Times Over Voted,0
ALDERWOOD,Democratic Party,45,3,1,Total,NP,Write-In,0
ALDERWOOD,Republican Party,45,3,1,Total,NP,Ben Carson,2
ALDERWOOD,Republican Party,45,3,1,Total,NP,Donald J. Trump,34
ALDERWOOD,Republican Party,45,3,1,Total,NP,John R. Kasich,11
ALDERWOOD,Republican Party,45,3,1,Total,NP,Registered Voters,444
ALDERWOOD,Republican Party,45,3,1,Total,NP,Ted Cruz,6
ALDERWOOD,Republican Party,45,3,1,Total,NP,Times Blank Voted,74
ALDERWOOD,Republican Party,45,3,1,Total,NP,Times Counted,128
ALDERWOOD,Republican Party,45,3,1,Total,NP,Times Over Voted,0
ALDERWOOD,Republican Party,45,3,1,Total,NP,Write-In,1
ALG 30-0013,Democratic Party,30,7,8,Total,NP,Bernie Sanders,32
ALG 30-0013,Democratic Party,30,7,8,Total,NP,Hillary Clinton,30
ALG 30-0013,Democratic Party,30,7,8,Total,NP,Registered Voters,472
ALG 30-0013,Democratic Party,30,7,8,Total,NP,Times Blank Voted,44
ALG 30-0013,Democratic Party,30,7,8,Total,NP,Times Counted,106
ALG 30-0013,Democratic Party,30,7,8,Total,NP,Times Over Voted,0
ALG 30-0013,Democratic Party,30,7,8,Total,NP,Write-In,0
ALG 30-0013,Republican Party,30,7,8,Total,NP,Ben Carson,2
ALG 30-0013,Republican Party,30,7,8,Total,NP,Donald J. Trump,39
ALG 30-0013,Republican Party,30,7,8,Total,NP,John R. Kasich,1
ALG 30-0013,Republican Party,30,7,8,Total,NP,Registered Voters,472
ALG 30-0013,Republican Party,30,7,8,Total,NP,Ted Cruz,2
ALG 30-0013,Republican Party,30,7,8,Total,NP,Times Blank Voted,62
ALG 30-0013,Republican Party,30,7,8,Total,NP,Times Counted,106
ALG 30-0013,Republican Party,30,7,8,Total,NP,Times Over Voted,0
ALG 30-0013,Republican Party,30,7,8,Total,NP,Write-In,0
ALG 30-0014,Democratic Party,30,7,8,Total,NP,Bernie Sanders,57
ALG 30-0014,Democratic Party,30,7,8,Total,NP,Hillary Clinton,31
ALG 30-0014,Democratic Party,30,7,8,Total,NP,Registered Voters,510
ALG 30-0014,Democratic Party,30,7,8,Total,NP,Times Blank Voted,59
ALG 30-0014,Democratic Party,30,7,8,Total,NP,Times Counted,147
ALG 30-0014,Democratic Party,30,7,8,Total,NP,Times Over Voted,0
ALG 30-0014,Democratic Party,30,7,8,Total,NP,Write-In,0
ALG 30-0014,Republican Party,30,7,8,Total,NP,Ben Carson,2
ALG 30-0014,Republican Party,30,7,8,Total,NP,Donald J. Trump,48
ALG 30-0014,Republican Party,30,7,8,Total,NP,John R. Kasich,4
ALG 30-0014,Republican Party,30,7,8,Total,NP,Registered Voters,510
ALG 30-0014,Republican Party,30,7,8,Total,NP,Ted Cruz,3
ALG 30-0014,Republican Party,30,7,8,Total,NP,Times Blank Voted,89
ALG 30-0014,Republican Party,30,7,8,Total,NP,Times Counted,147
ALG 30-0014,Republican Party,30,7,8,Total,NP,Times Over Voted,0
ALG 30-0014,Republican Party,30,7,8,Total,NP,Write-In,1
ALG 30-3141,Democratic Party,30,7,8,Total,NP,Bernie Sanders,30
ALG 30-3141,Democratic Party,30,7,8,Total,NP,Hillary Clinton,42
ALG 30-3141,Democratic Party,30,7,8,Total,NP,Registered Voters,527
ALG 30-3141,Democratic Party,30,7,8,Total,NP,Times Blank Voted,81
ALG 30-3141,Democratic Party,30,7,8,Total,NP,Times Counted,153
ALG 30-3141,Democratic Party,30,7,8,Total,NP,Times Over Voted,0
ALG 30-3141,Democratic Party,30,7,8,Total,NP,Write-In,0
ALG 30-3141,Republican Party,30,7,8,Total,NP,Ben Carson,2
ALG 30-3141,Republican Party,30,7,8,Total,NP,Donald J. Trump,67
ALG 30-3141,Republican Party,30,7,8,Total,NP,John R. Kasich,1
ALG 30-3141,Republican Party,30,7,8,Total,NP,Registered Voters,527
ALG 30-3141,Republican Party,30,7,8,Total,NP,Ted Cruz,9
ALG 30-3141,Republican Party,30,7,8,Total,NP,Times Blank Voted,72
ALG 30-3141,Republican Party,30,7,8,Total,NP,Times Counted,153
ALG 30-3141,Republican Party,30,7,8,Total,NP,Times Over Voted,0
ALG 30-3141,Republican Party,30,7,8,Total,NP,Write-In,2
ALPINE,Democratic Party,5,3,1,Total,NP,Bernie Sanders,43
ALPINE,Democratic Party,5,3,1,Total,NP,Hillary Clinton,56
ALPINE,Democratic Party,5,3,1,Total,NP,Registered Voters,609
ALPINE,Democratic Party,5,3,1,Total,NP,Times Blank Voted,91
ALPINE,Democratic Party,5,3,1,Total,NP,Times Counted,190
ALPINE,Democratic Party,5,3,1,Total,NP,Times Over Voted,0
ALPINE,Democratic Party,5,3,1,Total,NP,Write-In,0
ALPINE,Republican Party,5,3,1,Total,NP,Ben Carson,3
ALPINE,Republican Party,5,3,1,Total,NP,Donald J. Trump,76
ALPINE,Republican Party,5,3,1,Total,NP,John R. Kasich,5
ALPINE,Republican Party,5,3,1,Total,NP,Registered Voters,609
ALPINE,Republican Party,5,3,1,Total,NP,Ted Cruz,5
ALPINE,Republican Party,5,3,1,Total,NP,Times Blank Voted,99
ALPINE,Republican Party,5,3,1,Total,NP,Times Counted,190
ALPINE,Republican Party,5,3,1,Total,NP,Times Over Voted,0
ALPINE,Republican Party,5,3,1,Total,NP,Write-In,2
AMES LAKE,Democratic Party,5,3,1,Total,NP,Bernie Sanders,91
AMES LAKE,Democratic Party,5,3,1,Total,NP,Hillary Clinton,77
AMES LAKE,Democratic Party,5,3,1,Total,NP,Registered Voters,851
AMES LAKE,Democratic Party,5,3,1,Total,NP,Times Blank Voted,85
AMES LAKE,Democratic Party,5,3,1,Total,NP,Times Counted,254
AMES LAKE,Democratic Party,5,3,1,Total,NP,Times Over Voted,0
AMES LAKE,Democratic Party,5,3,1,Total,NP,Write-In,1
AMES LAKE,Republican Party,5,3,1,Total,NP,Ben Carson,4
AMES LAKE,Republican Party,5,3,1,Total,NP,Donald J. Trump,56
AMES LAKE,Republican Party,5,3,1,Total,NP,John R. Kasich,10
AMES LAKE,Republican Party,5,3,1,Total,NP,Registered Voters,851
AMES LAKE,Republican Party,5,3,1,Total,NP,Ted Cruz,14
AMES LAKE,Republican Party,5,3,1,Total,NP,Times Blank Voted,169
AMES LAKE,Republican Party,5,3,1,Total,NP,Times Counted,254
AMES LAKE,Republican Party,5,3,1,Total,NP,Times Over Voted,0
AMES LAKE,Republican Party,5,3,1,Total,NP,Write-In,1
ANGEL CITY,Democratic Party,37,2,9,Total,NP,Bernie Sanders,71
ANGEL CITY,Democratic Party,37,2,9,Total,NP,Hillary Clinton,97
ANGEL CITY,Democratic Party,37,2,9,Total,NP,Registered Voters,736
ANGEL CITY,Democratic Party,37,2,9,Total,NP,Times Blank Voted,41
ANGEL CITY,Democratic Party,37,2,9,Total,NP,Times Counted,210
ANGEL CITY,Democratic Party,37,2,9,Total,NP,Times Over Voted,1
ANGEL CITY,Democratic Party,37,2,9,Total,NP,Write-In,0
ANGEL CITY,Republican Party,37,2,9,Total,NP,Ben Carson,0
ANGEL CITY,Republican Party,37,2,9,Total,NP,Donald J. Trump,30
ANGEL CITY,Republican Party,37,2,9,Total,NP,John R. Kasich,4
ANGEL CITY,Republican Party,37,2,9,Total,NP,Registered Voters,736
ANGEL CITY,Republican Party,37,2,9,Total,NP,Ted Cruz,6
ANGEL CITY,Republican Party,37,2,9,Total,NP,Times Blank Voted,169
ANGEL CITY,Republican Party,37,2,9,Total,NP,Times Counted,210
ANGEL CITY,Republican Party,37,2,9,Total,NP,Times Over Voted,0
ANGEL CITY,Republican Party,37,2,9,Total,NP,Write-In,1
ANGELO,Democratic Party,30,7,8,Total,NP,Bernie Sanders,42
ANGELO,Democratic Party,30,7,8,Total,NP,Hillary Clinton,39
ANGELO,Democratic Party,30,7,8,Total,NP,Registered Voters,468
ANGELO,Democratic Party,30,7,8,Total,NP,Times Blank Voted,93
ANGELO,Democratic Party,30,7,8,Total,NP,Times Counted,175
ANGELO,Democratic Party,30,7,8,Total,NP,Times Over Voted,0
ANGELO,Democratic Party,30,7,8,Total,NP,Write-In,1
ANGELO,Republican Party,30,7,8,Total,NP,Ben Carson,5
ANGELO,Republican Party,30,7,8,Total,NP,Donald J. Trump,64
ANGELO,Republican Party,30,7,8,Total,NP,John R. Kasich,3
ANGELO,Republican Party,30,7,8,Total,NP,Registered Voters,468
ANGELO,Republican Party,30,7,8,Total,NP,Ted Cruz,17
ANGELO,Republican Party,30,7,8,Total,NP,Times Blank Voted,83
ANGELO,Republican Party,30,7,8,Total,NP,Times Counted,175
ANGELO,Republican Party,30,7,8,Total,NP,Times Over Voted,0
ANGELO,Republican Party,30,7,8,Total,NP,Write-In,3
ARIA,Democratic Party,11,9,8,Total,NP,Bernie Sanders,35
ARIA,Democratic Party,11,9,8,Total,NP,Hillary Clinton,38
ARIA,Democratic Party,11,9,8,Total,NP,Registered Voters,424
ARIA,Democratic Party,11,9,8,Total,NP,Times Blank Voted,42
ARIA,Democratic Party,11,9,8,Total,NP,Times Counted,116
ARIA,Democratic Party,11,9,8,Total,NP,Times Over Voted,0
ARIA,Democratic Party,11,9,8,Total,NP,Write-In,1
ARIA,Republican Party,11,9,8,Total,NP,Ben Carson,1
ARIA,Republican Party,11,9,8,Total,NP,Donald J. Trump,26
ARIA,Republican Party,11,9,8,Total,NP,John R. Kasich,10
ARIA,Republican Party,11,9,8,Total,NP,Registered Voters,424
ARIA,Republican Party,11,9,8,Total,NP,Ted Cruz,5
ARIA,Republican Party,11,9,8,Total,NP,Times Blank Voted,74
ARIA,Republican Party,11,9,8,Total,NP,Times Counted,116
ARIA,Republican Party,11,9,8,Total,NP,Times Over Voted,0
ARIA,Republican Party,11,9,8,Total,NP,Write-In,0
ARTHUR,Democratic Party,5,9,8,Total,NP,Bernie Sanders,56
ARTHUR,Democratic Party,5,9,8,Total,NP,Hillary Clinton,63
ARTHUR,Democratic Party,5,9,8,Total,NP,Registered Voters,900
ARTHUR,Democratic Party,5,9,8,Total,NP,Times Blank Voted,169
ARTHUR,Democratic Party,5,9,8,Total,NP,Times Counted,289
ARTHUR,Democratic Party,5,9,8,Total,NP,Times Over Voted,0
ARTHUR,Democratic Party,5,9,8,Total,NP,Write-In,1
ARTHUR,Republican Party,5,9,8,Total,NP,Ben Carson,2
ARTHUR,Republican Party,5,9,8,Total,NP,Donald J. Trump,127
ARTHUR,Republican Party,5,9,8,Total,NP,John R. Kasich,23
ARTHUR,Republican Party,5,9,8,Total,NP,Registered Voters,900
ARTHUR,Republican Party,5,9,8,Total,NP,Ted Cruz,16
ARTHUR,Republican Party,5,9,8,Total,NP,Times Blank Voted,120
ARTHUR,Republican Party,5,9,8,Total,NP,Times Counted,289
ARTHUR,Republican Party,5,9,8,Total,NP,Times Over Voted,0
ARTHUR,Republican Party,5,9,8,Total,NP,Write-In,1
ASPEN GLEN,Democratic Party,45,3,1,Total,NP,Bernie Sanders,20
ASPEN GLEN,Democratic Party,45,3,1,Total,NP,Hillary Clinton,41
ASPEN GLEN,Democratic Party,45,3,1,Total,NP,Registered Voters,399
ASPEN GLEN,Democratic Party,45,3,1,Total,NP,Times Blank Voted,59
ASPEN GLEN,Democratic Party,45,3,1,Total,NP,Times Counted,120
ASPEN GLEN,Democratic Party,45,3,1,Total,NP,Times Over Voted,0
ASPEN GLEN,Democratic Party,45,3,1,Total,NP,Write-In,0
ASPEN GLEN,Republican Party,45,3,1,Total,NP,Ben Carson,0
ASPEN GLEN,Republican Party,45,3,1,Total,NP,Donald J. Trump,49
ASPEN GLEN,Republican Party,45,3,1,Total,NP,John R. Kasich,5
ASPEN GLEN,Republican Party,45,3,1,Total,NP,Registered Voters,399
ASPEN GLEN,Republican Party,45,3,1,Total,NP,Ted Cruz,5
ASPEN GLEN,Republican Party,45,3,1,Total,NP,Times Blank Voted,61
ASPEN GLEN,Republican Party,45,3,1,Total,NP,Times Counted,120
ASPEN GLEN,Republican Party,45,3,1,Total,NP,Times Over Voted,0
ASPEN GLEN,Republican Party,45,3,1,Total,NP,Write-In,0
AUB 30-0046,Democratic Party,30,7,8,Total,NP,Bernie Sanders,34
AUB 30-0046,Democratic Party,30,7,8,Total,NP,Hillary Clinton,43
AUB 30-0046,Democratic Party,30,7,8,Total,NP,Registered Voters,355
AUB 30-0046,Democratic Party,30,7,8,Total,NP,Times Blank Voted,53
AUB 30-0046,Democratic Party,30,7,8,Total,NP,Times Counted,130
AUB 30-0046,Democratic Party,30,7,8,Total,NP,Times Over Voted,0
AUB 30-0046,Democratic Party,30,7,8,Total,NP,Write-In,0
AUB 30-0046,Republican Party,30,7,8,Total,NP,Ben Carson,0
AUB 30-0046,Republican Party,30,7,8,Total,NP,Donald J. Trump,43
AUB 30-0046,Republican Party,30,7,8,Total,NP,John R. Kasich,3
AUB 30-0046,Republican Party,30,7,8,Total,NP,Registered Voters,355
AUB 30-0046,Republican Party,30,7,8,Total,NP,Ted Cruz,5
AUB 30-0046,Republican Party,30,7,8,Total,NP,Times Blank Voted,77
AUB 30-0046,Republican Party,30,7,8,Total,NP,Times Counted,130
AUB 30-0046,Republican Party,30,7,8,Total,NP,Times Over Voted,0
AUB 30-0046,Republican Party,30,7,8,Total,NP,Write-In,2
AUB 30-0053,Democratic Party,30,7,8,Total,NP,Bernie Sanders,56
AUB 30-0053,Democratic Party,30,7,8,Total,NP,Hillary Clinton,46
AUB 30-0053,Democratic Party,30,7,8,Total,NP,Registered Voters,491
