PRECINCT,POSITION,DISTRICT CODE,PARTY,CANDIDATE NAME,VOTES
3100,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,702
3101,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,579
3102,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,833
3103,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,609
3104,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,751
3105,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,720
3106,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,704
3107,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,887
3108,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,967
3109,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,866
3110,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,720
3111,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,810
3112,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,753
3113,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,498
3114,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,621
3115,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,694
3116,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,873
3117,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,815
3118,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,748
3119,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,838
3120,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,883
3121,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,767
3122,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,676
3123,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,741
3124,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1014
3125,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,722
3126,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,936
3127,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1095
3128,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,749
3129,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,934
3130,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,460
3131,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,901
3132,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,640
3133,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,744
3134,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,865
3135,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,591
3136,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,718
3137,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,738
3138,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,867
3139,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,735
3140,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,818
3141,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,692
3142,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,673
3143,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,855
3144,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,883
3145,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,622
3146,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,974
3147,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,898
3148,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,625
3149,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,938
3150,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,952
3151,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,852
3152,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,963
3153,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,804
3154,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,589
3155,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,971
3156,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,921
3157,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1035
3158,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1021
3159,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,911
3160,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1047
3161,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,673
3162,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,692
3163,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,625
