,,,,,Registration,Votes,
33420100,Hewitt Lake,,,,Registration,702,
93422101,Zangle,,,,Registration,495,
93422102,Boston Harbor,,,,Registration,568,
93422103,Gull Harbor,,,,Registration,393,
93422104,Friendly Harbor,,,,Registration,371,
93422105,South Bay,,,,Registration,691,
93422106,Puget,,,,Registration,627,
93422107,Bigelow,,,,Registration,542,
33422108,Kirsop,,,,Registration,374,
93422109,Pleasant Glade,,,,Registration,350,
93422110,Montgomery,,,,Registration,386,
93402111,Nisqually,,,,Registration,492,
93422112,Roosevelt,,,,Registration,650,
93422113,Kinwood,,,,Registration,804,
33422114,McKinley,,,,Registration,160,
93420115,Forest,,,,Registration,743,
93420116,St Clair,,,,Registration,578,
93422117,Hicks,,,,Registration,86,
93420118,Fleetwood,,,,Registration,1145,
93420119,Lydia Hawk,,,,Registration,889,
33420120,Hays,,,,Registration,370,
33420121,Indian Summer,,,,Registration,724,
33420122,Chambers,,,,Registration,1190,
33422123,Freedom,,,,Registration,621,
93402124,Fristoe,,,,Registration,506,
93402125,Deschutes,,,,Registration,685,
93402126,Longmire,,,,Registration,482,
33402127,Ruth Prairie,,,,Registration,382,
93402128,Weir Prairie,,,,Registration,726,
33422129,College,,,,Registration,368,
33402130,Bald Hills,,,,Registration,1440,
33435131,Hunter Point,,,,Registration,361,
33435132,Griffin,,,,Registration,521,
33435133,Schneiders Prairie,,,,Registration,443,
33422134,Cooper Point,,,,Registration,517,
33422135,Butler Cove,,,,Registration,490,
33422136,Broadway,,,,Registration,1104,
33402138,Lawrence Lake S,,,,Registration,461,
33422139,Plainview,,,,Registration,844,
33435140,Mud Bay,,,,Registration,487,
33435141,McLane,,,,Registration,466,
33422143,Bush,,,,Registration,190,
33435144,Black Lake,,,,Registration,730,
33420145,Delphi,,,,Registration,565,
33420146,S Union,,,,Registration,896,
33420147,Plumb,,,,Registration,707,
33420148,Scatter Creek,,,,Registration,373,
33420149,McIntosh,,,,Registration,803,
33420150,Violet Prairie,,,,Registration,697,
33420151,Littlerock,,,,Registration,886,
33420152,Gate,,,,Registration,493,
33420153,Rochester 1,,,,Registration,606,
33420154,Rochester 2,,,,Registration,453,
33420155,Scott Lake N,,,,Registration,310,
33420156,Grand Mound,,,,Registration,403,
33420157,Gibson Valley,,,,Registration,128,
33420158,Skookumchuck,,,,Registration,618,
93422159,Meridian,,,,Registration,314,
93422160,Johnson Point,,,,Registration,651,
33422161,Wards,,,,Registration,313,
93422162,Thompson,,,,Registration,500,
33422163,Smith Lake,,,,Registration,488,
33435164,Evergreen Shores,,,,Registration,574,
33420165,Sunwood Lakes,,,,Registration,630,
33420166,Eaton Creek,,,,Registration,338,
93420167,Hawks Ridge,,,,Registration,398,
93422168,Holmes,,,,Registration,593,
93402169,McAllister Creek,,,,Registration,667,
33420170,Rochester 3,,,,Registration,552,
33420171,Waddell Creek,,,,Registration,483,
33422172,Tykle Cove,,,,Registration,534,
33435173,Camelot,,,,Registration,389,
33422174,French,,,,Registration,569,
33422175,Sunset Beach,,,,Registration,631,
93422176,Henderson,,,,Registration,695,
33422177,Israel,,,,Registration,14,
93422178,Pattison,,,,Registration,648,
93402179,Four Corners,,,,Registration,1138,
33420180,Stedman,,,,Registration,488,
33422181,Glenwood,,,,Registration,134,
33420182,Munn Lake,,,,Registration,1087,
93422183,Beach Crest,,,,Registration,474,
33420184,Scheller,,,,Registration,291,
93420185,Fair Oaks,,,,Registration,445,
33422186,Wilderness,,,,Registration,670,
93420187,Mullen,,,,Registration,564,
93422189,Sleater Kinney,,,,Registration,474,
33435190,Lakeside,,,,Registration,340,
33435191,Gallagher Cove,,,,Registration,900,
33420192,East Olympia,,,,Registration,454,
93402193,Berry Valley,,,,Registration,611,
93420194,Hartwood,,,,Registration,858,
93422195,Libby,,,,Registration,510,
93420196,Meadows,,,,Registration,537,
93420197,Summerset,,,,Registration,955,
33420198,Henness,,,,Registration,1017,
33420199,Beaver Creek,,,,Registration,802,
33422201,Olympia 1,,,,Registration,491,
33422202,Olympia 2,,,,Registration,677,
33422203,Olympia 3,,,,Registration,473,
33422204,Olympia 4,,,,Registration,738,
33422205,Olmypia 5,,,,Registration,334,
33422206,Olympia 6,,,,Registration,707,
33422207,Olympia 7,,,,Registration,392,
33422208,Olympia 8,,,,Registration,554,
33422209,Olympia 9,,,,Registration,890,
33422210,Olympia 10,,,,Registration,523,
33422211,Olympia 11,,,,Registration,454,
33422212,Olympia 12,,,,Registration,837,
33422213,Olympia 13,,,,Registration,530,
33422214,Olympia 14,,,,Registration,486,
33422215,Olympia 15,,,,Registration,487,
33422216,Olympia 16,,,,Registration,88,
93422217,Olympia 17,,,,Registration,439,
33422218,Olympia 18,,,,Registration,562,
33422219,Olympia 19,,,,Registration,570,
33422220,Olympia 20,,,,Registration,334,
93422221,Olympia 21,,,,Registration,873,
93422223,Olympia 23,,,,Registration,875,
33422224,Olympia 24,,,,Registration,465,
33422225,Olympia 25,,,,Registration,390,
33422226,Olympia 26,,,,Registration,444,
33422227,Olympia 27,,,,Registration,203,
33422228,Olympia 28,,,,Registration,588,
33422229,Olympia 29,,,,Registration,597,
33422230,Olympia 30,,,,Registration,473,
33422231,Olympia 31,,,,Registration,436,
33422232,Olympia 32,,,,Registration,694,
33422235,Olympia 35,,,,Registration,565,
33422236,Olympia 36,,,,Registration,304,
33422237,Olympia 37,,,,Registration,430,
33422238,Olympia 38,,,,Registration,163,
33422239,Olympia 39,,,,Registration,475,
33422240,Olympia 40,,,,Registration,424,
33422241,Olympia 41,,,,Registration,536,
33422242,Olympia 42,,,,Registration,313,
33422243,Olympia 43,,,,Registration,602,
33422244,Olympia 44,,,,Registration,273,
93422245,Olympia 45,,,,Registration,428,
93422246,Olympia 46,,,,Registration,1002,
33422247,Olympia 47,,,,Registration,596,
33422248,Olympia 48,,,,Registration,666,
33422249,Olympia 49,,,,Registration,597,
33422250,Olympia 50,,,,Registration,428,
33422251,Olympia 51,,,,Registration,755,
33422252,Olympia 52,,,,Registration,314,
93422253,Olympia 53,,,,Registration,489,
33422254,Olympia 54,,,,Registration,351,
93422301,Lacey 1,,,,Registration,269,
93422302,Lacey 2,,,,Registration,496,
93422303,Lacey 3,,,,Registration,606,
93422304,Lacey 4,,,,Registration,389,
93422305,Lacey 5,,,,Registration,379,
93422306,Lacey 6,,,,Registration,257,
93422307,Lacey 7,,,,Registration,539,
93422308,Lacey 8,,,,Registration,404,
93422309,Lacey 9,,,,Registration,285,
93422310,Lacey 10,,,,Registration,563,
93422311,Lacey 11,,,,Registration,377,
33422312,Lacey 12,,,,Registration,72,
93422313,Lacey 13,,,,Registration,306,
93422314,Lacey 14,,,,Registration,268,
93422315,Lacey 15,,,,Registration,560,
93422316,Lacey 16,,,,Registration,394,
93422317,Lacey 17,,,,Registration,500,
93422318,Lacey 18,,,,Registration,654,
93422319,Lacey 19,,,,Registration,390,
93422320,Lacey 20,,,,Registration,285,
93422321,Lacey 21,,,,Registration,314,
33422322,Lacey 22,,,,Registration,1401,
93422323,Lacey 23,,,,Registration,302,
93422324,Lacey 24,,,,Registration,1953,
93422327,Lacey 27,,,,Registration,598,
93422328,Lacey 28,,,,Registration,352,
93422329,Lacey 29,,,,Registration,630,
93422330,Lacey 30,,,,Registration,884,
93422331,Lacey 31,,,,Registration,1044,
93422332,Lacey 32,,,,Registration,781,
93422333,Lacey 33,,,,Registration,373,
93422334,Lacey 34,,,,Registration,296,
93422335,Lacey 35,,,,Registration,327,
93422336,Lacey 36,,,,Registration,182,
93422337,Lacey 37,,,,Registration,184,
33422401,Tumwater 1,,,,Registration,693,
33422402,Tumwater 2,,,,Registration,513,
33422403,Tumwater 3,,,,Registration,426,
33422404,Tumwater 4,,,,Registration,402,
33422405,Tumwater 5,,,,Registration,439,
33422406,Tumwater 6,,,,Registration,559,
33422407,Tumwater 7,,,,Registration,453,
33422408,Tumwater 8,,,,Registration,621,
33422409,Tumwater 9,,,,Registration,399,
33422410,Tumwater 10,,,,Registration,561,
33422411,Tumwater 11,,,,Registration,465,
33422412,Tumwater 12,,,,Registration,501,
33422413,Tumwater 13,,,,Registration,269,
33422414,Tumwater 14,,,,Registration,295,
33422415,Tumwater 15,,,,Registration,618,
33420418,Tumwater 18,,,,Registration,14,
33422421,Tumwater 21,,,,Registration,204,
33420423,Tumwater 23,,,,Registration,25,
33435425,Tumwater 25,,,,Registration,19,
33420501,Tenino 1,,,,Registration,422,
33420502,Tenino 2,,,,Registration,424,
93402601,Rainier 1,,,,Registration,427,
93402602,Rainier 2,,,,Registration,372,
93402701,Yelm 1,,,,Registration,1161,
93402702,Yelm 2,,,,Registration,1014,
33420801,Bucoda,,,,Registration,311,
93499999,Suppressed voters,,,,Registration,60,
THURSTON WA,THURSTON WA,,,,Registration,134876,0
93422039,Jones Beach,,,,Ballots,238,
93420043,University N,,,,Ballots,179,
33435044,Steamboat Island,,,,Ballots,312,
33420045,Rocky Prairie,,,,Ballots,277,
33402046,Lawrence Lake N,,,,Ballots,329,
93422047,Woodard Creek,,,,Ballots,352,
33420048,Michigan Hill,,,,Ballots,265,
33420049,Scott Lake S,,,,Ballots,327,
33420050,Salmon Creek,,,,Ballots,228,
33420051,Spurgeon Creek,,,,Ballots,435,
33420052,James,,,,Ballots,346,
33420053,Vail,,,,Ballots,408,
33420054,Rochester 5,,,,Ballots,420,
33420055,Rochester 4,,,,Ballots,314,
93402057,Medicine Creek,,,,Ballots,169,
93422058,Skokomish,,,,Ballots,198,
93402059,Pleasant Hill,,,,Ballots,423,
33402060,Smith Prairie,,,,Ballots,413,
33435061,Belmore,,,,Ballots,687,
33420062,Black River,,,,Ballots,405,
93422063,Ames,,,,Ballots,327,
33422064,Airport,,,,Ballots,17,
93422065,Luhr Beach,,,,Ballots,416,
93422066,Fish Trap,,,,Ballots,304,
33422069,Simmons 3,,,,Ballots,16,
33422070,Simmons 4,,,,Ballots,19,
93402074,Pines,,,,Ballots,324,
93422075,Long Lake,,,,Ballots,105,
93422076,Hawk Acres,,,,Ballots,243,
33420077,Zenker Valley,,,,Ballots,82,
93420078,Tri Lakes,,,,Ballots,220,
93420079,University S,,,,Ballots,243,
93422080,Tolmie,,,,Ballots,177,
93420081,Military,,,,Ballots,76,
93422082,Glen Terra,,,,Ballots,132,
33420083,Prine,,,,Ballots,77,
33422084,Trosper Lake,,,,Ballots,54,
33435086,Greenridge,,,,Ballots,230,
93422088,Woodland,,,,Ballots,357,
33420089,Tilley,,,,Ballots,515,
33422090,Sweet Briar,,,,Ballots,505,
93402091,Deerbrush,,,,Ballots,451,
93420092,Mushroom Corner,,,,Ballots,475,
93420093,Traiblazer,,,,Ballots,148,
33435094,Frye Cove,,,,Ballots,438,
33435095,Oyster Bay,,,,Ballots,434,
33435096,Summit Lake,,,,Ballots,331,
33420097,Delridge,,,,Ballots,90,
93420098,Marvin,,,,Ballots,482,
33435099,Alpine,,,,Ballots,652,
33420100,Hewitt Lake,,,,Ballots,514,
93422101,Zangle,,,,Ballots,377,
93422102,Boston Harbor,,,,Ballots,434,
93422103,Gull Harbor,,,,Ballots,299,
93422104,Friendly Harbor,,,,Ballots,241,
93422105,South Bay,,,,Ballots,464,
93422106,Puget,,,,Ballots,415,
93422107,Bigelow,,,,Ballots,374,
33422108,Kirsop,,,,Ballots,230,
93422109,Pleasant Glade,,,,Ballots,230,
93422110,Montgomery,,,,Ballots,200,
93402111,Nisqually,,,,Ballots,269,
93422112,Roosevelt,,,,Ballots,399,
93422113,Kinwood,,,,Ballots,489,
33422114,McKinley,,,,Ballots,83,
93420115,Forest,,,,Ballots,560,
93420116,St Clair,,,,Ballots,376,
93422117,Hicks,,,,Ballots,59,
93420118,Fleetwood,,,,Ballots,610,
93420119,Lydia Hawk,,,,Ballots,515,
33420120,Hays,,,,Ballots,257,
33420121,Indian Summer,,,,Ballots,604,
33420122,Chambers,,,,Ballots,785,
33422123,Freedom,,,,Ballots,464,
93402124,Fristoe,,,,Ballots,243,
93402125,Deschutes,,,,Ballots,384,
93402126,Longmire,,,,Ballots,238,
33402127,Ruth Prairie,,,,Ballots,241,
93402128,Weir Prairie,,,,Ballots,494,
33422129,College,,,,Ballots,141,
33402130,Bald Hills,,,,Ballots,797,
33435131,Hunter Point,,,,Ballots,247,
33435132,Griffin,,,,Ballots,365,
33435133,Schneiders Prairie,,,,Ballots,314,
33422134,Cooper Point,,,,Ballots,400,
33422135,Butler Cove,,,,Ballots,358,
33422136,Broadway,,,,Ballots,668,
33402138,Lawrence Lake S,,,,Ballots,241,
33422139,Plainview,,,,Ballots,618,
33435140,Mud Bay,,,,Ballots,317,
33435141,McLane,,,,Ballots,303,
33422143,Bush,,,,Ballots,96,
33435144,Black Lake,,,,Ballots,499,
33420145,Delphi,,,,Ballots,376,
33420146,S Union,,,,Ballots,586,
33420147,Plumb,,,,Ballots,449,
33420148,Scatter Creek,,,,Ballots,241,
33420149,McIntosh,,,,Ballots,523,
33420150,Violet Prairie,,,,Ballots,388,
33420151,Littlerock,,,,Ballots,603,
33420152,Gate,,,,Ballots,283,
33420153,Rochester 1,,,,Ballots,295,
33420154,Rochester 2,,,,Ballots,259,
33420155,Scott Lake N,,,,Ballots,185,
33420156,Grand Mound,,,,Ballots,199,
33420157,Gibson Valley,,,,Ballots,82,
33420158,Skookumchuck,,,,Ballots,382,
93422159,Meridian,,,,Ballots,171,
93422160,Johnson Point,,,,Ballots,481,
33422161,Wards,,,,Ballots,237,
93422162,Thompson,,,,Ballots,256,
33422163,Smith Lake,,,,Ballots,333,
33435164,Evergreen Shores,,,,Ballots,307,
33420165,Sunwood Lakes,,,,Ballots,353,
33420166,Eaton Creek,,,,Ballots,224,
93420167,Hawks Ridge,,,,Ballots,170,
93422168,Holmes,,,,Ballots,379,
93402169,McAllister Creek,,,,Ballots,319,
33420170,Rochester 3,,,,Ballots,298,
33420171,Waddell Creek,,,,Ballots,303,
33422172,Tykle Cove,,,,Ballots,413,
33435173,Camelot,,,,Ballots,274,
33422174,French,,,,Ballots,427,
33422175,Sunset Beach,,,,Ballots,480,
93422176,Henderson,,,,Ballots,476,
33422177,Israel,,,,Ballots,11,
93422178,Pattison,,,,Ballots,411,
93402179,Four Corners,,,,Ballots,722,
33420180,Stedman,,,,Ballots,325,
33422181,Glenwood,,,,Ballots,90,
33420182,Munn Lake,,,,Ballots,727,
93422183,Beach Crest,,,,Ballots,321,
33420184,Scheller,,,,Ballots,181,
93420185,Fair Oaks,,,,Ballots,265,
33422186,Wilderness,,,,Ballots,502,
93420187,Mullen,,,,Ballots,320,
93422189,Sleater Kinney,,,,Ballots,299,
33435190,Lakeside,,,,Ballots,219,
33435191,Gallagher Cove,,,,Ballots,644,
33420192,East Olympia,,,,Ballots,316,
93402193,Berry Valley,,,,Ballots,286,
93420194,Hartwood,,,,Ballots,598,
93422195,Libby,,,,Ballots,368,
93420196,Meadows,,,,Ballots,319,
93420197,Summerset,,,,Ballots,619,
33420198,Henness,,,,Ballots,554,
33420199,Beaver Creek,,,,Ballots,519,
33422201,Olympia 1,,,,Ballots,302,
33422202,Olympia 2,,,,Ballots,341,
33422203,Olympia 3,,,,Ballots,307,
33422204,Olympia 4,,,,Ballots,477,
33422205,Olmypia 5,,,,Ballots,200,
33422206,Olympia 6,,,,Ballots,478,
33422207,Olympia 7,,,,Ballots,187,
33422208,Olympia 8,,,,Ballots,422,
33422209,Olympia 9,,,,Ballots,595,
33422210,Olympia 10,,,,Ballots,405,
33422211,Olympia 11,,,,Ballots,361,
33422212,Olympia 12,,,,Ballots,523,
33422213,Olympia 13,,,,Ballots,377,
33422214,Olympia 14,,,,Ballots,314,
33422215,Olympia 15,,,,Ballots,326,
33422216,Olympia 16,,,,Ballots,62,
93422217,Olympia 17,,,,Ballots,278,
33422218,Olympia 18,,,,Ballots,376,
33422219,Olympia 19,,,,Ballots,324,
33422220,Olympia 20,,,,Ballots,197,
93422221,Olympia 21,,,,Ballots,630,
93422223,Olympia 23,,,,Ballots,565,
33422224,Olympia 24,,,,Ballots,348,
33422225,Olympia 25,,,,Ballots,289,
33422226,Olympia 26,,,,Ballots,324,
33422227,Olympia 27,,,,Ballots,133,
33422228,Olympia 28,,,,Ballots,407,
33422229,Olympia 29,,,,Ballots,460,
33422230,Olympia 30,,,,Ballots,314,
33422231,Olympia 31,,,,Ballots,294,
33422232,Olympia 32,,,,Ballots,433,
33422235,Olympia 35,,,,Ballots,423,
33422236,Olympia 36,,,,Ballots,176,
33422237,Olympia 37,,,,Ballots,308,
33422238,Olympia 38,,,,Ballots,86,
33422239,Olympia 39,,,,Ballots,364,
33422240,Olympia 40,,,,Ballots,331,
33422241,Olympia 41,,,,Ballots,423,
33422242,Olympia 42,,,,Ballots,252,
33422243,Olympia 43,,,,Ballots,414,
33422244,Olympia 44,,,,Ballots,180,
93422245,Olympia 45,,,,Ballots,209,
93422246,Olympia 46,,,,Ballots,600,
33422247,Olympia 47,,,,Ballots,384,
33422248,Olympia 48,,,,Ballots,384,
33422249,Olympia 49,,,,Ballots,385,
33422250,Olympia 50,,,,Ballots,267,
33422251,Olympia 51,,,,Ballots,480,
33422252,Olympia 52,,,,Ballots,219,
93422253,Olympia 53,,,,Ballots,317,
33422254,Olympia 54,,,,Ballots,263,
93422301,Lacey 1,,,,Ballots,135,
93422302,Lacey 2,,,,Ballots,255,
93422303,Lacey 3,,,,Ballots,359,
93422304,Lacey 4,,,,Ballots,190,
93422305,Lacey 5,,,,Ballots,261,
93422306,Lacey 6,,,,Ballots,131,
93422307,Lacey 7,,,,Ballots,293,
93422308,Lacey 8,,,,Ballots,172,
93422309,Lacey 9,,,,Ballots,164,
93422310,Lacey 10,,,,Ballots,426,
93422311,Lacey 11,,,,Ballots,280,
33422312,Lacey 12,,,,Ballots,36,
93422313,Lacey 13,,,,Ballots,165,
93422314,Lacey 14,,,,Ballots,141,
93422315,Lacey 15,,,,Ballots,337,
93422316,Lacey 16,,,,Ballots,333,
93422317,Lacey 17,,,,Ballots,277,
93422318,Lacey 18,,,,Ballots,408,
93422319,Lacey 19,,,,Ballots,214,
93422320,Lacey 20,,,,Ballots,173,
93422321,Lacey 21,,,,Ballots,206,
33422322,Lacey 22,,,,Ballots,835,
93422323,Lacey 23,,,,Ballots,174,
93422324,Lacey 24,,,,Ballots,1248,
93422327,Lacey 27,,,,Ballots,328,
93422328,Lacey 28,,,,Ballots,213,
93422329,Lacey 29,,,,Ballots,356,
93422330,Lacey 30,,,,Ballots,470,
93422331,Lacey 31,,,,Ballots,602,
93422332,Lacey 32,,,,Ballots,378,
93422333,Lacey 33,,,,Ballots,198,
93422334,Lacey 34,,,,Ballots,178,
93422335,Lacey 35,,,,Ballots,175,
93422336,Lacey 36,,,,Ballots,103,
93422337,Lacey 37,,,,Ballots,116,
33422401,Tumwater 1,,,,Ballots,369,
33422402,Tumwater 2,,,,Ballots,361,
33422403,Tumwater 3,,,,Ballots,264,
33422404,Tumwater 4,,,,Ballots,207,
33422405,Tumwater 5,,,,Ballots,252,
33422406,Tumwater 6,,,,Ballots,377,
33422407,Tumwater 7,,,,Ballots,287,
33422408,Tumwater 8,,,,Ballots,370,
33422409,Tumwater 9,,,,Ballots,262,
33422410,Tumwater 10,,,,Ballots,393,
33422411,Tumwater 11,,,,Ballots,316,
33422412,Tumwater 12,,,,Ballots,337,
33422413,Tumwater 13,,,,Ballots,183,
33422414,Tumwater 14,,,,Ballots,186,
33422415,Tumwater 15,,,,Ballots,393,
33420418,Tumwater 18,,,,Ballots,9,
33422421,Tumwater 21,,,,Ballots,142,
33420423,Tumwater 23,,,,Ballots,14,
33435425,Tumwater 25,,,,Ballots,13,
33420501,Tenino 1,,,,Ballots,239,
33420502,Tenino 2,,,,Ballots,246,
93402601,Rainier 1,,,,Ballots,224,
93402602,Rainier 2,,,,Ballots,201,
93402701,Yelm 1,,,,Ballots,510,
93402702,Yelm 2,,,,Ballots,533,
33420801,Bucoda,,,,Ballots,176,
93499999,Suppressed voters,,,,Ballots,58,
THURSTON WA,THURSTON WA,,,,Ballots,85011,
93422039,Jones Beach,U S Senate,,D,Maria Cantwell,126,
93420043,University N,U S Senate,,D,Maria Cantwell,83,
33435044,Steamboat Island,U S Senate,,D,Maria Cantwell,218,
33420045,Rocky Prairie,U S Senate,,D,Maria Cantwell,145,
33402046,Lawrence Lake N,U S Senate,,D,Maria Cantwell,165,
93422047,Woodard Creek,U S Senate,,D,Maria Cantwell,198,
33420048,Michigan Hill,U S Senate,,D,Maria Cantwell,118,
33420049,Scott Lake S,U S Senate,,D,Maria Cantwell,187,
33420050,Salmon Creek,U S Senate,,D,Maria Cantwell,130,
33420051,Spurgeon Creek,U S Senate,,D,Maria Cantwell,212,
33420052,James,U S Senate,,D,Maria Cantwell,148,
33420053,Vail,U S Senate,,D,Maria Cantwell,184,
33420054,Rochester 5,U S Senate,,D,Maria Cantwell,211,
33420055,Rochester 4,U S Senate,,D,Maria Cantwell,139,
93402057,Medicine Creek,U S Senate,,D,Maria Cantwell,79,
93422058,Skokomish,U S Senate,,D,Maria Cantwell,130,
93402059,Pleasant Hill,U S Senate,,D,Maria Cantwell,206,
33402060,Smith Prairie,U S Senate,,D,Maria Cantwell,198,
33435061,Belmore,U S Senate,,D,Maria Cantwell,371,
33420062,Black River,U S Senate,,D,Maria Cantwell,188,
93422063,Ames,U S Senate,,D,Maria Cantwell,214,
33422064,Airport,U S Senate,,D,Maria Cantwell,3,
93422065,Luhr Beach,U S Senate,,D,Maria Cantwell,227,
93422066,Fish Trap,U S Senate,,D,Maria Cantwell,175,
33422069,Simmons 3,U S Senate,,D,Maria Cantwell,11,
33422070,Simmons 4,U S Senate,,D,Maria Cantwell,12,
93402074,Pines,U S Senate,,D,Maria Cantwell,192,
93422075,Long Lake,U S Senate,,D,Maria Cantwell,48,
93422076,Hawk Acres,U S Senate,,D,Maria Cantwell,124,
33420077,Zenker Valley,U S Senate,,D,Maria Cantwell,23,
93420078,Tri Lakes,U S Senate,,D,Maria Cantwell,110,
93420079,University S,U S Senate,,D,Maria Cantwell,139,
93422080,Tolmie,U S Senate,,D,Maria Cantwell,88,
93420081,Military,U S Senate,,D,Maria Cantwell,38,
93422082,Glen Terra,U S Senate,,D,Maria Cantwell,93,
33420083,Prine,U S Senate,,D,Maria Cantwell,40,
33422084,Trosper Lake,U S Senate,,D,Maria Cantwell,29,
33435086,Greenridge,U S Senate,,D,Maria Cantwell,149,
93422088,Woodland,U S Senate,,D,Maria Cantwell,204,
33420089,Tilley,U S Senate,,D,Maria Cantwell,246,
33422090,Sweet Briar,U S Senate,,D,Maria Cantwell,292,
93402091,Deerbrush,U S Senate,,D,Maria Cantwell,234,
93420092,Mushroom Corner,U S Senate,,D,Maria Cantwell,257,
93420093,Traiblazer,U S Senate,,D,Maria Cantwell,103,
33435094,Frye Cove,U S Senate,,D,Maria Cantwell,273,
33435095,Oyster Bay,U S Senate,,D,Maria Cantwell,251,
33435096,Summit Lake,U S Senate,,D,Maria Cantwell,164,
33420097,Delridge,U S Senate,,D,Maria Cantwell,44,
93420098,Marvin,U S Senate,,D,Maria Cantwell,256,
33435099,Alpine,U S Senate,,D,Maria Cantwell,385,
33420100,Hewitt Lake,U S Senate,,D,Maria Cantwell,318,
93422101,Zangle,U S Senate,,D,Maria Cantwell,227,
93422102,Boston Harbor,U S Senate,,D,Maria Cantwell,332,
93422103,Gull Harbor,U S Senate,,D,Maria Cantwell,201,
93422104,Friendly Harbor,U S Senate,,D,Maria Cantwell,138,
93422105,South Bay,U S Senate,,D,Maria Cantwell,248,
93422106,Puget,U S Senate,,D,Maria Cantwell,200,
93422107,Bigelow,U S Senate,,D,Maria Cantwell,213,
33422108,Kirsop,U S Senate,,D,Maria Cantwell,121,
93422109,Pleasant Glade,U S Senate,,D,Maria Cantwell,136,
93422110,Montgomery,U S Senate,,D,Maria Cantwell,113,
93402111,Nisqually,U S Senate,,D,Maria Cantwell,156,
93422112,Roosevelt,U S Senate,,D,Maria Cantwell,203,
93422113,Kinwood,U S Senate,,D,Maria Cantwell,269,
33422114,McKinley,U S Senate,,D,Maria Cantwell,47,
93420115,Forest,U S Senate,,D,Maria Cantwell,329,
93420116,St Clair,U S Senate,,D,Maria Cantwell,202,
93422117,Hicks,U S Senate,,D,Maria Cantwell,35,
93420118,Fleetwood,U S Senate,,D,Maria Cantwell,328,
93420119,Lydia Hawk,U S Senate,,D,Maria Cantwell,278,
33420120,Hays,U S Senate,,D,Maria Cantwell,137,
33420121,Indian Summer,U S Senate,,D,Maria Cantwell,285,
33420122,Chambers,U S Senate,,D,Maria Cantwell,371,
33422123,Freedom,U S Senate,,D,Maria Cantwell,254,
93402124,Fristoe,U S Senate,,D,Maria Cantwell,111,
93402125,Deschutes,U S Senate,,D,Maria Cantwell,198,
93402126,Longmire,U S Senate,,D,Maria Cantwell,121,
33402127,Ruth Prairie,U S Senate,,D,Maria Cantwell,149,
93402128,Weir Prairie,U S Senate,,D,Maria Cantwell,250,
33422129,College,U S Senate,,D,Maria Cantwell,87,
33402130,Bald Hills,U S Senate,,D,Maria Cantwell,427,
33435131,Hunter Point,U S Senate,,D,Maria Cantwell,148,
33435132,Griffin,U S Senate,,D,Maria Cantwell,206,
33435133,Schneiders Prairie,U S Senate,,D,Maria Cantwell,174,
33422134,Cooper Point,U S Senate,,D,Maria Cantwell,243,
33422135,Butler Cove,U S Senate,,D,Maria Cantwell,202,
33422136,Broadway,U S Senate,,D,Maria Cantwell,407,
33402138,Lawrence Lake S,U S Senate,,D,Maria Cantwell,134,
33422139,Plainview,U S Senate,,D,Maria Cantwell,342,
33435140,Mud Bay,U S Senate,,D,Maria Cantwell,186,
