,,,,,Registration,Votes,
93422039,Jones Beach,,,,Registration,324,
93420043,University N,,,,Registration,319,
33435044,Steamboat Island,,,,Registration,416,
33420045,Rocky Prairie,,,,Registration,487,
33402046,Lawrence Lake N,,,,Registration,560,
93422047,Woodard Creek,,,,Registration,536,
33420048,Michigan Hill,,,,Registration,395,
33420049,Scott Lake S,,,,Registration,520,
33420050,Salmon Creek,,,,Registration,374,
33420051,Spurgeon Creek,,,,Registration,715,
33420052,James,,,,Registration,606,
33420053,Vail,,,,Registration,645,
33420054,Rochester 5,,,,Registration,689,
33420055,Rochester 4,,,,Registration,534,
93402057,Medicine Creek,,,,Registration,322,
93422058,Skokomish,,,,Registration,421,
93402059,Pleasant Hill,,,,Registration,676,
33402060,Smith Prairie,,,,Registration,754,
33435061,Belmore,,,,Registration,1137,
33420062,Black River,,,,Registration,642,
93422063,Ames,,,,Registration,453,
33422064,Airport,,,,Registration,23,
93422065,Luhr Beach,,,,Registration,593,
93422066,Fish Trap,,,,Registration,408,
33422069,Simmons 3,,,,Registration,30,
33422070,Simmons 4,,,,Registration,34,
93402074,Pines,,,,Registration,697,
93422075,Long Lake,,,,Registration,140,
93422076,Hawk Acres,,,,Registration,358,
33420077,Zenker Valley,,,,Registration,128,
93420078,Tri Lakes,,,,Registration,377,
93420079,University S,,,,Registration,378,
93422080,Tolmie,,,,Registration,314,
93420081,Military,,,,Registration,110,
93422082,Glen Terra,,,,Registration,208,
33420083,Prine,,,,Registration,142,
33422084,Trosper Lake,,,,Registration,72,
33435086,Greenridge,,,,Registration,450,
93422088,Woodland,,,,Registration,483,
33420089,Tilley,,,,Registration,798,
33422090,Sweet Briar,,,,Registration,736,
93402091,Deerbrush,,,,Registration,731,
93420092,Mushroom Corner,,,,Registration,1038,
93420093,Traiblazer,,,,Registration,281,
33435094,Frye Cove,,,,Registration,601,
33435095,Oyster Bay,,,,Registration,585,
33435096,Summit Lake,,,,Registration,503,
33420097,Delridge,,,,Registration,120,
93420098,Marvin,,,,Registration,692,
33435099,Alpine,,,,Registration,903,
