number,precinct,office,district,party,office,votes
92702001,Roy 1,,,,Registered,383
82702002,Orting 2,,,,Registered,1310
82702003,Orting 3,,,,Registered,1311
82702004,Wilkeson 4,,,,Registered,3
82702005,Carbonado 5,,,,Registered,355
82702006,Eatonville 6,,,,Registered,1365
92702011,Spanaway 011,,,,Registered,1256
92702012,Spanaway 012,,,,Registered,1061
92702013,Spanaway 013,,,,Registered,97
92702014,Spanaway 014,,,,Registered,1361
92702015,Spanaway 015,,,,Registered,1253
92702016,Spanaway 016,,,,Registered,1153
92702017,Spanaway 017,,,,Registered,1985
92702018,Spanaway 018,,,,Registered,1608
92702019,Spanaway 019,,,,Registered,1250
92702020,Frederickson 020,,,,Registered,634
82702021,Frederickson 021,,,,Registered,71
82702022,Frederickson 022,,,,Registered,692
82702023,Frederickson 023,,,,Registered,1177
92702024,Frederickson 024,,,,Registered,629
82702025,Frederickson 025,,,,Registered,2621
82702026,Graham 026,,,,Registered,2004
92702027,Graham 027,,,,Registered,1214
92702028,Graham 028,,,,Registered,1563
92702029,Graham 029,,,,Registered,182
92702030,Graham 030,,,,Registered,692
92702031,Graham 031,,,,Registered,507
92702032,Graham 032,,,,Registered,470
92702033,Graham 033,,,,Registered,1137
92702034,Graham 034,,,,Registered,1594
82702035,Graham 035,,,,Registered,648
92702036,E Roy 036,,,,Registered,765
92702037,E Graham 037,,,,Registered,1385
92702038,Graham 038,,,,Registered,1447
82702039,Graham 039,,,,Registered,2094
92702040,Yelm rural Brighton 040,,,,Registered,1658
92702041,Yelm rural Harts Lake 041,,,,Registered,785
92702042,Graham 042,,,,Registered,987
92702043,Yelm rural Kruger 043,,,,Registered,489
82702044,Graham 044,,,,Registered,1931
82702045,Graham 045,,,,Registered,2120
82702046,Alderton 046,,,,Registered,247
82702047,Graham 047,,,,Registered,1046
82702048,Graham 048,,,,Registered,2206
82702049,Voights Creek 049,,,,Registered,1275
82702050,Lake Kapowsin 050,,,,Registered,1430
82702051,Kings Creek 051,,,,Registered,162
82702052,Graham Tanwax Lake 052,,,,Registered,1065
