county,precinct,office,district,party,candidate,vote,,
Franklin,1,,16,,Registration,925,,
Franklin,2,,16,,Registration,435,,
Franklin,3,,16,,Registration,543,,
Franklin,4,,16,,Registration,383,,
Franklin,5,,16,,Registration,242,,
Franklin,6,,16,,Registration,436,,
Franklin,7,,16,,Registration,321,,
Franklin,8,,16,,Registration,246,,
Franklin,9,,16,,Registration,135,,
Franklin,10,,16,,Registration,511,,
Franklin,11,,16,,Registration,683,,
Franklin,12,,16,,Registration,767,,
Franklin,13,,16,,Registration,293,,
Franklin,14,,16,,Registration,450,,
Franklin,15,,16,,Registration,210,,
Franklin,16,,16,,Registration,84,,
Franklin,17,,16,,Registration,210,,
Franklin,18,,16,,Registration,121,,
Franklin,19,,16,,Registration,164,,
Franklin,20,,16,,Registration,138,,
Franklin,21,,16,,Registration,155,,
Franklin,22,,16,,Registration,246,,
Franklin,23,,16,,Registration,618,,
Franklin,24,,16,,Registration,724,,
Franklin,25,,16,,Registration,161,,
Franklin,26,,16,,Registration,151,,
Franklin,27,,16,,Registration,125,,
Franklin,28,,16,,Registration,130,,
Franklin,29,,16,,Registration,1350,,
Franklin,30,,16,,Registration,344,,
Franklin,31,,16,,Registration,916,,
Franklin,32,,16,,Registration,747,,
Franklin,33,,16,,Registration,710,,
Franklin,34,,16,,Registration,13,,
Franklin,35,,16,,Registration,72,,
Franklin,36,,16,,Registration,261,,
Franklin,37,,16,,Registration,266,,
Franklin,38,,16,,Registration,177,,
Franklin,39,,16,,Registration,174,,
Franklin,40,,16,,Registration,301,,
Franklin,41,,16,,Registration,521,,
Franklin,42,,16,,Registration,339,,
Franklin,43,,16,,Registration,212,,
Franklin,44,,16,,Registration,195,,
Franklin,45,,16,,Registration,154,,
Franklin,46,,16,,Registration,274,,
Franklin,47,,16,,Registration,307,,
Franklin,48,,9,,Registration,321,,
Franklin,49,,9,,Registration,74,,
Franklin,50,,9,,Registration,114,,
Franklin,51,,9,,Registration,138,,
Franklin,52,,9,,Registration,152,,
Franklin,53,,9,,Registration,162,,
Franklin,54,,9,,Registration,326,,
Franklin,55,,9,,Registration,116,,
Franklin,56,,9,,Registration,180,,
Franklin,57,,9,,Registration,143,,
Franklin,58,,9,,Registration,190,,
Franklin,59,,9,,Registration,118,,
Franklin,60,,9,,Registration,78,,
Franklin,61,,9,,Registration,143,,
Franklin,62,,9,,Registration,100,,
Franklin,63,,9,,Registration,198,,
Franklin,64,,9,,Registration,321,,
Franklin,65,,9,,Registration,49,,
Franklin,66,,9,,Registration,250,,
Franklin,67,,9,,Registration,286,,
Franklin,68,,9,,Registration,108,,
Franklin,69,,9,,Registration,161,,
Franklin,70,,9,,Registration,93,,
Franklin,71,,9,,Registration,42,,
Franklin,72,,16,,Registration,144,,
Franklin,73,,16,,Registration,228,,
Franklin,74,,9,,Registration,60,,
Franklin,75,,9,,Registration,0,,
FRANKLIN WA,FRANKLIN WA,FRANKLIN WA,,,Registration,21235,,
county,precinct,office,district,party,candidate,vote,machine,hand
Franklin,1,,16,,Ballots,521,521,530
Franklin,2,,16,,Ballots,250,250,251
