,,,,,,
San Juan,SJ1 Southend,,,,Registration,1338
San Juan,SJ2-University-Turn Pt.-Brown,,,,Registration,1013
San Juan,SJ3 Roche Harbor,,,,Registration,640
San Juan,SJ4 Westside,,,,Registration,814
San Juan,SJ5 San Juan Valley,,,,Registration,785
San Juan,FH 1,,,,Registration,852
San Juan,FH 2,,,,Registration,603
San Juan,ORCAS 1 DH-Orcas-WS,,,,Registration,1262
San Juan,ORCAS 2,,,,Registration,795
San Juan,ORCAS 3,,,,Registration,741
San Juan,ORCAS 4 Olga-Doe Bay,,,,Registration,892
San Juan,LOPEZ 1 Northend,,,,Registration,1047
San Juan,LOPEZ 2 Southend,,,,Registration,820
San Juan,Shaw VBM,,,,Registration,185
San Juan,Stuart VBM,,,,Registration,37
San Juan,Waldron VBM,,,,Registration,100
San Juan,Decatur-Blakely VBM,,,,Registration,111
SAN JUAN WA,SAN JUAN WA,,,,Registration,12035
San Juan,SJ1 Southend,,,,Ballots Cast,1168
San Juan,SJ2-University-Turn Pt.-Brown,,,,Ballots Cast,839
San Juan,SJ3 Roche Harbor,,,,Ballots Cast,546
San Juan,SJ4 Westside,,,,Ballots Cast,708
San Juan,SJ5 San Juan Valley,,,,Ballots Cast,660
San Juan,FH 1,,,,Ballots Cast,604
San Juan,FH 2,,,,Ballots Cast,461
San Juan,ORCAS 1 DH-Orcas-WS,,,,Ballots Cast,1089
San Juan,ORCAS 2,,,,Ballots Cast,676
San Juan,ORCAS 3,,,,Ballots Cast,627
San Juan,ORCAS 4 Olga-Doe Bay,,,,Ballots Cast,774
San Juan,LOPEZ 1 Northend,,,,Ballots Cast,915
San Juan,LOPEZ 2 Southend,,,,Ballots Cast,694
San Juan,Shaw VBM,,,,Ballots Cast,172
San Juan,Stuart VBM,,,,Ballots Cast,33
San Juan,Waldron VBM,,,,Ballots Cast,86
San Juan,Decatur-Blakely VBM,,,,Ballots Cast,97
SAN JUAN WA,SAN JUAN WA,,,,Ballots Cast,10149
San Juan,SJ1 Southend,President,,D,John Kerry,729
San Juan,SJ2-University-Turn Pt.-Brown,President,,D,John Kerry,512
San Juan,SJ3 Roche Harbor,President,,D,John Kerry,289
San Juan,SJ4 Westside,President,,D,John Kerry,448
San Juan,SJ5 San Juan Valley,President,,D,John Kerry,465
San Juan,FH 1,President,,D,John Kerry,364
San Juan,FH 2,President,,D,John Kerry,272
San Juan,ORCAS 1 DH-Orcas-WS,President,,D,John Kerry,754
San Juan,ORCAS 2,President,,D,John Kerry,447
San Juan,ORCAS 3,President,,D,John Kerry,407
San Juan,ORCAS 4 Olga-Doe Bay,President,,D,John Kerry,500
San Juan,LOPEZ 1 Northend,President,,D,John Kerry,630
San Juan,LOPEZ 2 Southend,President,,D,John Kerry,520
San Juan,Shaw VBM,President,,D,John Kerry,109
San Juan,Stuart VBM,President,,D,John Kerry,19
San Juan,Waldron VBM,President,,D,John Kerry,82
San Juan,Decatur-Blakely VBM,President,,D,John Kerry,42
SAN JUAN WA,SAN JUAN WA,President,,D,John Kerry,6589
San Juan,SJ1 Southend,President,,R,George Bush,407
San Juan,SJ2-University-Turn Pt.-Brown,President,,R,George Bush,305
San Juan,SJ3 Roche Harbor,President,,R,George Bush,247
San Juan,SJ4 Westside,President,,R,George Bush,245
San Juan,SJ5 San Juan Valley,President,,R,George Bush,178
San Juan,FH 1,President,,R,George Bush,216
San Juan,FH 2,President,,R,George Bush,178
