county,precinct,office,district,party,candidate,total,
Kitsap,BREMERTON 001,,,,Registered,1346,
Kitsap,BREMERTON 005,,,,Registered,1222,
Kitsap,BREMERTON 007,,,,Registered,22,
Kitsap,BREMERTON 013,,,,Registered,970,
Kitsap,BREMERTON 015,,,,Registered,1748,
Kitsap,BREMERTON 022,,,,Registered,685,
Kitsap,BREMERTON 029,,,,Registered,705,
Kitsap,BREMERTON 031,,,,Registered,978,
Kitsap,BREMERTON 032,,,,Registered,284,
Kitsap,BREMERTON 037,,,,Registered,1218,
Kitsap,BREMERTON 040,,,,Registered,1437,
Kitsap,BREMERTON 046,,,,Registered,854,
Kitsap,BREMERTON 051,,,,Registered,55,
Kitsap,BREMERTON 052,,,,Registered,1878,
Kitsap,BREMERTON 054,,,,Registered,824,
Kitsap,BREMERTON 056,,,,Registered,913,
Kitsap,BREMERTON 058,,,,Registered,411,
Kitsap,ILLAHEE 065,,,,Registered,1770,
Kitsap,RAINIER 067,,,,Registered,639,
Kitsap,SHERIDAN 071,,,,Registered,327,
Kitsap,PERRY 073,,,,Registered,513,
Kitsap,ROCKY POINT 083,,,,Registered,1006,
Kitsap,RIDGEWAY 084,,,,Registered,256,
Kitsap,KITSAP LAKE 085,,,,Registered,63,
Kitsap,POWERLINE 086,,,,Registered,16,
Kitsap,BAYVIEW 087,,,,Registered,254,
Kitsap,BREMERTON 088,,,,Registered,152,
Kitsap,MARION 090,,,,Registered,201,
Kitsap,NAVY YARD CITY 095,,,,Registered,931,
Kitsap,NARROWS VIEW 098,,,,Registered,31,
Kitsap,OLYMPIC 099,,,,Registered,49,
Kitsap,TRIDENT 101,,,,Registered,840,
Kitsap,FRONTIER 102,,,,Registered,663,
Kitsap,OLYMPIC VIEW 103,,,,Registered,1256,
Kitsap,HOOD CANAL 104,,,,Registered,36,
Kitsap,BROWNSVILLE 105,,,,Registered,1013,
Kitsap,BREMERTON 107,,,,Registered,0,
Kitsap,BREMERTON 109,,,,Registered,404,
Kitsap,CHARLAND 110,,,,Registered,550,
Kitsap,ALPINE 111,,,,Registered,1301,
Kitsap,COUNTRY CLUB 113,,,,Registered,622,
Kitsap,BREMERTON 114,,,,Registered,0,
Kitsap,CLEAR CREEK 120,,,,Registered,1151,
Kitsap,BUCKLIN 121,,,,Registered,865,
Kitsap,LUOTO 122,,,,Registered,462,
Kitsap,COTTONWOOD 125,,,,Registered,932,
Kitsap,FOREST RIDGE 126,,,,Registered,449,
Kitsap,WOODMERE 127,,,,Registered,1125,
Kitsap,CENTRAL VALLEY 128,,,,Registered,1203,
Kitsap,WINSTON 129,,,,Registered,406,
Kitsap,ERLANDS POINT 130,,,,Registered,604,
Kitsap,FAIRVIEW 135,,,,Registered,461,
Kitsap,FIRGLADE 137,,,,Registered,697,
Kitsap,TIBARDIS 139,,,,Registered,459,
Kitsap,GILBERTON 140,,,,Registered,719,
Kitsap,RIDGEPOINT 141,,,,Registered,931,
Kitsap,UNIVERSITY POINT 142,,,,Registered,591,
Kitsap,KARIOTIS 143,,,,Registered,888,
Kitsap,CAMBRIDGE 144,,,,Registered,575,
Kitsap,SPINNAKER 146,,,,Registered,736,
Kitsap,BARKER CREEK 147,,,,Registered,1059,
Kitsap,SANTA FE 148,,,,Registered,929,
Kitsap,RIDGETOP 149,,,,Registered,850,
Kitsap,MEADOWDALE 150,,,,Registered,792,
Kitsap,SYMINGTON 151,,,,Registered,1298,
Kitsap,PIONEER 152,,,,Registered,922,
Kitsap,SEABECK 155,,,,Registered,965,
Kitsap,CAMP SUNDOWN 156,,,,Registered,5,
Kitsap,LOST HIGHWAY 157,,,,Registered,1129,
Kitsap,BREMERTON 159,,,,Registered,419,
Kitsap,SILVERDALE 160,,,,Registered,743,
Kitsap,MORKEN 161,,,,Registered,1208,
Kitsap,APEX 162,,,,Registered,1069,
Kitsap,ANDERSON CREEK 163,,,,Registered,545,
Kitsap,EAGLE CREST 164,,,,Registered,960,
Kitsap,SUTTON 165,,,,Registered,694,
Kitsap,TRACYTON 170,,,,Registered,626,
Kitsap,VENA 173,,,,Registered,795,
Kitsap,FUSON 175,,,,Registered,829,
Kitsap,PORT ORCHARD 201,,,,Registered,691,
Kitsap,PORT ORCHARD 202,,,,Registered,903,
Kitsap,PORT ORCHARD 203,,,,Registered,1268,
Kitsap,PORT ORCHARD 204,,,,Registered,711,
Kitsap,PORT ORCHARD 205,,,,Registered,8,
