county,precinct,office,district,party,candidate,votes,absentee,poll,
Mason,101 Airport,,,,Registered,995,,,
Mason,102 Allyn,,,,Registered,894,,,
Mason,103 Arcadia,,,,Registered,461,,,
Mason,307 Bayshore,,,,Registered,705,,,
Mason,104 Belfair 1,,,,Registered,1139,,,
Mason,105 Belfair 2,,,,Registered,624,,,
Mason,106 Belfair 3,,,,Registered,691,,,
Mason,107 Belfair 4,,,,Registered,1014,,,
Mason,301 Belfair 5,,,,Registered,435,,,
Mason,308 Belfair 6,,,,Registered,549,,,
Mason,108 Capital Hill,,,,Registered,559,,,
Mason,109 Cloquallum,,,,Registered,545,,,
Mason,305 Cushman,,,,Registered,885,,,
Mason,110 Dayton,,,,Registered,515,,,
Mason,302 Dewatto,,,,Registered,699,,,
Mason,111 Eells,,,,Registered,335,,,
Mason,112 Grapeview,,,,Registered,1070,,,
Mason,113 Harstine,,,,Registered,949,,,
Mason,114 Hoodsport,,,,Registered,384,,,
Mason,115 Isabella,,,,Registered,626,,,
Mason,116 Kamilche,,,,Registered,919,,,
Mason,117 Kamilche 2,,,,Registered,1092,,,
Mason,118 Lake,,,,Registered,739,,,
Mason,309 Lakeland,,,,Registered,621,,,
Mason,119 Lilliwaup,,,,Registered,486,,,
Mason,120 Matlock,,,,Registered,327,,,
Mason,121 Mill Creek,,,,Registered,557,,,
Mason,122 Miller,,,,Registered,808,,,
Mason,123 Mt View,,,,Registered,393,,,
Mason,124 Northside,,,,Registered,935,,,
Mason,303 Oakland,,,,Registered,249,,,
Mason,125 Pickering,,,,Registered,1067,,,
Mason,126 Potlatch,,,,Registered,52,,,
Mason,127 Satsop,,,,Registered,249,,,
Mason,128 Skokomish,,,,Registered,329,,,
Mason,304 Southside,,,,Registered,957,,,
Mason,129 Tahuya,,,,Registered,628,,,
Mason,306 Timberlake,,,,Registered,789,,,
Mason,130 Union,,,,Registered,1129,,,
Mason,131 Victor,,,,Registered,443,,,
Mason,132 Westside,,,,Registered,265,,,
Mason,985 Service Vot,,,,Registered,15,,,
Mason,201 Shelton 1,,,,Registered,77,,,
Mason,202 Shelton 2,,,,Registered,130,,,
Mason,203 Shelton 3,,,,Registered,223,,,
Mason,204 Shelton 4,,,,Registered,191,,,
Mason,205 Shelton 5,,,,Registered,321,,,
Mason,206 Shelton 6,,,,Registered,140,,,
Mason,207 Shelton 7,,,,Registered,330,,,
Mason,208 Shelton 8,,,,Registered,172,,,
Mason,209 Shelton 9,,,,Registered,152,,,
Mason,210 Shelton 10,,,,Registered,182,,,
Mason,211 Shelton 11,,,,Registered,236,,,
Mason,212 Shelton 12,,,,Registered,135,,,
Mason,213 Shelton 13,,,,Registered,454,,,
Mason,214 Shelton 14,,,,Registered,253,,,
Mason,215 Shelton 15,,,,Registered,150,,,
Mason,216 Shelton 16,,,,Registered,814,,,
Mason,Grand Totals,,,,Registered,31083,,,
Mason,101 Airport,,,,Ballots Cast,813,503,310,
Mason,102 Allyn,,,,Ballots Cast,801,642,159,
Mason,103 Arcadia,,,,Ballots Cast,397,275,122,
Mason,307 Bayshore,,,,Ballots Cast,544,371,173,
Mason,104 Belfair 1,,,,Ballots Cast,975,681,294,
Mason,105 Belfair 2,,,,Ballots Cast,511,326,185,
Mason,106 Belfair 3,,,,Ballots Cast,594,386,208,
Mason,107 Belfair 4,,,,Ballots Cast,827,517,310,
Mason,301 Belfair 5,,,,Ballots Cast,361,207,154,
Mason,308 Belfair 6,,,,Ballots Cast,422,252,170,
