number,name,office,district,party,candidate,total,,
333,Admiralty,,,,Registered,1086,,
401,Ault,,,,Registered,620,,
502,Austin,,,,Registered,795,,
539,Bush Point,,,,Registered,961,,
203,Camano,,,,Registered,1056,,
304,Central,,,,Registered,608,,
505,Clinton,,,,Registered,325,,
406,Cornet,,,,Registered,475,,
207,Countryclub,,,,Registered,1018,,
436,Countryside,,,,Registered,609,,
101,Coupeville 1,,,,Registered,593,,
102,Coupeville 2,,,,Registered,463,,
360,Coveland,,,,Registered,616,,
508,Deer Lake,,,,Registered,925,,
537,Double Bluff,,,,Registered,374,,
232,Driftwood,,,,Registered,1431,,
409,Dugualla,,,,Registered,770,,
643,Fort Nugent,,,,Registered,478,,
510,Freeland,,,,Registered,480,,
511,Glendale,,,,Registered,947,,
312,Greenbank,,,,Registered,798,,
634,Hastie Lake,,,,Registered,302,,
435,Highland,,,,Registered,928,,
413,Hillcrest,,,,Registered,584,,
314,Lagoon Point,,,,Registered,816,,
120,Langley 1,,,,Registered,226,,
121,Langley 2,,,,Registered,594,,
215,Livingston Bay,,,,Registered,729,,
538,Lone Lake,,,,Registered,987,,
216,Mabana,,,,Registered,819,,
217,Madrona,,,,Registered,1152,,
218,Maple Grove,,,,Registered,1139,,
526,Maxwelton,,,,Registered,892,,
104,Oak Harbor 1,,,,Registered,266,,
113,Oak Harbor 10,,,,Registered,400,,
114,Oak Harbor 11,,,,Registered,767,,
115,Oak Harbor 12,,,,Registered,339,,
116,Oak Harbor 13,,,,Registered,557,,
117,Oak Harbor 14,,,,Registered,922,,
118,Oak Harbor 15,,,,Registered,1472,,
105,Oak Harbor 2,,,,Registered,187,,
106,Oak Harbor 3,,,,Registered,324,,
107,Oak Harbor 4,,,,Registered,176,,
108,Oak Harbor 5,,,,Registered,415,,
109,Oak Harbor 6,,,,Registered,285,,
110,Oak Harbor 7,,,,Registered,621,,
111,Oak Harbor 8,,,,Registered,486,,
112,Oak Harbor 9,,,,Registered,686,,
619,Penn Cove,,,,Registered,310,,
250,Point Allen,,,,Registered,752,,
441,Polnell,,,,Registered,538,,
640,Possession,,,,Registered,379,,
320,Prairie,,,,Registered,681,,
321,San de Fuca,,,,Registered,608,,
522,Sandy Point,,,,Registered,804,,
523,Saratoga,,,,Registered,937,,
624,Scenic Heights,,,,Registered,284,,
425,Silver Lake,,,,Registered,581,,
442,Soundview,,,,Registered,601,,
627,Swantown,,,,Registered,827,,
228,Triangle Cove,,,,Registered,1007,,
529,Useless Bay,,,,Registered,1019,,
230,Utsalady,,,,Registered,961,,
644,West Beach,,,,Registered,502,,
631,Westview,,,,Registered,398,,
ISLAND WA,ISLAND WA,,,,Registered,43688,,
number,name,office,district,party,candidate,total,machine ,hand
333,Admiralty,,,,Ballots,996,996,996
401,Ault,,,,Ballots,465,465,465
502,Austin,,,,Ballots,750,750,750
539,Bush Point,,,,Ballots,893,893,893
203,Camano,,,,Ballots,927,927,927
304,Central,,,,Ballots,552,552,552
505,Clinton,,,,Ballots,307,307,307
406,Cornet,,,,Ballots,426,427,427
207,Countryclub,,,,Ballots,954,954,954
436,Countryside,,,,Ballots,533,533,533
101,Coupeville 1,,,,Ballots,541,541,541
102,Coupeville 2,,,,Ballots,430,430,430
360,Coveland,,,,Ballots,577,557,557
508,Deer Lake,,,,Ballots,840,841,841
537,Double Bluff,,,,Ballots,358,358,358
232,Driftwood,,,,Ballots,1244,1244,1244
409,Dugualla,,,,Ballots,624,624,624
643,Fort Nugent,,,,Ballots,432,432,432
510,Freeland,,,,Ballots,443,442,443
511,Glendale,,,,Ballots,863,863,863
312,Greenbank,,,,Ballots,751,751,751
634,Hastie Lake,,,,Ballots,274,274,274
435,Highland,,,,Ballots,784,784,784
413,Hillcrest,,,,Ballots,501,501,501
314,Lagoon Point,,,,Ballots,777,777,777
120,Langley 1,,,,Ballots,205,205,205
121,Langley 2,,,,Ballots,571,571,571
215,Livingston Bay,,,,Ballots,654,654,654
538,Lone Lake,,,,Ballots,932,932,932
216,Mabana,,,,Ballots,768,768,768
217,Madrona,,,,Ballots,1020,1021,1021
218,Maple Grove,,,,Ballots,1062,1062,1062
526,Maxwelton,,,,Ballots,844,844,844
104,Oak Harbor 1,,,,Ballots,249,249,249
113,Oak Harbor 10,,,,Ballots,333,333,333
114,Oak Harbor 11,,,,Ballots,575,575,575
115,Oak Harbor 12,,,,Ballots,294,294,294
116,Oak Harbor 13,,,,Ballots,450,451,451
117,Oak Harbor 14,,,,Ballots,807,807,807
118,Oak Harbor 15,,,,Ballots,1339,1339,1339
105,Oak Harbor 2,,,,Ballots,163,163,163
106,Oak Harbor 3,,,,Ballots,296,296,296
