precinct,area,office,district,party,candidate,total,machine,hand
40112,Greenbluff r,Governor,abs,,Ballots,262,263,263
40122,Greenbluff r,Governor,abs,,Ballots,286,286,286
40132,Greenbluff r,Governor,abs,,Ballots,278,278,278
40152,Foothills s,Governor,abs,,Ballots,236,236,236
40162,Foothills s,Governor,abs,,Ballots,342,342,342
40172,Foothills s,Governor,abs,,Ballots,337,337,337
40182,Otis Orchards s,Governor,abs,,Ballots,192,192,192
40192,Otis Orchards s,Governor,abs,,Ballots,222,222,222
40202,Otis Orchards s,Governor,abs,,Ballots,315,315,315
40212,Otis Orchards s,Governor,abs,,Ballots,326,326,326
40222,Otis Orchards s,Governor,abs,,Ballots,316,316,316
40242,Palouse r,Governor,abs,,Ballots,267,267,267
40252,Palouse r,Governor,abs,,Ballots,298,298,298
40272,Palouse r,Governor,abs,,Ballots,159,159,159
40282,Palouse r,Governor,abs,,Ballots,313,313,313
40292,Palouse r,Governor,abs,,Ballots,207,207,207
42002,Millwood,Governor,abs,,Ballots,237,237,237
42012,Millwood,Governor,abs,,Ballots,143,143,143
43002,Liberty Lake,Governor,abs,,Ballots,522,522,522
43012,Liberty Lake,Governor,abs,,Ballots,430,430,430
44002,COSV,Governor,abs,,Ballots,223,223,223
44012,COSV,Governor,abs,,Ballots,340,340,340
44022,COSV,Governor,abs,,Ballots,298,298,298
44032,COSV,Governor,abs,,Ballots,254,254,254
44042,COSV,Governor,abs,,Ballots,459,460,460
44052,COSV,Governor,abs,,Ballots,231,231,231
44062,COSV,Governor,abs,,Ballots,341,341,341
44072,COSV,Governor,abs,,Ballots,334,334,334
44082,COSV,Governor,abs,,Ballots,342,342,342
44092,COSV,Governor,abs,,Ballots,344,344,344
44102,COSV,Governor,abs,,Ballots,571,571,571
44112,COSV,Governor,abs,,Ballots,191,191,191
44122,COSV,Governor,abs,,Ballots,460,460,460
44132,COSV,Governor,abs,,Ballots,315,315,315
44142,COSV,Governor,abs,,Ballots,335,335,335
44152,COSV,Governor,abs,,Ballots,383,383,383
44162,COSV,Governor,abs,,Ballots,383,383,383
44172,COSV,Governor,abs,,Ballots,368,368,368
44182,COSV,Governor,abs,,Ballots,525,524,525
44192,COSV,Governor,abs,,Ballots,315,315,315
44202,COSV,Governor,abs,,Ballots,323,323,323
44212,COSV,Governor,abs,,Ballots,271,271,271
44222,COSV,Governor,abs,,Ballots,289,289,289
44232,COSV,Governor,abs,,Ballots,333,333,333
44242,COSV,Governor,abs,,Ballots,282,282,282
44252,COSV,Governor,abs,,Ballots,248,248,248
44262,COSV,Governor,abs,,Ballots,399,399,399
44272,COSV,Governor,abs,,Ballots,328,328,328
44282,COSV,Governor,abs,,Ballots,504,504,504
44292,COSV,Governor,abs,,Ballots,371,371,371
44302,COSV,Governor,abs,,Ballots,314,314,314
44312,COSV,Governor,abs,,Ballots,252,252,252
44322,COSV,Governor,abs,,Ballots,324,324,324
44332,COSV,Governor,abs,,Ballots,291,291,291
44342,COSV,Governor,abs,,Ballots,420,420,420
44352,COSV,Governor,abs,,Ballots,272,272,272
44362,COSV,Governor,abs,,Ballots,335,335,335
44372,COSV,Governor,abs,,Ballots,331,331,331
44382,COSV,Governor,abs,,Ballots,168,168,168
44392,COSV,Governor,abs,,Ballots,346,346,346
44402,COSV,Governor,abs,,Ballots,491,491,491
44412,COSV,Governor,abs,,Ballots,120,120,120
60002,Greenbluff r,Governor,abs,,Ballots,176,176,176
60012,Greenbluff r,Governor,abs,,Ballots,322,322,322
60022,Colbert s,Governor,abs,,Ballots,199,199,199
60032,Colbert s,Governor,abs,,Ballots,214,214,214
60042,Colbert s,Governor,abs,,Ballots,204,204,204
60052,Colbert s,Governor,abs,,Ballots,372,372,372
60062,Colbert s,Governor,abs,,Ballots,205,205,205
60072,Colbert s,Governor,abs,,Ballots,138,138,138
60092,Greenbluff r,Governor,abs,,Ballots,310,310,310
60102,Greenbluff r,Governor,abs,,Ballots,188,188,188
60112,Colbert s,Governor,abs,,Ballots,171,171,171
60122,Colbert s,Governor,abs,,Ballots,211,211,211
60142,Moran s,Governor,abs,,Ballots,259,259,259
60152,Whitworth s,Governor,abs,,Ballots,311,312,312
60162,Moran s,Governor,abs,,Ballots,296,296,296
60182,Moran s,Governor,abs,,Ballots,361,361,361
60192,Moran s,Governor,abs,,Ballots,334,334,334
60202,Moran s,Governor,abs,,Ballots,374,374,374
60222,West Plains r,Governor,abs,,Ballots,255,254,255
60232,Whitworth s,Governor,abs,,Ballots,348,348,348
60242,West Plains r,Governor,abs,,Ballots,183,183,183
60262,West Plains r,Governor,abs,,Ballots,91,91,91
60272,Colbert s,Governor,abs,,Ballots,222,222,222
60292,Whitworth s,Governor,abs,,Ballots,163,163,163
60302,Whitworth s,Governor,abs,,Ballots,235,235,235
60312,Whitworth s,Governor,abs,,Ballots,242,242,242
60322,Whitworth s,Governor,abs,,Ballots,247,247,247
60332,Whitworth s,Governor,abs,,Ballots,258,258,258
60342,Whitworth s,Governor,abs,,Ballots,198,198,198
60352,Whitworth s,Governor,abs,,Ballots,199,199,199
60362,Whitworth s,Governor,abs,,Ballots,227,227,227
60372,Whitworth s,Governor,abs,,Ballots,243,243,243
60382,Whitworth s,Governor,abs,,Ballots,209,209,209
60392,Whitworth s,Governor,abs,,Ballots,198,198,198
61002,Indian Trail,Governor,abs,,Ballots,299,299,299
61012,Indian Trail,Governor,abs,,Ballots,281,282,282
61022,Indian Trail,Governor,abs,,Ballots,264,264,264
61032,Indian Trail,Governor,abs,,Ballots,374,374,374
61042,Indian Trail,Governor,abs,,Ballots,316,316,316
61052,Indian Trail,Governor,abs,,Ballots,249,249,249
61062,Civil War,Governor,abs,,Ballots,299,299,299
61072,Civil War,Governor,abs,,Ballots,268,268,268
61082,Indian Trail,Governor,abs,,Ballots,292,292,292
61092,Indian Trail,Governor,abs,,Ballots,209,209,209
61102,Indian Trail,Governor,abs,,Ballots,163,163,163
61112,Indian Trail,Governor,abs,,Ballots,186,186,186
61122,Indian Trail,Governor,abs,,Ballots,249,249,249
61132,Civil War,Governor,abs,,Ballots,221,221,221
61142,Civil War,Governor,abs,,Ballots,197,197,197
61152,Civil War,Governor,abs,,Ballots,137,137,137
61162,Civil War,Governor,abs,,Ballots,358,358,358
61172,Finch,Governor,abs,,Ballots,275,275,275
61182,Shadle Park,Governor,abs,,Ballots,177,177,177
61192,Shadle Park,Governor,abs,,Ballots,326,326,326
61202,Shadle Park,Governor,abs,,Ballots,273,273,273
61212,Shadle Park,Governor,abs,,Ballots,253,253,253
61222,Shadle Park,Governor,abs,,Ballots,201,201,201
61232,Shadle Park,Governor,abs,,Ballots,342,342,342
61242,Shadle Park,Governor,abs,,Ballots,310,310,310
61252,Shadle Park,Governor,abs,,Ballots,265,267,267
61262,Shadle Park,Governor,abs,,Ballots,265,265,265
61272,Shadle Park,Governor,abs,,Ballots,318,318,318
61282,Shadle Park,Governor,abs,,Ballots,321,321,321
61292,South Hill,Governor,abs,,Ballots,180,180,180
61302,South Hill,Governor,abs,,Ballots,170,170,170
61312,South Hill,Governor,abs,,Ballots,200,200,200
61322,South Hill,Governor,abs,,Ballots,307,307,307
61332,South Hill,Governor,abs,,Ballots,321,321,321
61352,South Hill,Governor,abs,,Ballots,360,360,360
61362,South Hill,Governor,abs,,Ballots,300,300,300
61372,South Hill,Governor,abs,,Ballots,414,414,414
61382,South Hill,Governor,abs,,Ballots,175,175,175
61392,South Hill,Governor,abs,,Ballots,246,246,246
61402,South Hill,Governor,abs,,Ballots,392,392,392
61412,South Hill,Governor,abs,,Ballots,412,412,412
61422,South Hill,Governor,abs,,Ballots,289,289,289
61432,South Hill,Governor,abs,,Ballots,320,320,320
61442,South Hill,Governor,abs,,Ballots,328,328,328
61452,South Hill,Governor,abs,,Ballots,291,291,291
61462,South Hill,Governor,abs,,Ballots,298,298,298
61472,South Hill,Governor,abs,,Ballots,292,292,292
61482,South Hill,Governor,abs,,Ballots,216,216,216
61492,South Hill,Governor,abs,,Ballots,251,251,251
61502,South Hill,Governor,abs,,Ballots,120,120,120
61512,South Hill,Governor,abs,,Ballots,271,271,271
64002,COSV,Governor,abs,,Ballots,114,114,114
70002,Greenbluff r,Governor,abs,,Ballots,286,286,286
70012,Greenbluff r,Governor,abs,,Ballots,258,258,258
70022,Greenbluff r,Governor,abs,,Ballots,166,166,166
70032,Greenbluff r,Governor,abs,,Ballots,130,130,130
70042,Greenbluff r,Governor,abs,,Ballots,125,124,125
70052,Greenbluff r,Governor,abs,,Ballots,160,160,160
70062,West Plains r,Governor,abs,,Ballots,189,189,189
70072,West Plains r,Governor,abs,,Ballots,293,293,293
70082,West Plains r,Governor,abs,,Ballots,279,279,279
70092,West Plains r,Governor,abs,,Ballots,152,152,152
70102,West Plains r,Governor,abs,,Ballots,283,283,283
70112,Greenbluff r,Governor,abs,,Ballots,244,244,244
70122,Greenbluff r,Governor,abs,,Ballots,247,247,247
71002,Airway Heights,Governor,abs,,Ballots,284,284,284
71012,Airway Heights,Governor,abs,,Ballots,90,90,90
72002,Fairchild,Governor,abs,,Ballots,172,172,172
73002,Deer Park,Governor,abs,,Ballots,303,303,303
73012,Deer Park,Governor,abs,,Ballots,221,221,221
90002,Palouse r,Governor,abs,,Ballots,135,135,135
90032,Palouse r,Governor,abs,,Ballots,252,253,253
90042,Palouse r,Governor,abs,,Ballots,232,232,232
90052,Palouse r,Governor,abs,,Ballots,158,158,158
90062,Palouse r,Governor,abs,,Ballots,232,232,232
90072,West Plains r,Governor,abs,,Ballots,271,271,271
90082,West Plains r,Governor,abs,,Ballots,141,141,141
90092,West Plains r,Governor,abs,,Ballots,305,305,305
90102,Palouse r,Governor,abs,,Ballots,246,246,246
90152,Palouse r,Governor,abs,,Ballots,337,338,338
90192,Moran s,Governor,abs,,Ballots,202,202,202
91002,Medical Lake,Governor,abs,,Ballots,385,385,385
91012,Medical Lake,Governor,abs,,Ballots,271,271,271
92002,Cheney,Governor,abs,,Ballots,323,323,323
92012,Cheney,Governor,abs,,Ballots,285,285,285
92022,Cheney,Governor,abs,,Ballots,279,279,279
92032,Cheney,Governor,abs,,Ballots,453,453,453
95002,Fairfield,Governor,abs,,Ballots,127,127,127
31001,NOE,Governor,poll,,Ballots,346,346,346
31011,Hillyard,Governor,poll,,Ballots,290,290,290
31021,NOE,Governor,poll,,Ballots,454,454,454
31031,Hillyard,Governor,poll,,Ballots,314,314,314
31041,NOE,Governor,poll,,Ballots,361,361,361
31051,NOE,Governor,poll,,Ballots,372,372,372
31061,NOE,Governor,poll,,Ballots,420,420,420
31071,NOE,Governor,poll,,Ballots,434,434,434
31081,Shadle Park,Governor,poll,,Ballots,515,516,516
31091,Shadle Park,Governor,poll,,Ballots,448,448,448
31101,Shadle Park,Governor,poll,,Ballots,372,372,372
31111,Shadle Park,Governor,poll,,Ballots,429,429,429
31121,Hillyard,Governor,poll,,Ballots,395,395,395
31131,Hillyard,Governor,poll,,Ballots,243,243,243
31141,NOE,Governor,poll,,Ballots,289,289,289
31151,NOE,Governor,poll,,Ballots,362,362,362
31161,NOE,Governor,poll,,Ballots,433,433,433
31171,NOE,Governor,poll,,Ballots,427,427,427
31181,NOE,Governor,poll,,Ballots,382,382,382
31191,NOE,Governor,poll,,Ballots,441,441,441
31201,NOE,Governor,poll,,Ballots,424,424,424
31211,East Central,Governor,poll,,Ballots,398,398,398
31221,East Central,Governor,poll,,Ballots,348,348,348
31231,East Central,Governor,poll,,Ballots,352,352,352
31241,Shadle Park,Governor,poll,,Ballots,521,521,521
31251,Shadle Park,Governor,poll,,Ballots,399,399,399
31261,Shadle Park,Governor,poll,,Ballots,539,539,539
31271,Shadle Park,Governor,poll,,Ballots,657,657,657
31281,Shadle Park,Governor,poll,,Ballots,410,410,410
31291,South Hill,Governor,poll,,Ballots,563,563,563
31301,South Hill,Governor,poll,,Ballots,274,274,274
31311,East Central,Governor,poll,,Ballots,418,418,418
31321,South Hill,Governor,poll,,Ballots,384,384,384
31331,South Hill,Governor,poll,,Ballots,433,433,433
31341,South Hill,Governor,poll,,Ballots,531,533,533
31351,South Hill,Governor,poll,,Ballots,347,347,347
31361,Shadle Park,Governor,poll,,Ballots,366,366,366
31371,East Central,Governor,poll,,Ballots,370,370,370
31381,East Central,Governor,poll,,Ballots,435,435,435
31391,East Central,Governor,poll,,Ballots,360,360,360
31401,East Central,Governor,poll,,Ballots,543,543,543
31411,East Central,Governor,poll,,Ballots,402,402,402
31421,East Central,Governor,poll,,Ballots,544,544,544
31431,West Central,Governor,poll,,Ballots,463,463,463
31441,West Central,Governor,poll,,Ballots,408,408,408
31451,Shadle Park,Governor,poll,,Ballots,324,324,324
31461,West Central,Governor,poll,,Ballots,479,478,479
31471,West Central,Governor,poll,,Ballots,471,471,471
31481,West Central,Governor,poll,,Ballots,328,328,328
31491,West Central,Governor,poll,,Ballots,429,430,430
31501,West Central,Governor,poll,,Ballots,557,557,557
31511,West Central,Governor,poll,,Ballots,389,389,389
31521,Browne's Add,Governor,poll,,Ballots,620,620,620
31531,Browne's Add,Governor,poll,,Ballots,517,517,517
31541,East Central,Governor,poll,,Ballots,335,335,335
31551,South Hill,Governor,poll,,Ballots,562,562,562
31561,South Hill,Governor,poll,,Ballots,449,449,449
31571,South Hill,Governor,poll,,Ballots,588,588,588
31581,South Hill,Governor,poll,,Ballots,498,498,498
31591,South Hill,Governor,poll,,Ballots,458,458,458
31601,South Hill,Governor,poll,,Ballots,437,436,437
31611,South Hill,Governor,poll,,Ballots,344,344,344
31621,South Hill,Governor,poll,,Ballots,457,457,457
31631,South Hill,Governor,poll,,Ballots,399,399,399
31641,South Hill,Governor,poll,,Ballots,369,369,369
31651,South Hill,Governor,poll,,Ballots,459,459,459
40001,Greenbluff r,Governor,poll,,Ballots,499,499,499
40011,Greenbluff r,Governor,poll,,Ballots,647,647,647
40021,Greenbluff r,Governor,poll,,Ballots,714,714,714
40031,Colbert s,Governor,poll,,Ballots,519,519,519
40041,Greenbluff r,Governor,poll,,Ballots,444,444,444
40051,Greenbluff r,Governor,poll,,Ballots,601,601,601
40061,Colbert s,Governor,poll,,Ballots,548,548,548
40071,Greenbluff r,Governor,poll,,Ballots,268,268,268
40083,Greenbluff r,Governor,poll,,Ballots,392,392,392
40091,Greenbluff r,Governor,poll,,Ballots,435,435,435
40101,Greenbluff r,Governor,poll,,Ballots,243,243,243
40111,Greenbluff r,Governor,poll,,Ballots,543,543,543
40121,Greenbluff r,Governor,poll,,Ballots,504,504,504
40131,Greenbluff r,Governor,poll,,Ballots,276,276,276
40143,Foothills s,Governor,vbm,,Ballots,345,345,345
40151,Foothills s,Governor,poll,,Ballots,563,563,563
40161,Foothills s,Governor,poll,,Ballots,734,734,734
40171,Foothills s,Governor,poll,,Ballots,384,384,383
40181,Otis Orchards s,Governor,poll,,Ballots,277,277,277
40191,Otis Orchards s,Governor,poll,,Ballots,281,281,281
40201,Otis Orchards s,Governor,poll,,Ballots,466,466,466
40211,Otis Orchards s,Governor,poll,,Ballots,365,365,365
40221,Otis Orchards s,Governor,poll,,Ballots,328,328,328
40233,Palouse r,Governor,vbm,,Ballots,157,157,157
40241,Palouse r,Governor,poll,,Ballots,536,536,536
40251,Palouse r,Governor,poll,,Ballots,609,609,609
40263,Palouse r,Governor,vbm,,Ballots,359,359,359
40271,Palouse r,Governor,poll,,Ballots,361,361,361
40281,Palouse r,Governor,poll,,Ballots,590,591,591
40291,Palouse r,Governor,poll,,Ballots,397,397,397
41003,NOE,Governor,vbm,,Ballots,9,9,9
41013,East Central,Governor,vbm,,Ballots,117,117,117
42001,Millwood,Governor,poll,,Ballots,319,319,319
42011,Millwood,Governor,poll,,Ballots,183,183,183
43001,Liberty Lake,Governor,poll,,Ballots,767,767,767
43011,Liberty Lake,Governor,poll,,Ballots,741,740,741
44001,COSV,Governor,poll,,Ballots,418,418,418
44011,COSV,Governor,poll,,Ballots,483,483,483
44021,COSV,Governor,poll,,Ballots,439,439,439
44031,COSV,Governor,poll,,Ballots,550,550,550
44041,COSV,Governor,poll,,Ballots,598,598,598
44051,COSV,Governor,poll,,Ballots,350,350,350
44061,COSV,Governor,poll,,Ballots,569,569,569
44071,COSV,Governor,poll,,Ballots,466,466,466
44081,COSV,Governor,poll,,Ballots,585,584,585
44091,COSV,Governor,poll,,Ballots,638,638,638
44101,COSV,Governor,poll,,Ballots,996,996,996
44111,COSV,Governor,poll,,Ballots,348,348,348
44121,COSV,Governor,poll,,Ballots,724,724,724
44131,COSV,Governor,poll,,Ballots,490,490,490
44141,COSV,Governor,poll,,Ballots,470,470,470
44151,COSV,Governor,poll,,Ballots,728,728,728
44161,COSV,Governor,poll,,Ballots,505,505,505
44171,COSV,Governor,poll,,Ballots,555,555,555
44181,COSV,Governor,poll,,Ballots,798,798,799
44191,COSV,Governor,poll,,Ballots,507,507,507
44201,COSV,Governor,poll,,Ballots,445,445,445
44211,COSV,Governor,poll,,Ballots,349,349,349
44221,COSV,Governor,poll,,Ballots,431,431,431
44231,COSV,Governor,poll,,Ballots,627,627,627
44241,COSV,Governor,poll,,Ballots,450,450,450
44251,COSV,Governor,poll,,Ballots,328,328,328
44261,COSV,Governor,poll,,Ballots,629,629,629
44271,COSV,Governor,poll,,Ballots,594,594,594
44281,COSV,Governor,poll,,Ballots,860,860,860
44291,COSV,Governor,poll,,Ballots,573,573,573
44301,COSV,Governor,poll,,Ballots,447,447,447
44311,COSV,Governor,poll,,Ballots,343,343,343
44321,COSV,Governor,poll,,Ballots,515,515,515
44331,COSV,Governor,poll,,Ballots,645,645,645
44341,COSV,Governor,poll,,Ballots,585,585,585
44351,COSV,Governor,poll,,Ballots,485,484,484
44361,COSV,Governor,poll,,Ballots,595,596,596
44371,COSV,Governor,poll,,Ballots,766,766,766
44381,COSV,Governor,poll,,Ballots,301,301,301
44391,COSV,Governor,poll,,Ballots,536,536,536
44401,COSV,Governor,poll,,Ballots,653,653,653
44411,COSV,Governor,poll,,Ballots,403,403,403
60001,Greenbluff r,Governor,poll,,Ballots,475,475,475
60011,Greenbluff r,Governor,poll,,Ballots,915,915,915
60021,Colbert s,Governor,poll,,Ballots,460,460,460
60031,Colbert s,Governor,poll,,Ballots,288,288,288
60041,Colbert s,Governor,poll,,Ballots,482,482,482
60051,Colbert s,Governor,poll,,Ballots,820,820,820
60061,Colbert s,Governor,poll,,Ballots,436,436,436
60071,Colbert s,Governor,poll,,Ballots,306,306,306
60083,Colbert s,Governor,vbm,,Ballots,285,285,285
60091,Greenbluff r,Governor,poll,,Ballots,822,822,822
60101,Greenbluff r,Governor,poll,,Ballots,507,507,507
60111,Colbert s,Governor,poll,,Ballots,321,322,322
60121,Colbert s,Governor,poll,,Ballots,332,332,332
60141,Moran s,Governor,poll,,Ballots,621,621,621
60151,Whitworth s,Governor,poll,,Ballots,534,534,534
60161,Moran s,Governor,poll,,Ballots,581,581,581
60173,West Plains r,Governor,vbm,,Ballots,65,65,65
60181,Moran s,Governor,poll,,Ballots,667,667,667
60191,Moran s,Governor,poll,,Ballots,540,540,540
60201,Moran s,Governor,poll,,Ballots,791,791,791
60213,Palouse r,Governor,vbm,,Ballots,38,38,38
60221,West Plains r,Governor,poll,,Ballots,426,426,426
60231,Whitworth s,Governor,poll,,Ballots,592,592,592
60241,West Plains r,Governor,poll,,Ballots,507,507,507
60253,West Plains r,Governor,vbm,,Ballots,158,158,158
60261,West Plains r,Governor,poll,,Ballots,307,307,307
60271,Colbert s,Governor,poll,,Ballots,363,363,363
60283,Whitworth s,Governor,vbm,,Ballots,114,114,114
60291,Whitworth s,Governor,poll,,Ballots,296,296,296
60301,Whitworth s,Governor,poll,,Ballots,371,371,371
60311,Whitworth s,Governor,poll,,Ballots,454,454,454
60321,Whitworth s,Governor,poll,,Ballots,411,411,411
60331,Whitworth s,Governor,poll,,Ballots,466,466,466
60341,Whitworth s,Governor,poll,,Ballots,358,358,358
60351,Whitworth s,Governor,poll,,Ballots,456,456,456
60361,Whitworth s,Governor,poll,,Ballots,434,434,434
60371,Whitworth s,Governor,poll,,Ballots,445,445,445
60381,Whitworth s,Governor,poll,,Ballots,340,340,340
60391,Whitworth s,Governor,poll,,Ballots,376,376,376
61001,Indian Trail,Governor,poll,,Ballots,656,656,656
61011,Indian Trail,Governor,poll,,Ballots,626,626,626
61021,Indian Trail,Governor,poll,,Ballots,389,389,389
61031,Indian Trail,Governor,poll,,Ballots,527,526,527
61041,Indian Trail,Governor,poll,,Ballots,607,608,608
61051,Indian Trail,Governor,poll,,Ballots,859,858,858
61061,Civil War,Governor,poll,,Ballots,669,669,669
61071,Civil War,Governor,poll,,Ballots,407,407,407
61081,Indian Trail,Governor,poll,,Ballots,521,521,521
61091,Indian Trail,Governor,poll,,Ballots,521,521,521
61101,Indian Trail,Governor,poll,,Ballots,488,488,488
61111,Indian Trail,Governor,poll,,Ballots,482,482,482
61121,Indian Trail,Governor,poll,,Ballots,656,656,656
61131,Civil War,Governor,poll,,Ballots,444,444,444
61141,Civil War,Governor,poll,,Ballots,447,447,447
61151,Civil War,Governor,poll,,Ballots,350,350,350
61161,Civil War,Governor,poll,,Ballots,1066,1066,1066
61171,Finch,Governor,poll,,Ballots,510,510,510
61181,Shadle Park,Governor,poll,,Ballots,477,477,477
61191,Shadle Park,Governor,poll,,Ballots,577,577,577
61201,Shadle Park,Governor,poll,,Ballots,526,526,526
61211,Shadle Park,Governor,poll,,Ballots,464,464,464
61221,Shadle Park,Governor,poll,,Ballots,358,358,358
61231,Shadle Park,Governor,poll,,Ballots,496,496,496
61241,Shadle Park,Governor,poll,,Ballots,432,432,432
61251,Shadle Park,Governor,poll,,Ballots,510,509,509
61261,Shadle Park,Governor,poll,,Ballots,563,563,563
61271,Shadle Park,Governor,poll,,Ballots,557,557,557
61281,Shadle Park,Governor,poll,,Ballots,585,584,585
61291,South Hill,Governor,poll,,Ballots,642,642,642
61301,South Hill,Governor,poll,,Ballots,444,444,444
61311,South Hill,Governor,poll,,Ballots,318,318,318
61321,South Hill,Governor,poll,,Ballots,535,535,535
61331,South Hill,Governor,poll,,Ballots,548,548,548
61343,Shadle Park,Governor,vbm,,Ballots,126,126,126
61351,South Hill,Governor,poll,,Ballots,591,591,591
61361,South Hill,Governor,poll,,Ballots,736,736,736
61371,South Hill,Governor,poll,,Ballots,976,976,976
61381,South Hill,Governor,poll,,Ballots,687,687,687
61391,South Hill,Governor,poll,,Ballots,414,414,414
61401,South Hill,Governor,poll,,Ballots,762,762,762
61411,South Hill,Governor,poll,,Ballots,573,573,573
61421,South Hill,Governor,poll,,Ballots,425,425,425
61431,South Hill,Governor,poll,,Ballots,352,352,352
61441,South Hill,Governor,poll,,Ballots,565,565,565
61451,South Hill,Governor,poll,,Ballots,538,538,538
61461,South Hill,Governor,poll,,Ballots,568,568,568
61471,South Hill,Governor,poll,,Ballots,523,523,523
61481,South Hill,Governor,poll,,Ballots,437,437,437
61491,South Hill,Governor,poll,,Ballots,564,564,564
61501,South Hill,Governor,poll,,Ballots,410,410,410
61511,South Hill,Governor,poll,,Ballots,828,828,828
64001,COSV,Governor,poll,,Ballots,378,378,378
70001,Greenbluff r,Governor,poll,,Ballots,485,485,485
70011,Greenbluff r,Governor,poll,,Ballots,573,573,573
70021,Greenbluff r,Governor,poll,,Ballots,391,391,391
70031,Greenbluff r,Governor,poll,,Ballots,231,231,231
70041,Greenbluff r,Governor,poll,,Ballots,449,449,449
70051,Greenbluff r,Governor,poll,,Ballots,398,398,398
70061,West Plains r,Governor,poll,,Ballots,400,400,400
70071,West Plains r,Governor,poll,,Ballots,646,646,646
