precinct,area,office,district,party,candidate,total,machine,hand
31002,NOE,Governor,abs,,Ballots,184,184,184
31012,Hillyard,Governor,abs,,Ballots,158,158,158
31022,NOE,Governor,abs,,Ballots,173,173,173
31032,Hillyard,Governor,abs,,Ballots,192,192,192
31042,NOE,Governor,abs,,Ballots,213,214,214
31052,NOE,Governor,abs,,Ballots,211,211,211
31062,NOE,Governor,abs,,Ballots,157,157,157
31072,NOE,Governor,abs,,Ballots,238,238,238
31082,Shadle Park,Governor,abs,,Ballots,321,321,322
31092,Shadle Park,Governor,abs,,Ballots,245,245,245
31102,Shadle Park,Governor,abs,,Ballots,246,246,246
31112,Shadle Park,Governor,abs,,Ballots,264,264,264
31122,Hillyard,Governor,abs,,Ballots,213,213,213
31132,Hillyard,Governor,abs,,Ballots,139,139,139
31142,NOE,Governor,abs,,Ballots,164,164,164
31152,NOE,Governor,abs,,Ballots,158,158,158
31162,NOE,Governor,abs,,Ballots,220,220,220
31172,NOE,Governor,abs,,Ballots,235,235,235
31182,NOE,Governor,abs,,Ballots,228,228,228
31192,NOE,Governor,abs,,Ballots,258,258,258
31202,NOE,Governor,abs,,Ballots,295,295,295
31212,East Central,Governor,abs,,Ballots,228,228,228
31222,East Central,Governor,abs,,Ballots,226,226,225
31232,East Central,Governor,abs,,Ballots,179,179,179
31242,Shadle Park,Governor,abs,,Ballots,295,295,295
31252,Shadle Park,Governor,abs,,Ballots,196,196,196
31262,Shadle Park,Governor,abs,,Ballots,289,289,289
31272,Shadle Park,Governor,abs,,Ballots,345,345,345
31282,Shadle Park,Governor,abs,,Ballots,210,210,210
31292,South Hill,Governor,abs,,Ballots,291,291,291
31302,South Hill,Governor,abs,,Ballots,141,141,141
31312,East Central,Governor,abs,,Ballots,229,229,229
31322,South Hill,Governor,abs,,Ballots,230,230,230
31332,South Hill,Governor,abs,,Ballots,248,248,248
31342,South Hill,Governor,abs,,Ballots,280,280,280
31352,South Hill,Governor,abs,,Ballots,220,220,220
31362,Shadle Park,Governor,abs,,Ballots,227,227,227
31372,East Central,Governor,abs,,Ballots,186,186,186
31382,East Central,Governor,abs,,Ballots,251,251,251
31392,East Central,Governor,abs,,Ballots,192,192,192
31402,East Central,Governor,abs,,Ballots,190,190,190
31412,East Central,Governor,abs,,Ballots,219,219,219
31422,East Central,Governor,abs,,Ballots,198,198,198
31432,West Central,Governor,abs,,Ballots,266,266,266
31442,West Central,Governor,abs,,Ballots,252,252,252
31452,Shadle Park,Governor,abs,,Ballots,187,187,187
31462,West Central,Governor,abs,,Ballots,295,295,295
31472,West Central,Governor,abs,,Ballots,247,247,247
31482,West Central,Governor,abs,,Ballots,222,222,222
31492,West Central,Governor,abs,,Ballots,250,250,250
31502,West Central,Governor,abs,,Ballots,291,291,291
31512,West Central,Governor,abs,,Ballots,307,307,307
31522,Browne's Add,Governor,abs,,Ballots,402,402,402
31532,Browne's Add,Governor,abs,,Ballots,183,183,183
31542,East Central,Governor,abs,,Ballots,145,145,145
31552,South Hill,Governor,abs,,Ballots,306,306,306
31562,South Hill,Governor,abs,,Ballots,332,332,332
31572,South Hill,Governor,abs,,Ballots,328,328,328
31582,South Hill,Governor,abs,,Ballots,323,323,323
31592,South Hill,Governor,abs,,Ballots,235,235,235
31602,South Hill,Governor,abs,,Ballots,391,391,391
31612,South Hill,Governor,abs,,Ballots,246,246,246
31622,South Hill,Governor,abs,,Ballots,155,155,155
31632,South Hill,Governor,abs,,Ballots,194,194,194
31642,South Hill,Governor,abs,,Ballots,226,226,226
31652,South Hill,Governor,abs,,Ballots,224,224,224
40002,Greenbluff r,Governor,abs,,Ballots,240,240,240
40012,Greenbluff r,Governor,abs,,Ballots,305,305,305
40022,Greenbluff r,Governor,abs,,Ballots,365,365,365
40032,Colbert s,Governor,abs,,Ballots,303,303,303
40042,Greenbluff r,Governor,abs,,Ballots,197,197,197
40052,Greenbluff r,Governor,abs,,Ballots,304,304,304
40062,Colbert s,Governor,abs,,Ballots,328,328,328
40072,Greenbluff r,Governor,abs,,Ballots,195,195,195
40092,Greenbluff r,Governor,abs,,Ballots,180,181,181
40102,Greenbluff r,Governor,abs,,Ballots,138,138,138
