number,precinct,office,district,party,candidate,votes,,
41313113,Ephrata 9,Governor,,R,Dino Rossi,430,431,431
41313014,Ephrata rural,Governor,,R,Dino Rossi,478,479,479
41313215,George,Governor,,R,Dino Rossi,52,52,52
41313016,George rural,Governor,,R,Dino Rossi,491,492,492
41313017,Gloyd,Governor,,R,Dino Rossi,276,277,277
41313021,Lakeview Park,Governor,,R,Dino Rossi,542,543,543
41313022,Longview Park,Governor,,R,Dino Rossi,336,337,337
41313023,Mae,Governor,,R,Dino Rossi,739,740,741
41313326,Mattawa,Governor,,R,Dino Rossi,49,49,49
41313027,Mattawa rural,Governor,,R,Dino Rossi,409,411,411
41313028,McConihe 1,Governor,,R,Dino Rossi,94,94,94
41313429,Moses Lake 5,Governor,,R,Dino Rossi,564,565,565
41313430,Moses Lake 3,Governor,,R,Dino Rossi,308,309,309
41313431,Moses Lake 4,Governor,,R,Dino Rossi,316,317,317
41313432,Moses Lake 6,Governor,,R,Dino Rossi,381,383,383
41313433,Moses Lake 7,Governor,,R,Dino Rossi,610,610,613
41313434,Moses Lake 8,Governor,,R,Dino Rossi,603,606,606
41313435,Moses Lake 11,Governor,,R,Dino Rossi,426,426,426
41313436,Moses Lake 12,Governor,,R,Dino Rossi,356,355,355
41313038,O'Sullivan Dam,Governor,,R,Dino Rossi,917,920,917
41313539,Quincy 1,Governor,,R,Dino Rossi,130,131,131
41313540,Quincy 4,Governor,,R,Dino Rossi,152,152,152
41313541,Quincy 6,Governor,,R,Dino Rossi,429,429,429
41313042,Quincy rur north,Governor,,R,Dino Rossi,268,269,269
41313043,Royal Camp,Governor,,R,Dino Rossi,414,417,417
41313644,Royal City,Governor,,R,Dino Rossi,107,107,107
41313045,Ruff,Governor,,R,Dino Rossi,46,46,46
41313046,Smyrna 1,Governor,,R,Dino Rossi,144,144,144
41313049,Stratford,Governor,,R,Dino Rossi,46,46,46
41313750,Warden,Governor,,R,Dino Rossi,222,222,222
41313051,Warden rural,Governor,,R,Dino Rossi,440,441,441
41313852,Soap Lake 2,Governor,,R,Dino Rossi,134,135,135
41313053,Westslope 1,Governor,,R,Dino Rossi,128,128,128
41313054,Wheeler,Governor,,R,Dino Rossi,842,844,844
41313056,Wilson Ck rural,Governor,,R,Dino Rossi,22,22,22
41313057,Airport 2,Governor,,R,Dino Rossi,232,232,232
41313058,Cascade Valley,Governor,,R,Dino Rossi,477,478,478
41313059,Westslope 2,Governor,,R,Dino Rossi,77,78,78
41313060,Smyrna 2,Governor,,R,Dino Rossi,31,31,31
41313061,East Wahluke,Governor,,R,Dino Rossi,143,143,143
41313063,McConihe 2,Governor,,R,Dino Rossi,109,109,109
41313064,Quincy rur south,Governor,,R,Dino Rossi,541,547,547
41313065,Greenfield,Governor,,R,Dino Rossi,51,52,52
41313999,Canvass,Governor,,R,Dino Rossi,0,0,0
GRANT WA,GRANT WA,Governor,,R,Dino Rossi,17385,17429,17431
41312105,Coulee City,Governor,,L,Ruth Bennett,9,9,9
41312006,Coulee City rural west,Governor,,L,Ruth Bennett,1,1,1
41312207,Electric City,Governor,,L,Ruth Bennett,1,1,1
41312318,Grand Coulee,Governor,,L,Ruth Bennett,9,9,9
41312419,Hartline,Governor,,L,Ruth Bennett,10,10,10
41312020,Hartline rural,Governor,,L,Ruth Bennett,2,2,2
41312524,Marlin,Governor,,L,Ruth Bennett,1,1,1
41312025,Marlin rural,Governor,,L,Ruth Bennett,1,1,1
41312037,North Banks Lake,Governor,,L,Ruth Bennett,1,1,1
41312647,Soap Lake 1,Governor,,L,Ruth Bennett,3,3,3
41312048,Soap Lake rural,Governor,,L,Ruth Bennett,10,10,10
41312755,Wilson Creek,Governor,,L,Ruth Bennett,3,3,3
41312062,Coulee City rural east,Governor,,L,Ruth Bennett,4,4,4
41313001,Airport,Governor,,L,Ruth Bennett,14,14,14
41313002,Beverly,Governor,,L,Ruth Bennett,2,2,2
41313003,Block 71,Governor,,L,Ruth Bennett,11,11,11
41313004,Cascade Fair,Governor,,L,Ruth Bennett,18,18,18
41313108,Ephrata 5,Governor,,L,Ruth Bennett,5,5,5
41313109,Ephrata 2,Governor,,L,Ruth Bennett,4,4,4
41313110,Ephrata 3,Governor,,L,Ruth Bennett,13,13,13
41313111,Ephrata 4,Governor,,L,Ruth Bennett,13,13,13
41313112,Ephrata 7,Governor,,L,Ruth Bennett,5,5,5
41313113,Ephrata 9,Governor,,L,Ruth Bennett,9,9,9
41313014,Ephrata rural,Governor,,L,Ruth Bennett,14,14,14
41313215,George,Governor,,L,Ruth Bennett,1,1,1
41313016,George rural,Governor,,L,Ruth Bennett,13,13,13
41313017,Gloyd,Governor,,L,Ruth Bennett,8,8,8
41313021,Lakeview Park,Governor,,L,Ruth Bennett,21,21,21
41313022,Longview Park,Governor,,L,Ruth Bennett,12,12,12
41313023,Mae,Governor,,L,Ruth Bennett,15,15,15
41313326,Mattawa,Governor,,L,Ruth Bennett,6,6,6
41313027,Mattawa rural,Governor,,L,Ruth Bennett,7,7,7
41313028,McConihe 1,Governor,,L,Ruth Bennett,2,2,2
41313429,Moses Lake 5,Governor,,L,Ruth Bennett,19,19,19
41313430,Moses Lake 3,Governor,,L,Ruth Bennett,18,18,18
41313431,Moses Lake 4,Governor,,L,Ruth Bennett,1,1,1
41313432,Moses Lake 6,Governor,,L,Ruth Bennett,22,22,22
41313433,Moses Lake 7,Governor,,L,Ruth Bennett,24,24,24
41313434,Moses Lake 8,Governor,,L,Ruth Bennett,16,16,16
41313435,Moses Lake 11,Governor,,L,Ruth Bennett,12,12,12
41313436,Moses Lake 12,Governor,,L,Ruth Bennett,20,20,20
41313038,O'Sullivan Dam,Governor,,L,Ruth Bennett,10,10,10
41313539,Quincy 1,Governor,,L,Ruth Bennett,10,10,10
41313540,Quincy 4,Governor,,L,Ruth Bennett,12,12,12
41313541,Quincy 6,Governor,,L,Ruth Bennett,4,4,4
41313042,Quincy rur north,Governor,,L,Ruth Bennett,5,5,5
41313043,Royal Camp,Governor,,L,Ruth Bennett,12,12,12
41313644,Royal City,Governor,,L,Ruth Bennett,5,5,5
41313045,Ruff,Governor,,L,Ruth Bennett,0,0,0
41313046,Smyrna 1,Governor,,L,Ruth Bennett,3,3,3
41313049,Stratford,Governor,,L,Ruth Bennett,0,0,0
41313750,Warden,Governor,,L,Ruth Bennett,16,17,17
41313051,Warden rural,Governor,,L,Ruth Bennett,10,10,10
41313852,Soap Lake 2,Governor,,L,Ruth Bennett,3,3,3
41313053,Westslope 1,Governor,,L,Ruth Bennett,1,1,1
41313054,Wheeler,Governor,,L,Ruth Bennett,11,11,11
41313056,Wilson Ck rural,Governor,,L,Ruth Bennett,0,0,0
41313057,Airport 2,Governor,,L,Ruth Bennett,12,12,12
41313058,Cascade Valley,Governor,,L,Ruth Bennett,20,20,20
41313059,Westslope 2,Governor,,L,Ruth Bennett,2,2,2
41313060,Smyrna 2,Governor,,L,Ruth Bennett,0,0,0
41313061,East Wahluke,Governor,,L,Ruth Bennett,3,3,3
41313063,McConihe 2,Governor,,L,Ruth Bennett,2,2,2
41313064,Quincy rur south,Governor,,L,Ruth Bennett,12,12,12
41313065,Greenfield,Governor,,L,Ruth Bennett,1,1,1
41313999,Canvass,Governor,,L,Ruth Bennett,0,0,0
GRANT WA,GRANT WA,Governor,,L,Ruth Bennett,534,535,535
