number,name,type,district,party,candidate,total,,
1261,Potlatch,,absentee,,Ballots,34,34,34
1271,Satsop,,absentee,,Ballots,120,120,120
1281,Skokomish,,absentee,,Ballots,126,126,126
3041,Southside,,absentee,,Ballots,429,429,429
3061,Timberlake,,absentee,,Ballots,445,445,445
1301,Union,,absentee,,Ballots,753,753,753
1311,Victor,,absentee,,Ballots,267,267,267
1321,Westside,,absentee,,Ballots,115,115,115
2011,Shelton 01,,absentee,,Ballots,34,34,34
2021,Shelton 02,,absentee,,Ballots,60,60,60
2031,Shelton 03,,absentee,,Ballots,99,99,99
2041,Shelton 04,,absentee,,Ballots,72,72,72
2051,Shelton 05,,absentee,,Ballots,150,150,150
2061,Shelton 06,,absentee,,Ballots,58,58,58
2071,Shelton 07,,absentee,,Ballots,139,139,139
2081,Shelton 08,,absentee,,Ballots,59,59,59
2091,Shelton 09,,absentee,,Ballots,55,55,55
2101,Shelton 10,,absentee,,Ballots,83,82,82
2111,Shelton 11,,absentee,,Ballots,112,112,112
2121,Shelton 12,,absentee,,Ballots,60,60,60
2131,Shelton 13,,absentee,,Ballots,198,198,198
2141,Shelton 14,,absentee,,Ballots,121,121,121
2151,Shelton 15,,absentee,,Ballots,79,79,79
2161,Shelton 16,,absentee,,Ballots,459,459,459
985,Service Voters,,vbm,,Ballots,16,16,16
101,Airport,,,,Ballots,813,813,813
102,Allyn,,,,Ballots,801,801,801
103,Arcadia,,,,Ballots,397,397,397
307,Bayshore,,,,Ballots,544,544,544
308,Belfair 1,,,,Ballots,975,975,975
104,Belfair 2,,,,Ballots,511,511,511
105,Belfair 3,,,,Ballots,594,596,596
106,Belfair 4,,,,Ballots,827,827,827
107,Belfair 5,,,,Ballots,361,361,361
301,Belfair 6,,,,Ballots,422,422,422
108,Capitol Hill,,,,Ballots,449,449,449
109,Cloquallum,,,,Ballots,461,461,461
305,Cushman,,,,Ballots,768,768,768
110,Dayton,,,,Ballots,417,417,417
302,Dewatto,,,,Ballots,547,547,547
111,Eells,,,,Ballots,267,267,267
112,Grapeview,,,,Ballots,933,933,933
113,Harstine,,,,Ballots,855,855,855
114,Hoodsport,,,,Ballots,328,328,328
115,Isabella,,,,Ballots,502,502,502
116,Kamilche 1,,,,Ballots,731,731,731
117,Kamilche 2,,,,Ballots,926,926,926
118,Lake,,,,Ballots,640,640,640
309,Lakeland,,,,Ballots,553,554,554
119,Lilliwaup,,,,Ballots,435,435,435
120,Matlock,,,,Ballots,276,276,276
121,Mill Creek,,,,Ballots,441,441,441
122,Miller,,,,Ballots,656,656,656
123,Mt View,,,,Ballots,319,319,319
124,Northside,,,,Ballots,817,817,817
303,Oakland,,,,Ballots,203,203,203
125,Pickering,,,,Ballots,908,908,908
126,Potlatch,,,,Ballots,49,49,49
127,Satsop,,,,Ballots,183,183,183
128,Skokomish,,,,Ballots,254,254,254
304,Southside,,,,Ballots,766,766,766
129,Tahuya,,,,Ballots,526,526,526
306,Timberlake,,,,Ballots,651,651,651
130,Union,,,,Ballots,1011,1011,1011
131,Victor,,,,Ballots,378,378,378
132,Westside,,,,Ballots,211,211,211
201,Shelton 01,,,,Ballots,58,58,58
202,Shelton 02,,,,Ballots,107,107,107
203,Shelton 03,,,,Ballots,163,163,163
204,Shelton 04,,,,Ballots,142,142,142
205,Shelton 05,,,,Ballots,265,265,265
206,Shelton 06,,,,Ballots,99,99,99
207,Shelton 07,,,,Ballots,273,273,273
208,Shelton 08,,,,Ballots,119,119,119
209,Shelton 09,,,,Ballots,113,113,113
210,Shelton 10,,,,Ballots,145,145,145
211,Shelton 11,,,,Ballots,188,188,188
212,Shelton 12,,,,Ballots,93,93,93
213,Shelton 13,,,,Ballots,333,333,333
214,Shelton 14,,,,Ballots,215,215,215
215,Shelton 15,,,,Ballots,133,133,133
216,Shelton 16,,,,Ballots,668,668,668
985,Service Voters,,,,Ballots,16,16,16
MASON WA,MASON WA,,,,Ballots,25836,25839,25839
number,name,office,type,party,candidate,total,machine,hand
1012,Airport,Governor,poll,D,Christine Gregoire,122,122,122
1022,Allyn,Governor,poll,D,Christine Gregoire,59,55,55
1032,Arcadia,Governor,poll,D,Christine Gregoire,63,63,63
3072,Bayshore,Governor,poll,D,Christine Gregoire,70,70,70
3082,Belfair 1,Governor,poll,D,Christine Gregoire,127,127,127
1042,Belfair 2,Governor,poll,D,Christine Gregoire,76,76,76
1052,Belfair 3,Governor,poll,D,Christine Gregoire,87,87,87
1062,Belfair 4,Governor,poll,D,Christine Gregoire,115,115,115
1072,Belfair 5,Governor,poll,D,Christine Gregoire,66,66,66
3012,Belfair 6,Governor,poll,D,Christine Gregoire,63,63,63
1082,Capitol Hill,Governor,poll,D,Christine Gregoire,62,62,62
1092,Cloquallum,Governor,poll,D,Christine Gregoire,74,73,74
3052,Cushman,Governor,poll,D,Christine Gregoire,89,89,89
1102,Dayton,Governor,poll,D,Christine Gregoire,81,81,81
3023,Dewatto,Governor,vbm,D,Christine Gregoire,278,278,278
1112,Eells,Governor,poll,D,Christine Gregoire,58,58,58
1122,Grapeview,Governor,poll,D,Christine Gregoire,132,132,132
1132,Harstine,Governor,poll,D,Christine Gregoire,159,159,159
1142,Hoodsport,Governor,poll,D,Christine Gregoire,34,34,35
1152,Isabella,Governor,poll,D,Christine Gregoire,74,74,74
1162,Kamilche 1,Governor,poll,D,Christine Gregoire,156,156,156
1172,Kamilche 2,Governor,poll,D,Christine Gregoire,140,140,140
1183,Lake,Governor,vbm,D,Christine Gregoire,303,303,303
3092,Lakeland,Governor,poll,D,Christine Gregoire,65,65,65
1193,Lilliwaup,Governor,vbm,D,Christine Gregoire,200,200,200
1202,Matlock,Governor,poll,D,Christine Gregoire,65,65,65
1212,Mill Creek,Governor,poll,D,Christine Gregoire,59,60,60
1222,Miller,Governor,poll,D,Christine Gregoire,102,102,102
1232,Mt View,Governor,poll,D,Christine Gregoire,53,53,53
1242,Northside,Governor,poll,D,Christine Gregoire,135,135,135
3033,Oakland,Governor,vbm,D,Christine Gregoire,81,81,81
1252,Pickering,Governor,poll,D,Christine Gregoire,131,131,131
1262,Potlatch,Governor,poll,D,Christine Gregoire,8,8,8
1272,Satsop,Governor,poll,D,Christine Gregoire,32,32,32
1282,Skokomish,Governor,poll,D,Christine Gregoire,99,99,99
3042,Southside,Governor,poll,D,Christine Gregoire,133,134,134
1293,Tahuya,Governor,vbm,D,Christine Gregoire,258,258,258
3062,Timberlake,Governor,poll,D,Christine Gregoire,88,88,88
1302,Union,Governor,poll,D,Christine Gregoire,114,114,114
1312,Victor,Governor,poll,D,Christine Gregoire,39,39,39
1322,Westside,Governor,poll,D,Christine Gregoire,41,41,41
2012,Shelton 01,Governor,poll,D,Christine Gregoire,13,13,13
2022,Shelton 02,Governor,poll,D,Christine Gregoire,23,23,23
2032,Shelton 03,Governor,poll,D,Christine Gregoire,25,25,25
2042,Shelton 04,Governor,poll,D,Christine Gregoire,40,40,40
2052,Shelton 05,Governor,poll,D,Christine Gregoire,63,63,63
2062,Shelton 06,Governor,poll,D,Christine Gregoire,19,19,19
2072,Shelton 07,Governor,poll,D,Christine Gregoire,54,54,54
2082,Shelton 08,Governor,poll,D,Christine Gregoire,33,33,33
2092,Shelton 09,Governor,poll,D,Christine Gregoire,26,26,26
2102,Shelton 10,Governor,poll,D,Christine Gregoire,36,36,36
2112,Shelton 11,Governor,poll,D,Christine Gregoire,34,34,34
2122,Shelton 12,Governor,poll,D,Christine Gregoire,17,17,17
2132,Shelton 13,Governor,poll,D,Christine Gregoire,61,61,61
2142,Shelton 14,Governor,poll,D,Christine Gregoire,45,45,45
2152,Shelton 15,Governor,poll,D,Christine Gregoire,19,19,19
2162,Shelton 16,Governor,poll,D,Christine Gregoire,88,88,88
1011,Airport,Governor,absentee,D,Christine Gregoire,228,228,228
1021,Allyn,Governor,absentee,D,Christine Gregoire,261,265,265
1031,Arcadia,Governor,absentee,D,Christine Gregoire,129,129,129
3071,Bayshore,Governor,absentee,D,Christine Gregoire,173,173,173
3081,Belfair 1,Governor,absentee,D,Christine Gregoire,295,295,295
1041,Belfair 2,Governor,absentee,D,Christine Gregoire,145,145,145
1051,Belfair 3,Governor,absentee,D,Christine Gregoire,156,156,156
1061,Belfair 4,Governor,absentee,D,Christine Gregoire,221,221,221
1071,Belfair 5,Governor,absentee,D,Christine Gregoire,76,76,76
3011,Belfair 6,Governor,absentee,D,Christine Gregoire,112,112,112
1081,Capitol Hill,Governor,absentee,D,Christine Gregoire,129,129,129
1091,Cloquallum,Governor,absentee,D,Christine Gregoire,136,136,137
3051,Cushman,Governor,absentee,D,Christine Gregoire,305,305,305
1101,Dayton,Governor,absentee,D,Christine Gregoire,110,110,110
1111,Eells,Governor,absentee,D,Christine Gregoire,68,68,68
1121,Grapeview,Governor,absentee,D,Christine Gregoire,300,300,300
1131,Harstine,Governor,absentee,D,Christine Gregoire,245,245,245
1141,Hoodsport,Governor,absentee,D,Christine Gregoire,90,90,90
1151,Isabella,Governor,absentee,D,Christine Gregoire,156,156,156
1161,Kamilche 1,Governor,absentee,D,Christine Gregoire,246,246,246
1171,Kamilche 2,Governor,absentee,D,Christine Gregoire,309,309,309
3091,Lakeland,Governor,absentee,D,Christine Gregoire,166,166,166
1201,Matlock,Governor,absentee,D,Christine Gregoire,47,47,47
1211,Mill Creek,Governor,absentee,D,Christine Gregoire,129,129,129
1221,Miller,Governor,absentee,D,Christine Gregoire,203,203,203
1231,Mt View,Governor,absentee,D,Christine Gregoire,93,93,93
1241,Northside,Governor,absentee,D,Christine Gregoire,264,264,265
1251,Pickering,Governor,absentee,D,Christine Gregoire,270,270,270
1261,Potlatch,Governor,absentee,D,Christine Gregoire,14,14,14
1271,Satsop,Governor,absentee,D,Christine Gregoire,53,53,53
1281,Skokomish,Governor,absentee,D,Christine Gregoire,82,82,82
3041,Southside,Governor,absentee,D,Christine Gregoire,186,186,186
3061,Timberlake,Governor,absentee,D,Christine Gregoire,212,212,214
1301,Union,Governor,absentee,D,Christine Gregoire,348,348,350
1311,Victor,Governor,absentee,D,Christine Gregoire,125,125,125
1321,Westside,Governor,absentee,D,Christine Gregoire,44,44,44
2011,Shelton 01,Governor,absentee,D,Christine Gregoire,19,19,19
2021,Shelton 02,Governor,absentee,D,Christine Gregoire,31,31,31
2031,Shelton 03,Governor,absentee,D,Christine Gregoire,44,44,44
2041,Shelton 04,Governor,absentee,D,Christine Gregoire,38,38,38
2051,Shelton 05,Governor,absentee,D,Christine Gregoire,66,66,66
2061,Shelton 06,Governor,absentee,D,Christine Gregoire,22,22,22
2071,Shelton 07,Governor,absentee,D,Christine Gregoire,61,61,61
2081,Shelton 08,Governor,absentee,D,Christine Gregoire,27,27,28
2091,Shelton 09,Governor,absentee,D,Christine Gregoire,30,30,30
2101,Shelton 10,Governor,absentee,D,Christine Gregoire,40,40,40
2111,Shelton 11,Governor,absentee,D,Christine Gregoire,50,50,50
2121,Shelton 12,Governor,absentee,D,Christine Gregoire,32,32,32
2131,Shelton 13,Governor,absentee,D,Christine Gregoire,98,98,98
2141,Shelton 14,Governor,absentee,D,Christine Gregoire,52,52,52
2151,Shelton 15,Governor,absentee,D,Christine Gregoire,34,34,34
2161,Shelton 16,Governor,absentee,D,Christine Gregoire,226,226,226
985,Service Voters,Governor,vbm,D,Christine Gregoire,4,4,4
101,Airport,Governor,,D,Christine Gregoire,350,350,350
102,Allyn,Governor,,D,Christine Gregoire,320,320,320
103,Arcadia,Governor,,D,Christine Gregoire,192,192,192
307,Bayshore,Governor,,D,Christine Gregoire,243,243,243
308,Belfair 1,Governor,,D,Christine Gregoire,422,422,422
104,Belfair 2,Governor,,D,Christine Gregoire,221,221,221
105,Belfair 3,Governor,,D,Christine Gregoire,243,243,243
106,Belfair 4,Governor,,D,Christine Gregoire,336,336,336
107,Belfair 5,Governor,,D,Christine Gregoire,142,142,142
301,Belfair 6,Governor,,D,Christine Gregoire,175,175,175
108,Capitol Hill,Governor,,D,Christine Gregoire,191,191,191
109,Cloquallum,Governor,,D,Christine Gregoire,210,209,211
305,Cushman,Governor,,D,Christine Gregoire,394,394,394
110,Dayton,Governor,,D,Christine Gregoire,191,191,191
302,Dewatto,Governor,,D,Christine Gregoire,278,278,278
111,Eells,Governor,,D,Christine Gregoire,126,126,126
112,Grapeview,Governor,,D,Christine Gregoire,432,432,432
113,Harstine,Governor,,D,Christine Gregoire,404,404,404
114,Hoodsport,Governor,,D,Christine Gregoire,124,124,125
115,Isabella,Governor,,D,Christine Gregoire,230,230,230
116,Kamilche 1,Governor,,D,Christine Gregoire,402,402,402
117,Kamilche 2,Governor,,D,Christine Gregoire,449,449,449
118,Lake,Governor,,D,Christine Gregoire,303,303,303
309,Lakeland,Governor,,D,Christine Gregoire,231,231,231
119,Lilliwaup,Governor,,D,Christine Gregoire,200,200,200
120,Matlock,Governor,,D,Christine Gregoire,112,112,112
121,Mill Creek,Governor,,D,Christine Gregoire,188,189,189
122,Miller,Governor,,D,Christine Gregoire,305,305,305
123,Mt View,Governor,,D,Christine Gregoire,146,146,146
124,Northside,Governor,,D,Christine Gregoire,399,399,400
303,Oakland,Governor,,D,Christine Gregoire,81,81,81
125,Pickering,Governor,,D,Christine Gregoire,401,401,401
126,Potlatch,Governor,,D,Christine Gregoire,22,22,22
127,Satsop,Governor,,D,Christine Gregoire,85,85,85
128,Skokomish,Governor,,D,Christine Gregoire,181,181,181
304,Southside,Governor,,D,Christine Gregoire,319,320,320
129,Tahuya,Governor,,D,Christine Gregoire,258,258,258
306,Timberlake,Governor,,D,Christine Gregoire,300,300,302
130,Union,Governor,,D,Christine Gregoire,462,462,464
131,Victor,Governor,,D,Christine Gregoire,164,164,164
132,Westside,Governor,,D,Christine Gregoire,85,85,85
201,Shelton 01,Governor,,D,Christine Gregoire,32,32,32
202,Shelton 02,Governor,,D,Christine Gregoire,54,54,54
203,Shelton 03,Governor,,D,Christine Gregoire,69,69,69
204,Shelton 04,Governor,,D,Christine Gregoire,78,78,78
205,Shelton 05,Governor,,D,Christine Gregoire,129,129,129
206,Shelton 06,Governor,,D,Christine Gregoire,41,41,41
207,Shelton 07,Governor,,D,Christine Gregoire,115,115,115
208,Shelton 08,Governor,,D,Christine Gregoire,60,60,61
209,Shelton 09,Governor,,D,Christine Gregoire,56,56,56
210,Shelton 10,Governor,,D,Christine Gregoire,76,76,76
211,Shelton 11,Governor,,D,Christine Gregoire,84,84,84
212,Shelton 12,Governor,,D,Christine Gregoire,49,49,49
213,Shelton 13,Governor,,D,Christine Gregoire,159,159,159
214,Shelton 14,Governor,,D,Christine Gregoire,97,97,97
215,Shelton 15,Governor,,D,Christine Gregoire,53,53,53
216,Shelton 16,Governor,,D,Christine Gregoire,314,314,314
985,Service Voters,Governor,,D,Christine Gregoire,4,4,4
MASON WA,MASON WA,Governor,,D,Christine Gregoire,11787,11788,11797
number,name,office,type,party,candidate,total,machine,hand
1012,Airport,Governor,poll,R,Dino Rossi,174,174,174
1022,Allyn,Governor,poll,R,Dino Rossi,92,89,89
1032,Arcadia,Governor,poll,R,Dino Rossi,54,54,54
3072,Bayshore,Governor,poll,R,Dino Rossi,92,92,92
3082,Belfair 1,Governor,poll,R,Dino Rossi,151,151,151
1042,Belfair 2,Governor,poll,R,Dino Rossi,99,99,99
1052,Belfair 3,Governor,poll,R,Dino Rossi,115,115,115
1062,Belfair 4,Governor,poll,R,Dino Rossi,173,173,173
1072,Belfair 5,Governor,poll,R,Dino Rossi,80,80,80
3012,Belfair 6,Governor,poll,R,Dino Rossi,96,96,96
1082,Capitol Hill,Governor,poll,R,Dino Rossi,94,94,94
1092,Cloquallum,Governor,poll,R,Dino Rossi,87,87,87
3052,Cushman,Governor,poll,R,Dino Rossi,83,83,83
1102,Dayton,Governor,poll,R,Dino Rossi,90,90,90
3023,Dewatto,Governor,vbm,R,Dino Rossi,233,233,234
1112,Eells,Governor,poll,R,Dino Rossi,57,57,57
1122,Grapeview,Governor,poll,R,Dino Rossi,153,153,153
