number,name,type,district,party,candidate,total,,
1012,Airport,poll,35,,Registered,995,,
1022,Allyn,poll,35,,Registered,894,,
1032,Arcadia,poll,35,,Registered,461,,
3072,Bayshore,poll,35,,Registered,705,,
3082,Belfair 1,poll,35,,Registered,1139,,
1042,Belfair 2,poll,35,,Registered,624,,
1052,Belfair 3,poll,35,,Registered,691,,
1062,Belfair 4,poll,35,,Registered,1014,,
1072,Belfair 5,poll,35,,Registered,435,,
3012,Belfair 6,poll,35,,Registered,549,,
1082,Capitol Hill,poll,35,,Registered,559,,
1092,Cloquallum,poll,35,,Registered,545,,
3052,Cushman,poll,35,,Registered,885,,
1102,Dayton,poll,35,,Registered,515,,
3023,Dewatto,vbm,35,,Registered,699,,
1112,Eells,poll,35,,Registered,335,,
1122,Grapeview,poll,35,,Registered,1070,,
1132,Harstine,poll,35,,Registered,949,,
1142,Hoodsport,poll,35,,Registered,684,,
1152,Isabella,poll,35,,Registered,626,,
1162,Kamilche 1,poll,35,,Registered,919,,
1172,Kamilche 2,poll,35,,Registered,1092,,
1183,Lake,vbm,35,,Registered,739,,
3092,Lakeland,poll,35,,Registered,621,,
1193,Lilliwaup,vbm,35,,Registered,486,,
1202,Matlock,poll,35,,Registered,327,,
1212,Mill Creek,poll,35,,Registered,557,,
1222,Miller,poll,35,,Registered,808,,
1232,Mt View,poll,35,,Registered,393,,
1242,Northside,poll,35,,Registered,935,,
3033,Oakland,vbm,35,,Registered,249,,
1252,Pickering,poll,35,,Registered,1067,,
1262,Potlatch,poll,35,,Registered,52,,
1272,Satsop,poll,35,,Registered,249,,
1282,Skokomish,poll,35,,Registered,329,,
3042,Southside,poll,35,,Registered,957,,
1293,Tahuya,vbm,35,,Registered,628,,
3062,Timberlake,poll,35,,Registered,789,,
1302,Union,poll,35,,Registered,1129,,
1312,Victor,poll,35,,Registered,443,,
1322,Westside,poll,35,,Registered,265,,
2012,Shelton 01,poll,35,,Registered,77,,
2022,Shelton 02,poll,35,,Registered,130,,
2032,Shelton 03,poll,35,,Registered,223,,
2042,Shelton 04,poll,35,,Registered,191,,
2052,Shelton 05,poll,35,,Registered,321,,
2062,Shelton 06,poll,35,,Registered,140,,
2072,Shelton 07,poll,35,,Registered,330,,
2082,Shelton 08,poll,35,,Registered,172,,
2092,Shelton 09,poll,35,,Registered,152,,
2102,Shelton 10,poll,35,,Registered,182,,
2112,Shelton 11,poll,35,,Registered,236,,
2122,Shelton 12,poll,35,,Registered,135,,
2132,Shelton 13,poll,35,,Registered,454,,
2142,Shelton 14,poll,35,,Registered,253,,
2152,Shelton 15,poll,35,,Registered,150,,
2162,Shelton 16,poll,35,,Registered,814,,
1011,Airport,absentee,35,,Registered,0,,
1021,Allyn,absentee,35,,Registered,0,,
1031,Arcadia,absentee,35,,Registered,0,,
3071,Bayshore,absentee,35,,Registered,0,,
3081,Belfair 1,absentee,35,,Registered,0,,
1041,Belfair 2,absentee,35,,Registered,0,,
1051,Belfair 3,absentee,35,,Registered,0,,
1061,Belfair 4,absentee,35,,Registered,0,,
1071,Belfair 5,absentee,35,,Registered,0,,
3011,Belfair 6,absentee,35,,Registered,0,,
1081,Capitol Hill,absentee,35,,Registered,0,,
1091,Cloquallum,absentee,35,,Registered,0,,
3051,Cushman,absentee,35,,Registered,0,,
1101,Dayton,absentee,35,,Registered,0,,
1111,Eells,absentee,35,,Registered,0,,
1121,Grapeview,absentee,35,,Registered,0,,
1131,Harstine,absentee,35,,Registered,0,,
1141,Hoodsport,absentee,35,,Registered,0,,
1151,Isabella,absentee,35,,Registered,0,,
1161,Kamilche 1,absentee,35,,Registered,0,,
1171,Kamilche 2,absentee,35,,Registered,0,,
3091,Lakeland,absentee,35,,Registered,0,,
1201,Matlock,absentee,35,,Registered,0,,
1211,Mill Creek,absentee,35,,Registered,0,,
1221,Miller,absentee,35,,Registered,0,,
1231,Mt View,absentee,35,,Registered,0,,
1241,Northside,absentee,35,,Registered,0,,
1251,Pickering,absentee,35,,Registered,0,,
1261,Potlatch,absentee,35,,Registered,0,,
1271,Satsop,absentee,35,,Registered,0,,
1281,Skokomish,absentee,35,,Registered,0,,
3041,Southside,absentee,35,,Registered,0,,
3061,Timberlake,absentee,35,,Registered,0,,
1301,Union,absentee,35,,Registered,0,,
1311,Victor,absentee,35,,Registered,0,,
1321,Westside,absentee,35,,Registered,0,,
2011,Shelton 01,absentee,35,,Registered,0,,
2021,Shelton 02,absentee,35,,Registered,0,,
2031,Shelton 03,absentee,35,,Registered,0,,
2041,Shelton 04,absentee,35,,Registered,0,,
2051,Shelton 05,absentee,35,,Registered,0,,
2061,Shelton 06,absentee,35,,Registered,0,,
2071,Shelton 07,absentee,35,,Registered,0,,
2081,Shelton 08,absentee,35,,Registered,0,,
2091,Shelton 09,absentee,35,,Registered,0,,
2101,Shelton 10,absentee,35,,Registered,0,,
2111,Shelton 11,absentee,35,,Registered,0,,
2121,Shelton 12,absentee,35,,Registered,0,,
2131,Shelton 13,absentee,35,,Registered,0,,
2141,Shelton 14,absentee,35,,Registered,0,,
2151,Shelton 15,absentee,35,,Registered,0,,
2161,Shelton 16,absentee,35,,Registered,0,,
985,Service Voters,vbm,,,Registered,15,,
101,Airport,,,,Registered,995,,
102,Allyn,,,,Registered,894,,
103,Arcadia,,,,Registered,461,,
307,Bayshore,,,,Registered,705,,
308,Belfair 1,,,,Registered,1139,,
104,Belfair 2,,,,Registered,624,,
105,Belfair 3,,,,Registered,691,,
106,Belfair 4,,,,Registered,1014,,
107,Belfair 5,,,,Registered,435,,
301,Belfair 6,,,,Registered,549,,
108,Capitol Hill,,,,Registered,559,,
109,Cloquallum,,,,Registered,545,,
305,Cushman,,,,Registered,885,,
110,Dayton,,,,Registered,515,,
302,Dewatto,,,,Registered,699,,
111,Eells,,,,Registered,335,,
112,Grapeview,,,,Registered,1070,,
113,Harstine,,,,Registered,949,,
114,Hoodsport,,,,Registered,684,,
115,Isabella,,,,Registered,626,,
116,Kamilche 1,,,,Registered,919,,
117,Kamilche 2,,,,Registered,1092,,
118,Lake,,,,Registered,739,,
309,Lakeland,,,,Registered,621,,
119,Lilliwaup,,,,Registered,486,,
120,Matlock,,,,Registered,327,,
121,Mill Creek,,,,Registered,557,,
122,Miller,,,,Registered,808,,
123,Mt View,,,,Registered,393,,
124,Northside,,,,Registered,935,,
303,Oakland,,,,Registered,249,,
125,Pickering,,,,Registered,1067,,
126,Potlatch,,,,Registered,52,,
127,Satsop,,,,Registered,249,,
128,Skokomish,,,,Registered,329,,
304,Southside,,,,Registered,957,,
129,Tahuya,,,,Registered,628,,
306,Timberlake,,,,Registered,789,,
130,Union,,,,Registered,1129,,
131,Victor,,,,Registered,443,,
132,Westside,,,,Registered,265,,
201,Shelton 01,,,,Registered,77,,
202,Shelton 02,,,,Registered,130,,
203,Shelton 03,,,,Registered,223,,
204,Shelton 04,,,,Registered,191,,
205,Shelton 05,,,,Registered,321,,
206,Shelton 06,,,,Registered,140,,
207,Shelton 07,,,,Registered,330,,
208,Shelton 08,,,,Registered,172,,
209,Shelton 09,,,,Registered,152,,
210,Shelton 10,,,,Registered,182,,
211,Shelton 11,,,,Registered,236,,
212,Shelton 12,,,,Registered,135,,
213,Shelton 13,,,,Registered,454,,
214,Shelton 14,,,,Registered,253,,
215,Shelton 15,,,,Registered,150,,
216,Shelton 16,,,,Registered,814,,
985,Service Voters,,,,Registered,15,,
MASON WA,MASON WA,,,,Registered,31383,,
number,name,office,type,party,candidate,total,machine,hand
1012,Airport,,poll,,Ballots,310,310,310
1022,Allyn,,poll,,Ballots,159,150,150
1032,Arcadia,,poll,,Ballots,122,122,122
3072,Bayshore,,poll,,Ballots,173,173,173
3082,Belfair 1,,poll,,Ballots,294,294,294
1042,Belfair 2,,poll,,Ballots,185,185,185
1052,Belfair 3,,poll,,Ballots,208,208,208
1062,Belfair 4,,poll,,Ballots,310,310,310
1072,Belfair 5,,poll,,Ballots,154,154,154
3012,Belfair 6,,poll,,Ballots,170,170,170
1082,Capitol Hill,,poll,,Ballots,166,166,166
1092,Cloquallum,,poll,,Ballots,169,169,169
3052,Cushman,,poll,,Ballots,176,176,176
1102,Dayton,,poll,,Ballots,188,188,188
3023,Dewatto,,vbm,,Ballots,547,547,547
1112,Eells,,poll,,Ballots,121,121,121
1122,Grapeview,,poll,,Ballots,300,300,300
1132,Harstine,,poll,,Ballots,301,301,301
1142,Hoodsport,,poll,,Ballots,99,99,99
1152,Isabella,,poll,,Ballots,157,157,157
1162,Kamilche 1,,poll,,Ballots,283,283,283
1172,Kamilche 2,,poll,,Ballots,335,335,335
1183,Lake,,vbm,,Ballots,640,640,640
3092,Lakeland,,poll,,Ballots,147,147,147
1193,Lilliwaup,,vbm,,Ballots,435,435,435
1202,Matlock,,poll,,Ballots,150,150,150
1212,Mill Creek,,poll,,Ballots,162,162,162
1222,Miller,,poll,,Ballots,236,236,236
1232,Mt View,,poll,,Ballots,127,127,127
1242,Northside,,poll,,Ballots,261,261,261
3033,Oakland,,vbm,,Ballots,203,203,203
1252,Pickering,,poll,,Ballots,289,289,289
1262,Potlatch,,poll,,Ballots,15,15,15
1272,Satsop,,poll,,Ballots,63,63,63
1282,Skokomish,,poll,,Ballots,128,128,128
3042,Southside,,poll,,Ballots,337,337,337
1293,Tahuya,,vbm,,Ballots,526,526,526
3062,Timberlake,,poll,,Ballots,206,206,206
1302,Union,,poll,,Ballots,258,258,258
1312,Victor,,poll,,Ballots,111,111,111
1322,Westside,,poll,,Ballots,96,96,96
2012,Shelton 01,,poll,,Ballots,24,24,24
2022,Shelton 02,,poll,,Ballots,47,47,47
2032,Shelton 03,,poll,,Ballots,64,64,64
2042,Shelton 04,,poll,,Ballots,70,70,70
2052,Shelton 05,,poll,,Ballots,115,115,115
2062,Shelton 06,,poll,,Ballots,41,41,41
2072,Shelton 07,,poll,,Ballots,134,134,134
2082,Shelton 08,,poll,,Ballots,60,60,60
2092,Shelton 09,,poll,,Ballots,58,58,58
2102,Shelton 10,,poll,,Ballots,62,63,63
2112,Shelton 11,,poll,,Ballots,76,76,76
2122,Shelton 12,,poll,,Ballots,33,33,33
2132,Shelton 13,,poll,,Ballots,135,135,135
2142,Shelton 14,,poll,,Ballots,94,94,94
2152,Shelton 15,,poll,,Ballots,54,54,54
2162,Shelton 16,,poll,,Ballots,209,209,209
1011,Airport,,absentee,,Ballots,503,503,503
1021,Allyn,,absentee,,Ballots,642,651,651
1031,Arcadia,,absentee,,Ballots,275,275,275
3071,Bayshore,,absentee,,Ballots,371,371,371
3081,Belfair 1,,absentee,,Ballots,681,681,681
1041,Belfair 2,,absentee,,Ballots,326,326,326
1051,Belfair 3,,absentee,,Ballots,386,388,388
1061,Belfair 4,,absentee,,Ballots,517,517,517
1071,Belfair 5,,absentee,,Ballots,207,207,207
3011,Belfair 6,,absentee,,Ballots,252,252,252
1081,Capitol Hill,,absentee,,Ballots,283,283,283
1091,Cloquallum,,absentee,,Ballots,292,292,292
3051,Cushman,,absentee,,Ballots,592,592,592
1101,Dayton,,absentee,,Ballots,229,229,229
1111,Eells,,absentee,,Ballots,146,146,146
1121,Grapeview,,absentee,,Ballots,633,633,633
1131,Harstine,,absentee,,Ballots,554,554,554
1141,Hoodsport,,absentee,,Ballots,229,229,229
1151,Isabella,,absentee,,Ballots,345,345,345
1161,Kamilche 1,,absentee,,Ballots,448,448,448
1171,Kamilche 2,,absentee,,Ballots,591,591,591
3091,Lakeland,,absentee,,Ballots,406,407,407
1201,Matlock,,absentee,,Ballots,126,126,126
1211,Mill Creek,,absentee,,Ballots,279,279,279
1221,Miller,,absentee,,Ballots,420,420,420
1231,Mt View,,absentee,,Ballots,192,192,192
1241,Northside,,absentee,,Ballots,556,556,556
1251,Pickering,,absentee,,Ballots,619,619,619
