County,Precinct,office,district,party,candidate,canvass,machine,hand
Whatcom,Bellingham 11,Governor,,D,Christine Gregoire,573,575,575
Whatcom,Bellingham 31,Governor,,D,Christine Gregoire,798,798,800
Whatcom,Bellingham 61,Governor,,D,Christine Gregoire,424,424,424
Whatcom,Bellingham 71,Governor,,D,Christine Gregoire,737,737,737
Whatcom,Bellingham 91,Governor,,D,Christine Gregoire,93,93,93
Whatcom,Bellingham 111,Governor,,D,Christine Gregoire,484,484,484
Whatcom,Bellingham 131,Governor,,D,Christine Gregoire,671,671,671
Whatcom,Bellingham 12,Governor,,D,Christine Gregoire,569,569,569
Whatcom,Bellingham 22,Governor,,D,Christine Gregoire,495,495,495
Whatcom,Bellingham 32,Governor,,D,Christine Gregoire,474,474,474
Whatcom,Bellingham 42,Governor,,D,Christine Gregoire,401,401,401
Whatcom,Bellingham 52,Governor,,D,Christine Gregoire,26,26,26
Whatcom,Bellingham 92,Governor,,D,Christine Gregoire,784,784,784
Whatcom,Bellingham 132,Governor,,D,Christine Gregoire,335,335,335
Whatcom,Bellingham 152,Governor,,D,Christine Gregoire,822,822,823
Whatcom,Bellingham 13,Governor,,D,Christine Gregoire,552,552,553
Whatcom,Bellingham 43,Governor,,D,Christine Gregoire,485,485,485
Whatcom,Bellingham 53,Governor,,D,Christine Gregoire,276,276,276
Whatcom,Bellingham 63,Governor,,D,Christine Gregoire,592,592,592
Whatcom,Bellingham 93,Governor,,D,Christine Gregoire,504,504,504
Whatcom,Bellingham 103,Governor,,D,Christine Gregoire,368,368,368
Whatcom,Bellingham 123,Governor,,D,Christine Gregoire,611,611,611
Whatcom,Bellingham 143,Governor,,D,Christine Gregoire,301,301,301
Whatcom,Bellingham 14,Governor,,D,Christine Gregoire,405,405,405
Whatcom,Bellingham 24,Governor,,D,Christine Gregoire,484,484,484
Whatcom,Bellingham 44,Governor,,D,Christine Gregoire,296,296,296
Whatcom,Bellingham 54,Governor,,D,Christine Gregoire,674,675,675
Whatcom,Bellingham 64,Governor,,D,Christine Gregoire,546,546,546
Whatcom,Bellingham 94,Governor,,D,Christine Gregoire,265,265,265
Whatcom,Bellingham 114,Governor,,D,Christine Gregoire,405,404,405
Whatcom,Bellingham 134,Governor,,D,Christine Gregoire,213,213,213
Whatcom,Bellingham 15,Governor,,D,Christine Gregoire,497,496,497
Whatcom,Bellingham 25,Governor,,D,Christine Gregoire,433,433,433
Whatcom,Bellingham 35,Governor,,D,Christine Gregoire,494,494,494
Whatcom,Bellingham 45,Governor,,D,Christine Gregoire,549,549,549
Whatcom,Bellingham 55,Governor,,D,Christine Gregoire,469,469,470
Whatcom,Bellingham 65,Governor,,D,Christine Gregoire,418,418,417
Whatcom,Bellingham 95,Governor,,D,Christine Gregoire,500,500,500
Whatcom,Bellingham 115,Governor,,D,Christine Gregoire,124,124,124
Whatcom,Bellingham 16,Governor,,D,Christine Gregoire,617,617,617
Whatcom,Bellingham 26,Governor,,D,Christine Gregoire,589,589,589
Whatcom,Bellingham 36,Governor,,D,Christine Gregoire,484,483,484
