,precinct,office,district,party,candidate,machine,hand
7002,Anglin,,7,,Ballots,86,86
7003,Beeman,,7,,Ballots,99,99
7004,Bodie,,7,,Ballots,43,43
7005,Bonaparte,,7,,Ballots,73,73
7009,Chesaw,,7,,Ballots,62,62
7010,Conconully rural,,7,,Ballots,58,58
7011,Duck Lake,,7,,Ballots,48,48
7013,Eastlake,,7,,Ballots,69,69
7015,Ellisforde,,7,,Ballots,82,82
7017,Elmway,,7,,Ballots,115,115
7018,Havillah,,7,,Ballots,126,126
7019,Loomis,,7,,Ballots,101,101
7023,Mission,,7,,Ballots,67,67
7024,Molson,,7,,Ballots,78,78
7027,Nespelem rural,,7,,Ballots,39,39
7028,Nighthawk,,7,,Ballots,25,25
7029,North Omak,,7,,Ballots,69,69
7031,Pine Creek,,7,,Ballots,46,46
7033,Riverside rural,,7,,Ballots,100,100
7034,San Poil,,7,,Ballots,116,116
7035,South Oroville,,7,,Ballots,68,68
7037,Tonasket rural,,7,,Ballots,46,46
7038,Tunk Creek,,7,,Ballots,95,95
7041,Wauconda,,7,,Ballots,76,76
7042,Westlake,,7,,Ballots,46,46
7043,Whitestone,,7,,Ballots,62,62
7048,Aeneas,,7,,Ballots,71,71
7050,Crumbacher,,7,,Ballots,111,111
7053,Kipling,,7,,Ballots,53,53
7054,Orchard,,7,,Ballots,59,59
7055,Toroda,,7,,Ballots,74,74
7059,Copple,,7,,Ballots,77,77
7061,Engh,,7,,Ballots,89,89
7063,Janis,,7,,Ballots,65,65
7064,Leese,,7,,Ballots,36,36
7068,Owhi,,7,,Ballots,60,60
7069,Palmer Lake,,7,,Ballots,57,57
7070,Pine Cone,,7,,Ballots,52,52
7072,Sand Flat,,7,,Ballots,100,100
7074,Sourdough,,7,,Ballots,97,97
7077,Wannacut,,7,,Ballots,85,85
7079,Canal,,7,,Ballots,64,64
7086,Greenacres,,7,,Ballots,45,45
7087,Johnson Creek,,7,,Ballots,59,59
7089,Lime Belt,,7,,Ballots,40,40
7095,Boundary,,7,,Ballots,97,97
7096,Buckhorn,,7,,Ballots,38,38
7097,Eder,,7,,Ballots,83,83
7098,Horseshoe Lake,,7,,Ballots,70,70
7099,Lake Andrews,,7,,Ballots,68,68
7100,Myers Creek,,7,,Ballots,62,62
7930,Nespelem city 104,,7,,Ballots,73,73
7401,Okanogan city 1-105,,7,,Ballots,74,74
7402,Okanogan city 2-106,,7,,Ballots,71,71
7403,Okanogan city 3-107,,7,,Ballots,66,66
7404,Okanogan city 4-108,,7,,Ballots,92,92
7301,Omak city 1-109,,7,,Ballots,54,54
7302,Omak city 2-110,,7,,Ballots,114,114
7303,Omak city 3-111,,7,,Ballots,58,58
7304,Omak city 4-112,,7,,Ballots,64,64
7305,Omak city 5-113,,7,,Ballots,96,96
7306,Omak city 6-114,,7,,Ballots,72,73
7307,Omak city 7-115,,7,,Ballots,79,79
7308,Omak city 8-116,,7,,Ballots,48,48
7309,Omak city 9-117,,7,,Ballots,114,114
7501,Oroville city 1-118,,7,,Ballots,75,75
7502,Oroville city 2-119,,7,,Ballots,43,43
7503,Oroville city 3-120,,7,,Ballots,59,59
7601,Tonasket city 1-121,,7,,Ballots,60,60
7602,Tonasket city 2-122,,7,,Ballots,58,58
7603,Tonasket city 3-123,,7,,Ballots,37,37
7910,Conconully City-131,,7,,Ballots,105,105
7950,Riverside city-134,,7,,Ballots,135,135
7138,Shoreline,,7,,Ballots,68,68
7139,Similkameen,,7,,Ballots,42,42
7140,Teal Lake,,7,,Ballots,55,55
7141,Tonasket Creek,,7,,Ballots,68,68
7504,Oroville city 4-142,,7,,Ballots,59,59
7505,Oroville city 5-143,,7,,Ballots,90,90
7506,Oroville city 6-144,,7,,Ballots,38,38
7507,Oroville city 7-145,,7,,Ballots,40,40
7508,Oroville city 8-146,,7,,Ballots,41,41
7509,Oroville city 9-147,,7,,Ballots,60,60
7510,Oroville city 10-148,,7,,Ballots,71,71
7149,Jennings Loop,,7,,Ballots,30,30
7150,Blue Lake,,7,,Ballots,83,83
7151,Aeneas Creek,,12,,Ballots,61,61
7152,Aeneas Lake,,12,,Ballots,90,90
7153,Antoine Creek,,12,,Ballots,41,41
7154,Antoine Peak,,12,,Ballots,43,43
7155,Cape Labelle,,12,,Ballots,49,49
7156,Cayuse Mtn,,12,,Ballots,53,53
7157,Chewiliken,,12,,Ballots,40,40
7158,Duffy Mtn,,12,,Ballots,62,62
7159,Frontage,,12,,Ballots,23,23
7160,Gusty Ridge,,12,,Ballots,59,59
7161,Longanecker,,12,,Ballots,78,78
7162,North Tonasket,,12,,Ballots,89,89
7163,Pickens Mtn,,12,,Ballots,58,58
7164,Ranches,,12,,Ballots,45,45
7165,Siwash Creek,,12,,Ballots,70,70
7166,Spectacle Lake,,12,,Ballots,67,67
7167,Highway,,12,,Ballots,60,60
7168,Whiskey Mtn,,12,,Ballots,36,36
7169,Yarnell,,12,,Ballots,45,45
7604,Tonasket city 4-170,,12,,Ballots,67,67
7605,Tonasket city 5-171,,12,,Ballots,75,75
7606,Tonasket city 6-172,,12,,Ballots,34,34
7607,Tonasket city 7-173,,12,,Ballots,57,57
7185,Coleman Butte,,12,,Ballots,88,88
7186,Aston,,12,,Ballots,67,67
7187,West River,,12,,Ballots,57,57
7188,Omak River,,12,,Ballots,70,70
7189,Cherokee,,12,,Ballots,63,63
7190,Nichols,,12,,Ballots,79,79
7191,Lone Pine,,12,,Ballots,63,63
7192,Omak Mtn,,12,,Ballots,54,54
7194,Fiker,,12,,Ballots,73,73
7195,Ross Canyon,,12,,Ballots,73,73
7196,Hendrick,,12,,Ballots,110,110
7310,Omak city 10-202,,12,,Ballots,86,86
7311,Omak city 11-203,,12,,Ballots,91,91
7312,Omak city 12-204,,12,,Ballots,85,85
7313,Omak city 13-205,,12,,Ballots,59,59
7314,Omak city 14-206,,12,,Ballots,46,46
7315,Omak city 15-207,,12,,Ballots,72,72
7316,Omak city 16-208,,12,,Ballots,72,72
7317,Omak city 17-209,,12,,Ballots,90,90
7318,Omak city 18-210,,12,,Ballots,50,50
7319,Omak city 19-211,,12,,Ballots,56,56
7320,Omak city 20-212,,12,,Ballots,67,67
7321,Omak city 21-213,,12,,Ballots,62,62
7322,Omak city 22-214,,12,,Ballots,75,75
7323,Omak city 23-215,,12,,Ballots,48,48
7324,Omak city 24-216,,12,,Ballots,52,52
7405,Okanogan city 5-217,,12,,Ballots,94,94
7406,Okanogan city 6-218,,12,,Ballots,85,85
7407,Okanogan city 7-219,,12,,Ballots,44,44
7408,Okanogan city 8-220,,12,,Ballots,73,73
7409,Okanogan city 9-221,,12,,Ballots,81,81
7410,Okanogan city 10-222,,12,,Ballots,85,85
7411,Okanogan city 11-223,,12,,Ballots,89,89
7412,Okanogan city 12-224,,12,,Ballots,64,64
12001,Alma,,12,,Ballots,67,67
12006,Boston,,12,,Ballots,135,135
12007,Brewster rural,,12,,Ballots,83,83
12008,Carlton,,12,,Ballots,70,70
12012,Duley Lake,,12,,Ballots,53,53
12014,Eastside,,12,,Ballots,106,106
12016,Elmerton rural,,12,,Ballots,111,111
12020,Malott,,12,,Ballots,133,132
12021,Mazama,,12,,Ballots,153,153
12022,Methow,,12,,Ballots,92,92
12025,Monse 1,,12,,Ballots,86,86
12026,Monse 2,,12,,Ballots,21,21
12030,Pateros rural,,12,,Ballots,74,74
12032,Pogue,,12,,Ballots,107,107
12036,Spring Coulee,,12,,Ballots,105,105
12039,Twisp rural,,12,,Ballots,94,94
12040,Wolf Creek,,12,,Ballots,77,77
12044,Winthrop rural,,12,,Ballots,120,120
12045,Chiliwist,,12,,Ballots,89,89
12046,Monse 3,,12,,Ballots,55,55
12047,Okanogan rural,,12,,Ballots,63,63
12049,Columbia,,12,,Ballots,55,55
12051,Disautel,,12,,Ballots,76,76
12052,Hudson,,12,,Ballots,46,46
12056,Beaver Creek,,12,,Ballots,70,70
12057,Black Canyon,,12,,Ballots,113,113
12058,Buffalo Lake,,12,,Ballots,53,53
12060,Edelweiss,,12,,Ballots,108,108
12062,Finley Canyon,,12,,Ballots,108,108
12065,Libby Creek,,12,,Ballots,138,138
12066,McGinnis Lake,,12,,Ballots,39,39
12067,North Star,,12,,Ballots,38,38
12071,Poorman Creek,,12,,Ballots,102,102
12075,Twin Lakes,,12,,Ballots,100,100
12076,Valley,,12,,Ballots,73,73
12078,West Chewuch,,12,,Ballots,105,105
12081,Airport,,12,,Ballots,81,81
12082,Balky Hill,,12,,Ballots,57,57
12083,Bridge Creek,,12,,Ballots,79,79
12084,Crossroads,,12,,Ballots,115,115
12085,Davis Lake,,12,,Ballots,96,96
12088,Lewis Butte,,12,,Ballots,105,105
12090,McClure Mt,,12,,Ballots,138,138
12091,Moccasin Lake,,12,,Ballots,112,112
12092,North Malott,,12,,Ballots,119,119
12093,Patterson Lake,,12,,Ballots,119,119
12094,Pearrygin Lake,,12,,Ballots,75,75
12701,Coulee Dam city 1-101,,12,,Ballots,122,122
12702,Coulee Dam city 2-102,,12,,Ballots,111,111
12703,Coulee Dam city 3-103,,12,,Ballots,82,82
12801,Brewster city 1-124,,12,,Ballots,57,57
12802,Brewster city 2-125,,12,,Ballots,86,86
12941,Pateros city 1-126,,12,,Ballots,65,65
12942,Pateros city 2-127,,12,,Ballots,69,69
12961,Twisp city 1-128,,12,,Ballots,129,129
12962,Twisp city 2-129,,12,,Ballots,131,131
12971,Winthrop city 1-130,,12,,Ballots,138,138
12704,Coulee Dam city 4-132,,12,,Ballots,85,85
12920,Elmer City-133,,12,,Ballots,121,121
12963,Twisp city 3-135,,12,,Ballots,130,130
12964,Twisp city 4-136,,12,,Ballots,74,74
12972,Winthrop city 2-137,,12,,Ballots,92,92
12174,Leecher Mtn,,12,,Ballots,94,94
12175,Alta Lake,,12,,Ballots,77,77
12176,Starr,,12,,Ballots,53,53
12943,Pateros city 3-177,,12,,Ballots,72,72
12178,Rat Lake,,12,,Ballots,61,61
12179,Brewster flat,,12,,Ballots,71,71
12803,Brewster city 3-180,,12,,Ballots,70,70
12804,Brewster city 4-181,,12,,Ballots,63,63
12805,Brewster city 5-182,,12,,Ballots,68,68
12806,Brewster city 6-183,,12,,Ballots,46,46
12184,Pioneer,,12,,Ballots,69,69
12193,Omak Lake,,12,,Ballots,37,37
12197,Dixon,,12,,Ballots,81,81
12198,Kermel,,12,,Ballots,69,69
12199,Glover,,12,,Ballots,83,83
12200,Fletcher,,12,,Ballots,81,81
12201,Mook,,12,,Ballots,88,88
OKANOGAN WA,OKANOGAN WA,,,,Ballots,16613,16613
,precinct,office,district,party,candidate,machine,hand
7002,Anglin,Governor,,D,Christine Gregoire,19,19
7003,Beeman,Governor,,D,Christine Gregoire,30,30
7004,Bodie,Governor,,D,Christine Gregoire,10,10
7005,Bonaparte,Governor,,D,Christine Gregoire,13,13
7009,Chesaw,Governor,,D,Christine Gregoire,17,17
7010,Conconully rural,Governor,,D,Christine Gregoire,12,12
7011,Duck Lake,Governor,,D,Christine Gregoire,11,11
7013,Eastlake,Governor,,D,Christine Gregoire,19,19
7015,Ellisforde,Governor,,D,Christine Gregoire,15,15
7017,Elmway,Governor,,D,Christine Gregoire,45,45
7018,Havillah,Governor,,D,Christine Gregoire,47,48
7019,Loomis,Governor,,D,Christine Gregoire,29,29
7023,Mission,Governor,,D,Christine Gregoire,29,29
7024,Molson,Governor,,D,Christine Gregoire,24,24
7027,Nespelem rural,Governor,,D,Christine Gregoire,30,30
7028,Nighthawk,Governor,,D,Christine Gregoire,3,3
7029,North Omak,Governor,,D,Christine Gregoire,15,15
7031,Pine Creek,Governor,,D,Christine Gregoire,3,3
7033,Riverside rural,Governor,,D,Christine Gregoire,28,28
7034,San Poil,Governor,,D,Christine Gregoire,48,48
7035,South Oroville,Governor,,D,Christine Gregoire,12,12
7037,Tonasket rural,Governor,,D,Christine Gregoire,13,13
7038,Tunk Creek,Governor,,D,Christine Gregoire,33,33
7041,Wauconda,Governor,,D,Christine Gregoire,20,20
7042,Westlake,Governor,,D,Christine Gregoire,8,8
7043,Whitestone,Governor,,D,Christine Gregoire,20,20
7048,Aeneas,Governor,,D,Christine Gregoire,26,26
7050,Crumbacher,Governor,,D,Christine Gregoire,29,29
7053,Kipling,Governor,,D,Christine Gregoire,10,10
7054,Orchard,Governor,,D,Christine Gregoire,16,16
7055,Toroda,Governor,,D,Christine Gregoire,11,11
7059,Copple,Governor,,D,Christine Gregoire,16,16
7061,Engh,Governor,,D,Christine Gregoire,31,31
7063,Janis,Governor,,D,Christine Gregoire,26,26
7064,Leese,Governor,,D,Christine Gregoire,12,12
7068,Owhi,Governor,,D,Christine Gregoire,45,45
7069,Palmer Lake,Governor,,D,Christine Gregoire,14,14
7070,Pine Cone,Governor,,D,Christine Gregoire,22,22
7072,Sand Flat,Governor,,D,Christine Gregoire,33,33
7074,Sourdough,Governor,,D,Christine Gregoire,31,31
7077,Wannacut,Governor,,D,Christine Gregoire,22,22
7079,Canal,Governor,,D,Christine Gregoire,16,16
7086,Greenacres,Governor,,D,Christine Gregoire,10,10
7087,Johnson Creek,Governor,,D,Christine Gregoire,21,21
7089,Lime Belt,Governor,,D,Christine Gregoire,8,8
7095,Boundary,Governor,,D,Christine Gregoire,26,26
7096,Buckhorn,Governor,,D,Christine Gregoire,12,12
7097,Eder,Governor,,D,Christine Gregoire,23,23
7098,Horseshoe Lake,Governor,,D,Christine Gregoire,20,20
7099,Lake Andrews,Governor,,D,Christine Gregoire,19,19
7100,Myers Creek,Governor,,D,Christine Gregoire,15,15
7930,Nespelem city 104,Governor,,D,Christine Gregoire,55,55
7401,Okanogan city 1-105,Governor,,D,Christine Gregoire,30,30
7402,Okanogan city 2-106,Governor,,D,Christine Gregoire,25,25
7403,Okanogan city 3-107,Governor,,D,Christine Gregoire,17,17
7404,Okanogan city 4-108,Governor,,D,Christine Gregoire,44,44
7301,Omak city 1-109,Governor,,D,Christine Gregoire,20,20
7302,Omak city 2-110,Governor,,D,Christine Gregoire,45,45
7303,Omak city 3-111,Governor,,D,Christine Gregoire,42,42
7304,Omak city 4-112,Governor,,D,Christine Gregoire,18,18
7305,Omak city 5-113,Governor,,D,Christine Gregoire,37,38
7306,Omak city 6-114,Governor,,D,Christine Gregoire,25,25
7307,Omak city 7-115,Governor,,D,Christine Gregoire,33,33
7308,Omak city 8-116,Governor,,D,Christine Gregoire,23,23
7309,Omak city 9-117,Governor,,D,Christine Gregoire,40,40
7501,Oroville city 1-118,Governor,,D,Christine Gregoire,22,22
7502,Oroville city 2-119,Governor,,D,Christine Gregoire,20,20
7503,Oroville city 3-120,Governor,,D,Christine Gregoire,16,16
7601,Tonasket city 1-121,Governor,,D,Christine Gregoire,19,19
7602,Tonasket city 2-122,Governor,,D,Christine Gregoire,29,29
7603,Tonasket city 3-123,Governor,,D,Christine Gregoire,18,18
7910,Conconully City-131,Governor,,D,Christine Gregoire,37,37
7950,Riverside city-134,Governor,,D,Christine Gregoire,36,36
7138,Shoreline,Governor,,D,Christine Gregoire,15,15
7139,Similkameen,Governor,,D,Christine Gregoire,8,8
7140,Teal Lake,Governor,,D,Christine Gregoire,11,11
7141,Tonasket Creek,Governor,,D,Christine Gregoire,19,19
7504,Oroville city 4-142,Governor,,D,Christine Gregoire,21,21
7505,Oroville city 5-143,Governor,,D,Christine Gregoire,27,27
7506,Oroville city 6-144,Governor,,D,Christine Gregoire,13,13
7507,Oroville city 7-145,Governor,,D,Christine Gregoire,14,14
7508,Oroville city 8-146,Governor,,D,Christine Gregoire,10,10
