number,precinct,office,district,party,candidate,total,machine,hand
101,Alder,2,40,,,433,,
102,Alger,2,40,,,344,,
103,Allen,2,40,,,301,,
104,Dunbar,2,40,,,240,,
105,Avon,2,40,,,672,,
107,Sauk,2,40,,,756,,
108,Bay View,2,40,,,494,,
109,Belfast,2,40,,,431,,
110,Big Lake,2,40,,,928,,
111,Birdsview,2,40,,,657,,
113,Bow,2,40,,,815,,
114,Cascade,2,40,,,170,,
115,Cedardale,2,40,,,433,,
116,Clear Lake,2,40,,,720,,
117,Country Club,2,40,,,296,,
118,Conway,2,40,,,311,,
119,Dewey,2,40,,,1132,,
120,Digby,2,40,,,66,,
121,Dodge Valley,2,40,,,253,,
122,Edison,2,40,,,434,,
124,Fir,2,40,,,319,,
125,Fruitdale,2,40,,,1056,,
126,Gear,2,40,,,859,,
127,Guemes,2,40,,,584,,
128,Hamburg,2,40,,,285,,
129,Harmony,2,40,,,483,,
130,Lake Sixteen,2,40,,,355,,
132,Lookout,2,40,,,811,,
133,Mansford,2,40,,,163,,
134,Mapes,2,40,,,311,,
135,March Point,2,40,,,35,,
136,MuMurray West,2,40,,,383,,
137,McRae,2,40,,,666,,
138,McMurray East,2,40,,,148,,
139,Minkler,2,40,,,385,,
140,Montborne,2,40,,,584,,
141,Nookchamps,2,40,,,396,,
144,Skyridge,2,40,,,728,,
145,Prairie,2,40,,,558,,
146,Point Williams,2,40,,,518,,
147,Ridgeway,2,40,,,485,,
148,Rockport,2,40,,,671,,
149,Shelter Bay,2,40,,,768,,
150,Sneeoosh,2,40,,,575,,
151,Sterling,2,40,,,405,,
153,Swinomish,2,40,,,889,,
154,Tingley,2,40,,,423,,
155,Van Fleet,2,40,,,957,,
156,Vedere,2,40,,,504,,
157,Whitney,2,40,,,237,,
158,Rosario,2,40,,,888,,
159,Terrace,2,40,,,1032,,
160,Starbird,2,40,,,569,,
164,Fidalgo 01,2,40,,,805,,
165,Gages,2,40,,,216,,
166,Samish,2,40,,,487,,
167,Collins,2,40,,,106,,
168,Blanchard,2,40,,,653,,
170,View Terrace,2,40,,,9,,
171,Lake Cavanaugh,2,40,,,158,,
172,Little Mountain,2,40,,,293,,
173,Riverbend,2,40,,,40,,
174,Padilla,2,40,,,158,,
176,Fredonia,2,40,,,143,,
201,Anacortes 1,2,40,,,608,,
204,Anacortes 4,2,40,,,624,,
205,Anacortes 5,2,40,,,29,,
206,Anacortes 6,2,40,,,622,,
207,Anacortes 7,2,40,,,1236,,
209,Anacortes 9,2,40,,,628,,
211,Anacortes 11,2,40,,,896,,
217,Anacortes 17,2,40,,,1194,,
220,Anacortes 20,2,40,,,993,,
221,Anacortes 21,2,40,,,1190,,
222,Anacortes 22,2,40,,,787,,
224,Anacortes 24,2,40,,,1280,,
301,Mount Vernon 1,2,40,,,508,,
302,Mount Vernon 2,2,40,,,404,,
303,Mount Vernon 3,2,40,,,846,,
304,Mount Vernon 4,2,40,,,1022,,
305,Mount Vernon 5,2,40,,,79,,
306,Mount Vernon 6,2,40,,,683,,
307,Mount Vernon 7,2,40,,,760,,
308,Mount Vernon 8,2,40,,,1013,,
309,Mount Vernon 9,2,40,,,487,,
310,Mount Vernon 10,2,40,,,614,,
311,Mount Vernon 11,2,40,,,549,,
312,Mount Vernon 12,2,40,,,467,,
314,Mount Vernon 14,2,40,,,1012,,
315,Mount Vernon 15,2,40,,,628,,
316,Mount Vernon 16,2,40,,,1016,,
319,Mount Vernon 19,2,40,,,855,,
321,Mount Vernon 21,2,40,,,1081,,
322,Mount Vernon 22,2,40,,,712,,
327,Mount Vernon 27,2,40,,,107,,
328,Mount Vernon 28,2,40,,,196,,
401,Sedro Woolley 1,2,40,,,663,,
402,Sedro Woolley 2,2,40,,,808,,
403,Sedro Woolley 3,2,40,,,662,,
404,Sedro Woolley 4,2,40,,,853,,
405,Sedro Woolley 5,2,40,,,767,,
406,Sedro Woolley 6,2,40,,,748,,
407,Sedro Woolley 7,2,40,,,1,,
501,Burlington 1,2,40,,,465,,
502,Burlington 2,2,40,,,500,,
503,Burlington 3,2,40,,,267,,
504,Burlington 4,2,40,,,453,,
505,Burlington 5,2,40,,,684,,
506,Burlington 6,2,40,,,498,,
507,Burlington 7,2,40,,,292,,
601,Concrete,2,40,,,394,,
701,Hamilton,2,40,,,170,,
801,La Conner,2,40,,,651,,
855,Lyman,2,40,,,199,,
SKAGIT WA,SKAGIT WA,0,0,0,0,63185,,
101,Alder,,,,Cast,361,363,363
102,Alger,,,,Cast,295,295,295
103,Allen,,,,Cast,269,268,269
104,Dunbar,,,,Cast,197,198,198
105,Avon,,,,Cast,567,565,565
107,Sauk,,,,Cast,545,544,545
108,Bay View,,,,Cast,438,440,440
