county,precinct,name,district,party,style,vote,,
Clark,50,Vancouver,49,,Registration,875,,
Clark,55,Vancouver,49,,Registration,1028,,
Clark,60,Vancouver,49,,Registration,1020,,
Clark,70,Vancouver,49,,Registration,1002,,
Clark,90,Vancouver,49,,Registration,856,,
Clark,100,Vancouver,49,,Registration,1323,,
Clark,110,Vancouver,49,,Registration,1061,,
Clark,120,Vancouver,49,,Registration,1184,,
Clark,130,Vancouver,49,,Registration,1251,,
Clark,147,Vancouver,49,,Registration,905,,
Clark,150,Vancouver,49,,Registration,970,,
Clark,153,Vancouver,49,,Registration,850,,
Clark,160,Vancouver,49,,Registration,900,,
Clark,170,Vancouver,49,,Registration,900,,
Clark,175,Vancouver,49,,Registration,917,,
Clark,180,Vancouver,49,,Registration,1270,,
Clark,190,Vancouver,49,,Registration,1732,,
Clark,200,Vancouver,49,,Registration,1290,,
Clark,220,Vancouver,49,,Registration,1332,,
Clark,225,Vancouver,49,,Registration,912,,
Clark,240,Vancouver,49,,Registration,1429,,
Clark,245,Vancouver,49,,Registration,668,,
Clark,250,Vancouver,49,,Registration,1715,,
Clark,255,Vancouver,49,,Registration,862,,
Clark,257,Vancouver,49,,Registration,991,,
Clark,290,Vancouver,49,,Registration,1078,,
Clark,294,Vancouver,49,,Registration,956,,
Clark,296,Vancouver,49,,Registration,1222,,
Clark,325,,49,,Registration,2074,,
Clark,330,,49,,Registration,1439,,
Clark,335,,49,,Registration,908,,
Clark,340,,49,,Registration,1527,,
Clark,350,,49,,Registration,1154,,
Clark,360,,49,,Registration,1398,,
Clark,370,,49,,Registration,1047,,
Clark,390,,49,,Registration,1215,,
Clark,395,,49,,Registration,319,,
Clark,400,,49,,Registration,734,,
Clark,410,,49,,Registration,1415,,
Clark,415,,49,,Registration,839,,
Clark,420,,49,,Registration,1085,,
Clark,424,,49,,Registration,1533,,
Clark,425,,49,,Registration,1554,,
Clark,426,,49,,Registration,728,,
Clark,430,,49,,Registration,1183,,
Clark,434,,17,,Registration,874,,
Clark,435,,49,,Registration,637,,
Clark,440,,18,,Registration,839,,
Clark,441,,17,,Registration,1309,,
Clark,444,,18,,Registration,935,,
Clark,445,,18,,Registration,1923,,
Clark,446,,18,,Registration,1933,,
Clark,447,,18,,Registration,1350,,
Clark,448,,18,,Registration,1381,,
Clark,450,,18,,Registration,1437,,
Clark,451,,18,,Registration,1600,,
Clark,452,,18,,Registration,974,,
Clark,453,,18,,Registration,1005,,
Clark,455,,18,,Registration,695,,
Clark,460,,49,,Registration,1434,,
Clark,470,,49,,Registration,1198,,
Clark,480,,18,,Registration,1569,,
Clark,483,,17,,Registration,1283,,
Clark,485,,18,,Registration,946,,
Clark,490,,18,,Registration,674,,
Clark,500,Ridgefield,18,,Registration,1478,,
Clark,505,,18,,Registration,1280,,
Clark,510,Woodland,18,,Registration,880,,
Clark,515,La Center,18,,Registration,1229,,
Clark,520,,18,,Registration,1400,,
Clark,525,,18,,Registration,986,,
Clark,528,,18,,Registration,1006,,
Clark,530,,18,,Registration,507,,
Clark,535,,18,,Registration,1957,,
Clark,537,,18,,Registration,803,,
Clark,540,,18,,Registration,1595,,
Clark,543,,17,,Registration,516,,
Clark,545,,18,,Registration,1105,,
Clark,550,,17,,Registration,1774,,
Clark,555,,17,,Registration,895,,
Clark,560,,17,,Registration,1162,,
Clark,563,,17,,Registration,1358,,
Clark,565,,49,,Registration,1205,,
Clark,570,,17,,Registration,1449,,
Clark,571,,17,,Registration,1186,,
Clark,573,,17,,Registration,943,,
Clark,577,,17,,Registration,1643,,
Clark,580,,18,,Registration,1218,,
Clark,583,Battle Ground,18,,Registration,2111,,
Clark,584,Battle Ground,18,,Registration,1294,,
Clark,585,Battle Ground,18,,Registration,1879,,
Clark,586,Battle Ground,18,,Registration,942,,
Clark,590,,18,,Registration,1270,,
Clark,592,,18,,Registration,1362,,
Clark,593,,18,,Registration,1487,,
Clark,595,,18,,Registration,1434,,
Clark,600,Yacolt,18,,Registration,524,,
Clark,605,,18,,Registration,1056,,
Clark,606,,15,,Registration,162,,
Clark,610,,18,,Registration,1338,,
Clark,613,,18,,Registration,470,,
Clark,615,,17,,Registration,450,,
Clark,617,,17,,Registration,1026,,
Clark,620,,18,,Registration,1945,,
Clark,624,,17,,Registration,565,,
Clark,625,,18,,Registration,1130,,
Clark,626,,17,,Registration,1266,,
Clark,627,,17,,Registration,1072,,
Clark,628,,17,,Registration,961,,
Clark,629,,17,,Registration,1248,,
Clark,630,,17,,Registration,1239,,
Clark,631,Vancouver,17,,Registration,1202,,
Clark,633,,17,,Registration,943,,
Clark,634,,17,,Registration,810,,
Clark,635,,17,,Registration,780,,
Clark,636,,17,,Registration,1013,,
Clark,638,,17,,Registration,1268,,
Clark,639,Vancouver,49,,Registration,1078,,
Clark,640,,17,,Registration,1559,,
Clark,642,,49,,Registration,420,,
Clark,643,,17,,Registration,775,,
Clark,644,Vancouver,17,,Registration,1436,,
Clark,645,Vancouver,17,,Registration,1240,,
Clark,646,,17,,Registration,1567,,
Clark,648,Vancouver,17,,Registration,1439,,
Clark,649,,17,,Registration,1220,,
Clark,650,Vancouver,49,,Registration,1213,,
Clark,651,Vancouver,49,,Registration,922,,
Clark,652,Vancouver,17,,Registration,1011,,
Clark,653,Vancouver,17,,Registration,1340,,
Clark,654,Vancouver,17,,Registration,886,,
Clark,656,Vancouver,17,,Registration,611,,
Clark,658,Vancouver,17,,Registration,926,,
Clark,659,Vancouver,17,,Registration,1290,,
Clark,660,Vancouver,49,,Registration,1144,,
Clark,662,Vancouver,17,,Registration,1345,,
Clark,663,Vancouver,49,,Registration,955,,
Clark,664,Vancouver,17,,Registration,1397,,
Clark,668,Vancouver,17,,Registration,1514,,
Clark,669,Vancouver,17,,Registration,794,,
Clark,670,Vancouver,49,,Registration,1398,,
Clark,675,Vancouver,49,,Registration,1893,,
Clark,677,Vancouver,17,,Registration,1070,,
Clark,678,Vancouver,17,,Registration,1411,,
