number,name,office,district,party,candidate,total,
103,Gardiner 3,Governor,,R,Dino Rossi,27,27
104,Cape George,Governor,,R,Dino Rossi,402,402
105,S Discovery,Governor,,R,Dino Rossi,248,248
106,North Jacob,Governor,,R,Dino Rossi,104,104
107,Eaglemount,Governor,,R,Dino Rossi,13,13
108,Port Discovery,Governor,,R,Dino Rossi,78,78
109,Crocker Lake,Governor,,R,Dino Rossi,38,38
110,Leland,Governor,,R,Dino Rossi,45,45
200,Coyle 1,Governor,,R,Dino Rossi,49,49
201,Quilcene,Governor,,R,Dino Rossi,332,332
203,Coyle 2,Governor,,R,Dino Rossi,17,17
204,Brinnon,Governor,,R,Dino Rossi,451,451
206,Thorndyke,Governor,,R,Dino Rossi,32,32
301,Chimacum,Governor,,R,Dino Rossi,282,282
302,Center,Governor,,R,Dino Rossi,226,226
303,Hadlock,Governor,,R,Dino Rossi,518,518
304,Kala Point,Governor,,R,Dino Rossi,406,406
305,Irondale,Governor,,R,Dino Rossi,217,217
401,Nordland,Governor,,R,Dino Rossi,277,278
501,N Port Ludlow,Governor,,R,Dino Rossi,834,834
502,S Port Ludlow,Governor,,R,Dino Rossi,718,718
503,Shine,Governor,,R,Dino Rossi,246,246
600,Hoh,Governor,,R,Dino Rossi,41,41
601,Queets,Governor,,R,Dino Rossi,19,19
701,Port Townsend 1,Governor,,R,Dino Rossi,275,275
702,Port Townsend 2,Governor,,R,Dino Rossi,341,341
703,Port Townsend 3,Governor,,R,Dino Rossi,295,295
704,Port Townsend 4,Governor,,R,Dino Rossi,272,273
705,Port Townsend 5,Governor,,R,Dino Rossi,400,400
JEFFERSON WA,JEFFERSON WA,Governor,,R,Dino Rossi,7293,7295
101,Gardiner 1,Governor,,L,Ruth Bennett,8,8
102,Gardiner 2,Governor,,L,Ruth Bennett,0,0
103,Gardiner 3,Governor,,L,Ruth Bennett,0,0
104,Cape George,Governor,,L,Ruth Bennett,33,33
105,S Discovery,Governor,,L,Ruth Bennett,23,23
106,North Jacob,Governor,,L,Ruth Bennett,8,8
107,Eaglemount,Governor,,L,Ruth Bennett,2,2
108,Port Discovery,Governor,,L,Ruth Bennett,1,1
109,Crocker Lake,Governor,,L,Ruth Bennett,0,0
110,Leland,Governor,,L,Ruth Bennett,3,3
200,Coyle 1,Governor,,L,Ruth Bennett,7,7
201,Quilcene,Governor,,L,Ruth Bennett,19,19
203,Coyle 2,Governor,,L,Ruth Bennett,2,2
204,Brinnon,Governor,,L,Ruth Bennett,13,13
206,Thorndyke,Governor,,L,Ruth Bennett,0,0
301,Chimacum,Governor,,L,Ruth Bennett,14,14
302,Center,Governor,,L,Ruth Bennett,28,28
303,Hadlock,Governor,,L,Ruth Bennett,45,45
304,Kala Point,Governor,,L,Ruth Bennett,17,17
305,Irondale,Governor,,L,Ruth Bennett,22,22
401,Nordland,Governor,,L,Ruth Bennett,14,14
501,N Port Ludlow,Governor,,L,Ruth Bennett,17,17
502,S Port Ludlow,Governor,,L,Ruth Bennett,9,9
503,Shine,Governor,,L,Ruth Bennett,11,11
600,Hoh,Governor,,L,Ruth Bennett,7,7
601,Queets,Governor,,L,Ruth Bennett,3,3
701,Port Townsend 1,Governor,,L,Ruth Bennett,30,30
702,Port Townsend 2,Governor,,L,Ruth Bennett,32,32
703,Port Townsend 3,Governor,,L,Ruth Bennett,40,40
704,Port Townsend 4,Governor,,L,Ruth Bennett,20,21
705,Port Townsend 5,Governor,,L,Ruth Bennett,37,37
JEFFERSON WA,JEFFERSON WA,Governor,,L,Ruth Bennett,465,466
