"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","  SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 2","Brooke Overstreet","","0","0","School"
"Adams","  SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 2","WRITE-IN","","0","0","School"
"Adams","  SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 4","Tracey L. Korthuis","","0","0","School"
"Adams","  SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 4","WRITE-IN","","0","0","School"
"Adams","  ENDICOTT SCHOOL DISTRICT - 308 Position 1 at large","Greta White","","0","0","School"
"Adams","  ENDICOTT SCHOOL DISTRICT - 308 Position 1 at large","WRITE-IN","","0","0","School"
"Adams","  ENDICOTT SCHOOL DISTRICT - 308 Position 2 at large","Linda Greenhalgh","","0","0","School"
"Adams","  ENDICOTT SCHOOL DISTRICT - 308 Position 2 at large","WRITE-IN","","0","0","School"
"Adams","  ENDICOTT SCHOOL DISTRICT - 308 Position 3 at large","Marvin Schmick","","0","0","School"
"Adams","  ENDICOTT SCHOOL DISTRICT - 308 Position 3 at large","WRITE-IN","","0","0","School"
"Adams","  ENDICOTT SCHOOL DISTRICT - 308 Position 5 at large","Nancy Anderson","","0","0","School"
"Adams","  ENDICOTT SCHOOL DISTRICT - 308 Position 5 at large","WRITE-IN","","0","0","School"
"Adams","  TOWN OF HATTON Mayor","Brittany Raye Baldwin","","5","71.4286","City/Town"
"Adams","  TOWN OF HATTON Mayor","WRITE-IN","","2","28.5714","City/Town"
"Adams","  TOWN OF HATTON Council Position  1","Justine Pherigo ","","6","100","City/Town"
"Adams","  TOWN OF HATTON Council Position  1","WRITE-IN","","0","0","City/Town"
"Adams","  TOWN OF HATTON Council Position 2","Terri Case ","","5","100","City/Town"
"Adams","  TOWN OF HATTON Council Position 2","WRITE-IN","","0","0","City/Town"
"Adams","  TOWN OF HATTON Council Position 3","Terry Quandt ","","6","100","City/Town"
"Adams","  TOWN OF HATTON Council Position 3","WRITE-IN","","0","0","City/Town"
"Adams","  TOWN OF HATTON Council Position 5","James Winebarger ","","2","66.6667","City/Town"
"Adams","  TOWN OF HATTON Council Position 5","WRITE-IN","","1","33.3333","City/Town"
"Adams","  TOWN OF LIND Council Position 4","Myra Horton","","128","94.8148","City/Town"
"Adams","  TOWN OF LIND Council Position 4","WRITE-IN","","7","5.1852","City/Town"
"Adams","  TOWN OF LIND Council Position 5","James Dworshak","","107","90.678","City/Town"
"Adams","  TOWN OF LIND Council Position 5","WRITE-IN","","11","9.322","City/Town"
"Adams","  CITY OF OTHELLO Council Position 4","Eugene Bain","","365","45.9119","City/Town"
"Adams","  CITY OF OTHELLO Council Position 4","Jonathan (Jon) Erickson","","426","53.5849","City/Town"
"Adams","  CITY OF OTHELLO Council Position 4","WRITE-IN","","4","0.5031","City/Town"
"Adams","  CITY OF OTHELLO Council Position  5","Maria Quezada","","651","97.6012","City/Town"
"Adams","  CITY OF OTHELLO Council Position  5","WRITE-IN","","16","2.3988","City/Town"
"Adams","  CITY OF OTHELLO Council Position 6","Mark Snyder","","701","98.8717","City/Town"
"Adams","  CITY OF OTHELLO Council Position 6","WRITE-IN","","8","1.1283","City/Town"
"Adams","  CITY OF OTHELLO Council Position 7","Angel Garza","","657","96.4758","City/Town"
"Adams","  CITY OF OTHELLO Council Position 7","WRITE-IN","","24","3.5242","City/Town"
"Adams","  CITY OF RITZVILLE Mayor","Gary Cook","","426","79.3296","City/Town"
"Adams","  CITY OF RITZVILLE Mayor","David Ahrens","","100","18.622","City/Town"
"Adams","  CITY OF RITZVILLE Mayor","WRITE-IN","","11","2.0484","City/Town"
"Adams","  CITY OF RITZVILLE Council Ward 1","Dede Rawlings","","359","95.7333","City/Town"
"Adams","  CITY OF RITZVILLE Council Ward 1","WRITE-IN","","16","4.2667","City/Town"
"Adams","  CITY OF RITZVILLE Council Ward 2","Debbie Chapman","","395","97.5309","City/Town"
"Adams","  CITY OF RITZVILLE Council Ward 2","WRITE-IN","","10","2.4691","City/Town"
"Adams","  CITY OF RITZVILLE Council Ward 4","Dennis R. Chamberlain","","384","95.2854","City/Town"
"Adams","  CITY OF RITZVILLE Council Ward 4","WRITE-IN","","19","4.7146","City/Town"
"Adams","  CITY OF RITZVILLE Council at Large 2yr","Mark Weigand","","406","97.3621","City/Town"
"Adams","  CITY OF RITZVILLE Council at Large 2yr","WRITE-IN","","11","2.6379","City/Town"
"Adams","  TOWN OF WASHTUCNA Mayor","Brian Hille","","52","89.6552","City/Town"
"Adams","  TOWN OF WASHTUCNA Mayor","WRITE-IN","","6","10.3448","City/Town"
"Adams","  TOWN OF WASHTUCNA Council Position 1","Carol Thompson","","62","100","City/Town"
"Adams","  TOWN OF WASHTUCNA Council Position 1","WRITE-IN","","0","0","City/Town"
"Adams","  TOWN OF WASHTUCNA Council Position 2","Catherine Blankenship","","48","88.8889","City/Town"
"Adams","  TOWN OF WASHTUCNA Council Position 2","WRITE-IN","","6","11.1111","City/Town"
"Adams","  TOWN OF WASHTUCNA Council Position 4","Frederic A. Blauert","","50","89.2857","City/Town"
"Adams","  TOWN OF WASHTUCNA Council Position 4","WRITE-IN","","6","10.7143","City/Town"
"Adams","  ADAMS CO FIRE DIST 1 - LINCOLN CO FIRE DIST 10 Commissioner Position 3","David McCormick","","189","96.4286","Fire"
"Adams","  ADAMS CO FIRE DIST 1 - LINCOLN CO FIRE DIST 10 Commissioner Position 3","WRITE-IN","","7","3.5714","Fire"
"Adams","  FIRE DISTRICT 2 Commissioner Position 1","Traven Smith","","91","97.8495","Fire"
"Adams","  FIRE DISTRICT 2 Commissioner Position 1","WRITE-IN","","2","2.1505","Fire"
"Adams","  FIRE DISTRICT 2 Commissioner Position 2","Brad Heider","","100","99.0099","Fire"
"Adams","  FIRE DISTRICT 2 Commissioner Position 2","WRITE-IN","","1","0.9901","Fire"
"Adams","  FIRE DISTRICT 3 Commissioner Position 3","Bradley A. Greenwalt","","40","97.561","Fire"
"Adams","  FIRE DISTRICT 3 Commissioner Position 3","WRITE-IN","","1","2.439","Fire"
"Adams","  FIRE DISTRICT 4 Commissioner Position 2","Morgan Knight","","8","100","Fire"
"Adams","  FIRE DISTRICT 4 Commissioner Position 2","WRITE-IN","","0","0","Fire"
"Adams","  FIRE DISTRICT 4 Local Special Election, Maintenance and Operation Levy","Approved","","8","100","Fire"
"Adams","  FIRE DISTRICT 4 Local Special Election, Maintenance and Operation Levy","Rejected","","0","0","Fire"
"Adams","  FIRE DISTRICT 5 Commissioner Position 2","Jay Weise","","627","98.4301","Fire"
"Adams","  FIRE DISTRICT 5 Commissioner Position 2","WRITE-IN","","10","1.5699","Fire"
"Adams","  FIRE DISTRICT 6 Commissioner Position 3","Bruce Honn","","22","91.6667","Fire"
"Adams","  FIRE DISTRICT 6 Commissioner Position 3","WRITE-IN","","2","8.3333","Fire"
"Adams","  FIRE DISTRICT 7 Commissioner Position 1","David Baumann","","56","100","Fire"
"Adams","  FIRE DISTRICT 7 Commissioner Position 1","WRITE-IN","","0","0","Fire"
"Adams","  FIRE DISTRICT 7 Commissioner Position 3","Debra Sitton","","58","98.3051","Fire"
"Adams","  FIRE DISTRICT 7 Commissioner Position 3","WRITE-IN","","1","1.6949","Fire"
"Adams","  OTHELLO PARK AND RECREATION 1 Commissioner Position 3","Oscar Casados","","1251","98.1176","Park and Recreation"
"Adams","  OTHELLO PARK AND RECREATION 1 Commissioner Position 3","WRITE-IN","","24","1.8824","Park and Recreation"
"Adams","  OTHELLO PARK AND RECREATION 1 Commissioner Position 4","Eddie H. Keele","","1310","98.8679","Park and Recreation"
"Adams","  OTHELLO PARK AND RECREATION 1 Commissioner Position 4","WRITE-IN","","15","1.1321","Park and Recreation"
"Adams","  WASHTUCNA PARK AND RECREATION 2 Commissioner Position 2","Codi Titus","","95","95.9596","Park and Recreation"
"Adams","  WASHTUCNA PARK AND RECREATION 2 Commissioner Position 2","WRITE-IN","","4","4.0404","Park and Recreation"
"Adams","  LIND PARK AND RECREATION 3 Commissioner Position 1","Amy Hernandez","","214","97.7169","Park and Recreation"
"Adams","  LIND PARK AND RECREATION 3 Commissioner Position 1","WRITE-IN","","5","2.2831","Park and Recreation"
"Adams","  LIND PARK AND RECREATION 3 Commissioner Position 2","Laurinda Ritz","","221","97.7876","Park and Recreation"
"Adams","  LIND PARK AND RECREATION 3 Commissioner Position 2","WRITE-IN","","5","2.2124","Park and Recreation"
"Adams","  LIND PARK AND RECREATION 3 Commissioner Position 3","Eric Labes","","224","98.2456","Park and Recreation"
"Adams","  LIND PARK AND RECREATION 3 Commissioner Position 3","WRITE-IN","","4","1.7544","Park and Recreation"
"Adams","  RITZVILLE PARK AND RECREATION 4 Commissioner Position 3","Andrea Heider","","652","98.7879","Park and Recreation"
"Adams","  RITZVILLE PARK AND RECREATION 4 Commissioner Position 3","WRITE-IN","","8","1.2121","Park and Recreation"
"Adams","  RITZVILLE PARK AND RECREATION 4 Commissioner Position 4","Amber Moore","","578","98.1324","Park and Recreation"
"Adams","  RITZVILLE PARK AND RECREATION 4 Commissioner Position 4","WRITE-IN","","11","1.8676","Park and Recreation"
"Adams","  RITZVILLE PARK AND RECREATION 4 Commissioner Position 5","Krista Krause","","587","98.1605","Park and Recreation"
"Adams","  RITZVILLE PARK AND RECREATION 4 Commissioner Position 5","WRITE-IN","","11","1.8395","Park and Recreation"
"Adams","  CEMETERY DISTRICT 1 Commissioner Position 1","Wayne W. Johnstone","","90","93.75","Cemetery"
"Adams","  CEMETERY DISTRICT 1 Commissioner Position 1","WRITE-IN","","6","6.25","Cemetery"
"Adams","  CEMETERY DISTRICT 1 Commissioner Position 2","Roy McKenzie","","106","99.0654","Cemetery"
"Adams","  CEMETERY DISTRICT 1 Commissioner Position 2","WRITE-IN","","1","0.9346","Cemetery"
"Adams","  CEMETERY DISTRICT 2 Commissioner Position 1","LuAnn Morgan","","1318","98.8006","Cemetery"
"Adams","  CEMETERY DISTRICT 2 Commissioner Position 1","WRITE-IN","","16","1.1994","Cemetery"
"Adams","  CEMETERY DISTRICT 3 Commissioner Position 2","Janet Sackmann","","198","90.8257","Cemetery"
"Adams","  CEMETERY DISTRICT 3 Commissioner Position 2","WRITE-IN","","20","9.1743","Cemetery"
"Adams","  CEMETERY DISTRICT 3 Commissioner Position 3","Cheryl Haase","","184","96.3351","Cemetery"
"Adams","  CEMETERY DISTRICT 3 Commissioner Position 3","WRITE-IN","","7","3.6649","Cemetery"
"Adams","  WATER DISTRICT 1 Commissioner Position 3","Cedelia Cano","","19","90.4762","Water"
"Adams","  WATER DISTRICT 1 Commissioner Position 3","WRITE-IN","","2","9.5238","Water"
"Asotin","  Referendum Measure No. 88","Approved","","2326","38.2251","State Executive"
"Asotin","  Referendum Measure No. 88","Rejected","","3759","61.7749","State Executive"
"Asotin","  Initiative Measure No. 976","Yes","","4053","64.5485","State Executive"
"Asotin","  Initiative Measure No. 976","No","","2226","35.4515","State Executive"
"Asotin","  Advisory Vote No. 20","Repealed","","4602","77.54","State Executive"
"Asotin","  Advisory Vote No. 20","Maintained","","1333","22.46","State Executive"
"Asotin","  Advisory Vote No. 21","Repealed","","4280","71.8844","State Executive"
"Asotin","  Advisory Vote No. 21","Maintained","","1674","28.1156","State Executive"
"Asotin","  Advisory Vote No. 22","Repealed","","4681","79.245","State Executive"
"Asotin","  Advisory Vote No. 22","Maintained","","1226","20.755","State Executive"
"Asotin","  Advisory Vote No. 23","Repealed","","2303","38.0913","State Executive"
"Asotin","  Advisory Vote No. 23","Maintained","","3743","61.9087","State Executive"
"Asotin","  Advisory Vote No. 24","Repealed","","4585","77.6198","State Executive"
"Asotin","  Advisory Vote No. 24","Maintained","","1322","22.3802","State Executive"
"Asotin","  Advisory Vote No. 25","Repealed","","4188","71.2245","State Executive"
"Asotin","  Advisory Vote No. 25","Maintained","","1692","28.7755","State Executive"
"Asotin","  Advisory Vote No. 26","Repealed","","4043","68.3055","State Executive"
"Asotin","  Advisory Vote No. 26","Maintained","","1876","31.6945","State Executive"
"Asotin","  Advisory Vote No. 27","Repealed","","4676","78.4827","State Executive"
"Asotin","  Advisory Vote No. 27","Maintained","","1282","21.5173","State Executive"
"Asotin","  Advisory Vote No. 28","Repealed","","3304","55.8485","State Executive"
"Asotin","  Advisory Vote No. 28","Maintained","","2612","44.1515","State Executive"
"Asotin","  Advisory Vote No. 29","Repealed","","4707","79.3761","State Executive"
"Asotin","  Advisory Vote No. 29","Maintained","","1223","20.6239","State Executive"
"Asotin","  Advisory Vote No. 30","Repealed","","4122","69.9593","State Executive"
"Asotin","  Advisory Vote No. 30","Maintained","","1770","30.0407","State Executive"
"Asotin","  Advisory Vote No. 31","Repealed","","3228","55.0477","State Executive"
"Asotin","  Advisory Vote No. 31","Maintained","","2636","44.9523","State Executive"
"Asotin","  Proposed Amendments to the Constitution - Senate Joint Resolution No. 8200","Approved","","3530","58.0783","State Executive"
"Asotin","  Proposed Amendments to the Constitution - Senate Joint Resolution No. 8200","Rejected","","2548","41.9217","State Executive"
"Asotin","  Local Proposition No. 1","Yes","","4313","67.8358","County"
"Asotin","  Local Proposition No. 1","No","","2045","32.1642","County"
"Asotin","  CITY OF ASOTIN MAYOR","Jeff Miner","","73","19.7832","City/Town"
"Asotin","  CITY OF ASOTIN MAYOR","Dwayne Paris","","296","80.2168","City/Town"
"Asotin","  CITY OF ASOTIN MAYOR","WRITE-IN","","0","0","City/Town"
"Asotin","  CITY OF ASOTIN CITY COUNCIL MEMBER #01","Dave Weakland","","298","100","City/Town"
"Asotin","  CITY OF ASOTIN CITY COUNCIL MEMBER #01","WRITE-IN","","0","0","City/Town"
"Asotin","  CITY OF ASOTIN CITY COUNCIL MEMBER #02","Lori R. Loseth","","301","100","City/Town"
"Asotin","  CITY OF ASOTIN CITY COUNCIL MEMBER #02","WRITE-IN","","0","0","City/Town"
"Asotin","  CITY OF ASOTIN CITY COUNCIL MEMBER #03","Steve Cowdrey","","216","57.9088","City/Town"
"Asotin","  CITY OF ASOTIN CITY COUNCIL MEMBER #03","Eric Heier","","157","42.0912","City/Town"
"Asotin","  CITY OF ASOTIN CITY COUNCIL MEMBER #03","WRITE-IN","","0","0","City/Town"
"Asotin","  CITY OF CLARKSTON MAYOR","Richard Hayward","","532","39.1753","City/Town"
"Asotin","  CITY OF CLARKSTON MAYOR","Monika Lawrence","","826","60.8247","City/Town"
"Asotin","  CITY OF CLARKSTON MAYOR","WRITE-IN","","0","0","City/Town"
"Asotin","  CITY OF CLARKSTON CITY COUNCIL MEMBER #02","Melyssa D. Andrews","","1005","100","City/Town"
"Asotin","  CITY OF CLARKSTON CITY COUNCIL MEMBER #02","WRITE-IN","","0","0","City/Town"
"Asotin","  CITY OF CLARKSTON CITY COUNCIL MEMBER #05","Skate Pierce","","1011","100","City/Town"
"Asotin","  CITY OF CLARKSTON CITY COUNCIL MEMBER #05","WRITE-IN","","0","0","City/Town"
"Asotin","  CITY OF CLARKSTON CITY COUNCIL MEMBER #06","Nick Kampf","","352","30.2405","City/Town"
"Asotin","  CITY OF CLARKSTON CITY COUNCIL MEMBER #06","Belinda Larsen","","812","69.7595","City/Town"
"Asotin","  CITY OF CLARKSTON CITY COUNCIL MEMBER #06","WRITE-IN","","0","0","City/Town"
"Asotin","  CITY OF CLARKSTON CITY COUNCIL MEMBER #07","Steven Ebert","","958","100","City/Town"
"Asotin","  CITY OF CLARKSTON CITY COUNCIL MEMBER #07","WRITE-IN","","0","0","City/Town"
"Asotin","  CITY OF CLARKSTON Local Resolution No. 2019-13","Yes, Levy","","1028","72.7016","City/Town"
"Asotin","  CITY OF CLARKSTON Local Resolution No. 2019-13","No, Levy","","386","27.2984","City/Town"
"Asotin","  SCHOOL DISTRICT 250 SCHOOL DIRECTOR #01","Meghan Pierce","","3564","100","School"
"Asotin","  SCHOOL DISTRICT 250 SCHOOL DIRECTOR #01","WRITE-IN","","0","0","School"
"Asotin","  SCHOOL DISTRICT 250 SCHOOL DIRECTOR #02","Miles Sidener","","3454","100","School"
"Asotin","  SCHOOL DISTRICT 250 SCHOOL DIRECTOR #02","WRITE-IN","","0","0","School"
"Asotin","  SCHOOL DISTRICT 250 SCHOOL DIRECTOR #03","Dennis Lenz","","3514","100","School"
"Asotin","  SCHOOL DISTRICT 250 SCHOOL DIRECTOR #03","WRITE-IN","","0","0","School"
"Asotin","  SCHOOL DISTRICT 250 SCHOOL DIRECTOR #05","Russ Davis","","3494","100","School"
"Asotin","  SCHOOL DISTRICT 250 SCHOOL DIRECTOR #05","WRITE-IN","","0","0","School"
"Asotin","  SCHOOL DISTRICT 420 SCHOOL DIRECTOR #01","Paula R. Elskamp","","857","100","School"
