"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","  Referendum Measure No. 88","Approved","","831","31.2994","State Executive"
"Adams","  Referendum Measure No. 88","Rejected","","1824","68.7006","State Executive"
"Adams","  Initiative Measure No. 976","Yes","","2018","71.0063","State Executive"
"Adams","  Initiative Measure No. 976","No","","824","28.9937","State Executive"
"Adams","  Advisory Vote No. 20","Repealed","","2342","84.8858","State Executive"
"Adams","  Advisory Vote No. 20","Maintained","","417","15.1142","State Executive"
"Adams","  Advisory Vote No. 21","Repealed","","2181","78.425","State Executive"
"Adams","  Advisory Vote No. 21","Maintained","","600","21.575","State Executive"
"Adams","  Advisory Vote No. 22","Repealed","","2371","85.5339","State Executive"
"Adams","  Advisory Vote No. 22","Maintained","","401","14.4661","State Executive"
"Adams","  Advisory Vote No. 23","Repealed","","1429","51.1636","State Executive"
"Adams","  Advisory Vote No. 23","Maintained","","1364","48.8364","State Executive"
"Adams","  Advisory Vote No. 24","Repealed","","2360","85.6624","State Executive"
"Adams","  Advisory Vote No. 24","Maintained","","395","14.3376","State Executive"
"Adams","  Advisory Vote No. 25","Repealed","","2238","81.1752","State Executive"
"Adams","  Advisory Vote No. 25","Maintained","","519","18.8248","State Executive"
"Adams","  Advisory Vote No. 26","Repealed","","2163","78.398","State Executive"
"Adams","  Advisory Vote No. 26","Maintained","","596","21.602","State Executive"
"Adams","  Advisory Vote No. 27","Repealed","","2458","88.0372","State Executive"
"Adams","  Advisory Vote No. 27","Maintained","","334","11.9628","State Executive"
"Adams","  Advisory Vote No. 28","Repealed","","1887","68.1966","State Executive"
"Adams","  Advisory Vote No. 28","Maintained","","880","31.8034","State Executive"
"Adams","  Advisory Vote No. 29","Repealed","","2430","87.1905","State Executive"
"Adams","  Advisory Vote No. 29","Maintained","","357","12.8095","State Executive"
"Adams","  Advisory Vote No. 30","Repealed","","2176","78.755","State Executive"
"Adams","  Advisory Vote No. 30","Maintained","","587","21.245","State Executive"
"Adams","  Advisory Vote No. 31","Repealed","","1919","69.6046","State Executive"
"Adams","  Advisory Vote No. 31","Maintained","","838","30.3954","State Executive"
"Adams","  Proposed Amendments to the Constitution - Senate Joint Resolution No. 8200","Approved","","1333","48.4375","State Executive"
"Adams","  Proposed Amendments to the Constitution - Senate Joint Resolution No. 8200","Rejected","","1419","51.5625","State Executive"
"Adams","  PORT DISTRICT 1 Commissioner District 2","Gary Weaver","","1307","97.0304","Port"
"Adams","  PORT DISTRICT 1 Commissioner District 2","WRITE-IN","","40","2.9696","Port"
"Adams","  PORT DISTRICT 1 Commissioner District 3","Deena Vietzke","","1292","98.4756","Port"
"Adams","  PORT DISTRICT 1 Commissioner District 3","WRITE-IN","","20","1.5244","Port"
"Adams","  HOSPITAL DISTRICT 2 Commissioner Position 2","Jerry Crossler","","916","96.1175","Hospital"
"Adams","  HOSPITAL DISTRICT 2 Commissioner Position 2","WRITE-IN","","37","3.8825","Hospital"
"Adams","  HOSPITAL DISTRICT 3 Commissioner Position 2","Donna Reichert","","767","48.6058","Hospital"
"Adams","  HOSPITAL DISTRICT 3 Commissioner Position 2","Gayle Bohannan","","802","50.8238","Hospital"
"Adams","  HOSPITAL DISTRICT 3 Commissioner Position 2","WRITE-IN","","9","0.5703","Hospital"
"Adams","  HOSPITAL DISTRICT 3 Commissioner Position 4","Shirley McCullough","","1349","98.3236","Hospital"
"Adams","  HOSPITAL DISTRICT 3 Commissioner Position 4","WRITE-IN","","23","1.6764","Hospital"
"Adams","  HOSPITAL DISTRICT 3 Commissioner Position 5","Susan Long-Hosek","","1320","98.8764","Hospital"
"Adams","  HOSPITAL DISTRICT 3 Commissioner Position 5","WRITE-IN","","15","1.1236","Hospital"
"Adams","  NORTH FRANKLIN SCHOOL DISTRICT NO. J-51 Director, District 1, Position 1","Patricia (Patti) Walker","","17","100","School"
"Adams","  NORTH FRANKLIN SCHOOL DISTRICT NO. J-51 Director, District 1, Position 1","WRITE-IN","","0","0","School"
"Adams","  NORTH FRANKLIN SCHOOL DISTRICT NO. J-51 Director, District 2, Position 2","Terry A. Utecht","","17","100","School"
"Adams","  NORTH FRANKLIN SCHOOL DISTRICT NO. J-51 Director, District 2, Position 2","WRITE-IN","","0","0","School"
"Adams","  NORTH FRANKLIN SCHOOL DISTRICT NO. J-51 Director, District 5, Position 5","Jon Fox","","15","100","School"
"Adams","  NORTH FRANKLIN SCHOOL DISTRICT NO. J-51 Director, District 5, Position 5","WRITE-IN","","0","0","School"
"Adams","  ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 2","Ed Deife","","29","93.5484","School"
"Adams","  ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 2","WRITE-IN","","2","6.4516","School"
"Adams","  ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 3","Carmen Weishaar","","33","97.0588","School"
"Adams","  ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 3","WRITE-IN","","1","2.9412","School"
"Adams","  ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 4 AT-LARGE","Christine Crossley","","32","96.9697","School"
"Adams","  ODESSA SCHOOL DISTRICT 105 DIRECTOR NO. 4 AT-LARGE","WRITE-IN","","1","3.0303","School"
"Adams","  SCHOOL DISTRICT 109 - WASHTUCNA Director Position 1","Vickie Boland","","99","96.1165","School"
"Adams","  SCHOOL DISTRICT 109 - WASHTUCNA Director Position 1","WRITE-IN","","4","3.8835","School"
"Adams","  SCHOOL DISTRICT 109 - WASHTUCNA Director Position 3","Phillip Blankenship","","55","75.3425","School"
"Adams","  SCHOOL DISTRICT 109 - WASHTUCNA Director Position 3","WRITE-IN","","18","24.6575","School"
"Adams","  SCHOOL DISTRICT 122 - BENGE Director Position 1","Marcia Honn","","13","86.6667","School"
"Adams","  SCHOOL DISTRICT 122 - BENGE Director Position 1","WRITE-IN","","2","13.3333","School"
"Adams","  SCHOOL DISTRICT 122 - BENGE Director Position 3","Ellen Bachman","","13","86.6667","School"
"Adams","  SCHOOL DISTRICT 122 - BENGE Director Position 3","WRITE-IN","","2","13.3333","School"
"Adams","  SCHOOL DISTRICT 122 - BENGE Director Position 4","Chet Clinesmith","","13","92.8571","School"
"Adams","  SCHOOL DISTRICT 122 - BENGE Director Position 4","WRITE-IN","","1","7.1429","School"
"Adams","  LACROSSE SCHOOL DISTRICT - 126 Postion 1 at large","Cathrine Wigen","","9","100","School"
"Adams","  LACROSSE SCHOOL DISTRICT - 126 Postion 1 at large","WRITE-IN","","0","0","School"
"Adams","  LACROSSE SCHOOL DISTRICT - 126 Position 4 at large","Michael G. Stubbs","","9","100","School"
"Adams","  LACROSSE SCHOOL DISTRICT - 126 Position 4 at large","WRITE-IN","","0","0","School"
"Adams","  LACROSSE SCHOOL DISTRICT - 126 Position 5 At Large","Terry Miller","","8","88.8889","School"
"Adams","  LACROSSE SCHOOL DISTRICT - 126 Position 5 At Large","WRITE-IN","","1","11.1111","School"
"Adams","  LAMONT SCHOOL DISTRICT - 264 Position 1 at large","Angela Shields","","3","100","School"
"Adams","  LAMONT SCHOOL DISTRICT - 264 Position 1 at large","WRITE-IN","","0","0","School"
"Adams","  LAMONT SCHOOL DISTRICT - 264 Position 2 at large","Tina Layne","","3","100","School"
"Adams","  LAMONT SCHOOL DISTRICT - 264 Position 2 at large","WRITE-IN","","0","0","School"
"Adams","  LAMONT SCHOOL DISTRICT - 264 Position 3 at large","Julia McDaniel","","2","100","School"
"Adams","  LAMONT SCHOOL DISTRICT - 264 Position 3 at large","WRITE-IN","","0","0","School"
"Adams","  LAMONT SCHOOL DISTRICT - 264 Position 4 at large","Chet Swift","","3","100","School"
"Adams","  LAMONT SCHOOL DISTRICT - 264 Position 4 at large","WRITE-IN","","0","0","School"
"Adams","  LAMONT SCHOOL DISTRICT - 264 Position 5 at large","Todd C. Billigmeier","","3","100","School"
"Adams","  LAMONT SCHOOL DISTRICT - 264 Position 5 at large","WRITE-IN","","0","0","School"
"Adams","  LAMONT SCHOOL DISTRICT - 264 Local Special Election, Supplemental Educational Programs and Operation Levy","Levy Yes","","1","33.3333","School"
"Adams","  LAMONT SCHOOL DISTRICT - 264 Local Special Election, Supplemental Educational Programs and Operation Levy","Levy No","","2","66.6667","School"
"Adams","  Warden School Dist #146 SCHOOL DIRECTOR #02","Dave Whitney","","10","100","School"
"Adams","  Warden School Dist #146 SCHOOL DIRECTOR #02","WRITE-IN","","0","0","School"
"Adams","  Warden School Dist #146 SCHOOL DIRECTOR #03","Rick Martin","","9","90","School"
"Adams","  Warden School Dist #146 SCHOOL DIRECTOR #03","WRITE-IN","","1","10","School"
"Adams","  Warden School Dist #146  SCHOOL DIRECTOR 5 At Large","Kasandra (Kacy) Campos","","10","100","School"
"Adams","  Warden School Dist #146  SCHOOL DIRECTOR 5 At Large","WRITE-IN","","0","0","School"
"Adams","  SCHOOL DISTRICT 147 - OTHELLO Director District 2","Rob Simmons","","608","38.0476","School"
"Adams","  SCHOOL DISTRICT 147 - OTHELLO Director District 2","Sharon Schutte","","986","61.7021","School"
"Adams","  SCHOOL DISTRICT 147 - OTHELLO Director District 2","WRITE-IN","","4","0.2503","School"
"Adams","  SCHOOL DISTRICT 147 - OTHELLO Director District 4","Isauro (JR) Pruneda","","500","32.4675","School"
"Adams","  SCHOOL DISTRICT 147 - OTHELLO Director District 4","Lindsy Mollotte Prows","","1033","67.0779","School"
"Adams","  SCHOOL DISTRICT 147 - OTHELLO Director District 4","WRITE-IN","","7","0.4545","School"
"Adams","  SCHOOL DISTRICT 147 - OTHELLO Director Position 5 - at large","Roger R. Durkee","","657","42.3052","School"
"Adams","  SCHOOL DISTRICT 147 - OTHELLO Director Position 5 - at large","Miguel &quot;Mike&quot; Garza","","721","46.4263","School"
"Adams","  SCHOOL DISTRICT 147 - OTHELLO Director Position 5 - at large","WRITE-IN","","175","11.2685","School"
"Adams","  SCHOOL DISTRICT 158 - LIND Director Position 2","Jani Melcher","","219","97.3333","School"
"Adams","  SCHOOL DISTRICT 158 - LIND Director Position 2","WRITE-IN","","6","2.6667","School"
"Adams","  SCHOOL DISTRICT 158 - LIND Director Position 5","Joshua Hernandez","","216","99.0826","School"
"Adams","  SCHOOL DISTRICT 158 - LIND Director Position 5","WRITE-IN","","2","0.9174","School"
"Adams","  SCHOOL DISTRICT 160 - RITZVILLE Director District 2","Reid Phillips","","640","97.8593","School"
"Adams","  SCHOOL DISTRICT 160 - RITZVILLE Director District 2","WRITE-IN","","14","2.1407","School"
"Adams","  SCHOOL DISTRICT 160 - RITZVILLE Director District 4","Greg Galbreath","","659","98.5052","School"
"Adams","  SCHOOL DISTRICT 160 - RITZVILLE Director District 4","WRITE-IN","","10","1.4948","School"
"Adams","  SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 1","Judith Ringwood","","0","0","School"
"Adams","  SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 1","WRITE-IN","","0","0","School"
