Number,Precinct,Office,District,Party,Candidate,Votes
512,Othello Rural #2,U.S. Senator,,R,Dino Rossi,70
513,Othello Rural #3,U.S. Senator,,R,Dino Rossi,171
514,Othello Rural #4,U.S. Senator,,R,Dino Rossi,103
515,Othello Rural #5,U.S. Senator,,R,Dino Rossi,161
516,Othello Rural #6,U.S. Senator,,R,Dino Rossi,200
411,Othello City #1,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,R,Doc Hastings,27
412,Othello City #2,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,R,Doc Hastings,145
413,Othello City #3,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,R,Doc Hastings,141
414,Othello City #4,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,R,Doc Hastings,184
415,Othello City #5,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,R,Doc Hastings,211
416,Othello City #6,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,R,Doc Hastings,30
511,Othello Rural #1,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,R,Doc Hastings,35
512,Othello Rural #2,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,R,Doc Hastings,74
513,Othello Rural #3,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,R,Doc Hastings,188
514,Othello Rural #4,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,R,Doc Hastings,103
515,Othello Rural #5,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,R,Doc Hastings,172
411,Othello City #1,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,D,Jay Clough,8
412,Othello City #2,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,D,Jay Clough,68
413,Othello City #3,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,D,Jay Clough,65
414,Othello City #4,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,D,Jay Clough,53
415,Othello City #5,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,D,Jay Clough,60
416,Othello City #6,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,D,Jay Clough,12
511,Othello Rural #1,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,D,Jay Clough,35
512,Othello Rural #2,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,D,Jay Clough,43
513,Othello Rural #3,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,D,Jay Clough,38
514,Othello Rural #4,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,D,Jay Clough,33
515,Othello Rural #5,CONGRESSIONAL DISTRICT 4 U.S. Representative,4,D,Jay Clough,25
111,Ritzville Ward #1,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,86
112,Ritzville Ward #2,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,77
113,Ritzville Ward #3,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,107
114,Ritzville Ward #4,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,125
115,Ritzville Ward #5,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,112
121,Ritzville Rural NW,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,129
122,Ritzville Rural SE,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,114
123,Batum,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,80
211,Benge,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,26
212,Washtucna City #1,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,73
221,Washtucna Rural,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,65
222,Ralston,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,31
311,Lind #1,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,153
313,Hatton City,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,14
