County,Precinct,Office,Dist,Party,Candidate,Vote,
Whitman,101 TEKOA,,,,Registered,484,
Whitman,102 OAKESDALE,,,,Registered,433,
Whitman,103 FARMINGTON,,,,Registered,150,
Whitman,104 STEPTOE,,,,Registered,174,
Whitman,105 GARFIELD,,,,Registered,500,
Whitman,106 PALOUSE,,,,Registered,284,
Whitman,107 PALOUSE,,,,Registered,705,
Whitman,108 COLTON,,,,Registered,460,
Whitman,109 UNIONTOWN,,,,Registered,266,
Whitman,110 SOUTH PULLMAN,,,,Registered,683,
Whitman,111 NORTH PULLMAN,,,,Registered,216,
Whitman,112 ALBION,,,,Registered,514,
Whitman,113 PULLMAN,,,,Registered,321,
Whitman,114 PULLMAN,,,,Registered,154,
Whitman,115 PULLMAN,,,,Registered,128,
Whitman,116 PULLMAN,,,,Registered,922,
Whitman,117 PULLMAN,,,,Registered,351,
Whitman,118 PULLMAN,,,,Registered,581,
Whitman,119 PULLMAN,,,,Registered,527,
Whitman,120 PULLMAN,,,,Registered,1243,
Whitman,121 PULLMAN,,,,Registered,424,
Whitman,122 PULLMAN,,,,Registered,380,
Whitman,123 PULLMAN,,,,Registered,487,
Whitman,124 PULLMAN,,,,Registered,192,
Whitman,125 PULLMAN,,,,Registered,211,
Whitman,126 PULLMAN,,,,Registered,95,
Whitman,127 PULLMAN,,,,Registered,170,
Whitman,128 PULLMAN,,,,Registered,273,
Whitman,129 PULLMAN,,,,Registered,380,
Whitman,130 PULLMAN,,,,Registered,159,
Whitman,131 PULLMAN,,,,Registered,27,
Whitman,132 PULLMAN,,,,Registered,30,
Whitman,133 PULLMAN,,,,Registered,20,
Whitman,134 PULLMAN,,,,Registered,135,
Whitman,135 PULLMAN,,,,Registered,483,
Whitman,136 NORTH COLFAX,,,,Registered,223,
Whitman,137 SOUTH COLFAX,,,,Registered,384,
Whitman,138 WILCOX,,,,Registered,200,
Whitman,139 COLFAX,,,,Registered,388,
Whitman,140 COLFAX,,,,Registered,399,
Whitman,141 COLFAX,,,,Registered,324,
Whitman,142 COLFAX,,,,Registered,546,
Whitman,143 DUSTY,,,,Registered,59,
Whitman,144 HAY,,,,Registered,49,
Whitman,145 HOOPER,,,,Registered,43,
Whitman,146 LACROSSE,,,,Registered,337,
Whitman,147 ENDICOTT,,,,Registered,393,
Whitman,148 LAMONT,,,,Registered,117,
Whitman,149 ST JOHN,,,,Registered,695,
Whitman,150 MALDEN,,,,Registered,136,
Whitman,151 ROSALIA,,,,Registered,469,
