County,Precinct,Office,Dist,Party,Candidate,Vote,
Whitman,152 THORNTON,,,,Registered,107,
Whitman,218 PULLMAN,,,,Registered,554,
Whitman,228 PULLMAN,,,,Registered,189,
Whitman,234 PULLMAN,,,,Registered,221,
Whitman,235 PULLMAN,,,,Registered,733,
Whitman,,,,,,,
Whitman,101 TEKOA,,,,Ballots Cast,396,
Whitman,102 OAKESDALE,,,,Ballots Cast,365,
Whitman,103 FARMINGTON,,,,Ballots Cast,116,
Whitman,104 STEPTOE,,,,Ballots Cast,148,
Whitman,105 GARFIELD,,,,Ballots Cast,394,
Whitman,106 PALOUSE,,,,Ballots Cast,249,
Whitman,107 PALOUSE,,,,Ballots Cast,509,
Whitman,108 COLTON,,,,Ballots Cast,398,
Whitman,109 UNIONTOWN,,,,Ballots Cast,219,
Whitman,110 SOUTH PULLMAN,,,,Ballots Cast,562,
Whitman,111 NORTH PULLMAN,,,,Ballots Cast,161,
Whitman,112 ALBION,,,,Ballots Cast,360,
Whitman,113 PULLMAN,,,,Ballots Cast,224,
Whitman,114 PULLMAN,,,,Ballots Cast,59,
Whitman,115 PULLMAN,,,,Ballots Cast,35,
Whitman,116 PULLMAN,,,,Ballots Cast,650,
Whitman,117 PULLMAN,,,,Ballots Cast,239,
Whitman,118 PULLMAN,,,,Ballots Cast,443,
Whitman,119 PULLMAN,,,,Ballots Cast,401,
Whitman,120 PULLMAN,,,,Ballots Cast,857,
Whitman,121 PULLMAN,,,,Ballots Cast,269,
Whitman,122 PULLMAN,,,,Ballots Cast,238,
Whitman,123 PULLMAN,,,,Ballots Cast,385,
Whitman,124 PULLMAN,,,,Ballots Cast,76,
Whitman,125 PULLMAN,,,,Ballots Cast,60,
Whitman,126 PULLMAN,,,,Ballots Cast,45,
Whitman,127 PULLMAN,,,,Ballots Cast,77,
Whitman,128 PULLMAN,,,,Ballots Cast,106,
Whitman,129 PULLMAN,,,,Ballots Cast,172,
Whitman,130 PULLMAN,,,,Ballots Cast,103,
Whitman,131 PULLMAN,,,,Ballots Cast,13,
Whitman,132 PULLMAN,,,,Ballots Cast,11,
Whitman,133 PULLMAN,,,,Ballots Cast,8,
Whitman,134 PULLMAN,,,,Ballots Cast,38,
Whitman,135 PULLMAN,,,,Ballots Cast,347,
Whitman,136 NORTH COLFAX,,,,Ballots Cast,195,
Whitman,137 SOUTH COLFAX,,,,Ballots Cast,321,
Whitman,138 WILCOX,,,,Ballots Cast,179,
Whitman,139 COLFAX,,,,Ballots Cast,308,
Whitman,140 COLFAX,,,,Ballots Cast,304,
Whitman,141 COLFAX,,,,Ballots Cast,260,
Whitman,142 COLFAX,,,,Ballots Cast,421,
Whitman,143 DUSTY,,,,Ballots Cast,54,
Whitman,144 HAY,,,,Ballots Cast,43,
Whitman,145 HOOPER,,,,Ballots Cast,32,
Whitman,146 LACROSSE,,,,Ballots Cast,282,
Whitman,147 ENDICOTT,,,,Ballots Cast,320,
Whitman,148 LAMONT,,,,Ballots Cast,86,
Whitman,149 ST JOHN,,,,Ballots Cast,572,
Whitman,150 MALDEN,,,,Ballots Cast,108,
Whitman,151 ROSALIA,,,,Ballots Cast,364,
Whitman,152 THORNTON,,,,Ballots Cast,88,
Whitman,218 PULLMAN,,,,Ballots Cast,396,
Whitman,228 PULLMAN,,,,Ballots Cast,54,
Whitman,234 PULLMAN,,,,Ballots Cast,114,
Whitman,235 PULLMAN,,,,Ballots Cast,583,
Whitman,,,,,,,
Whitman,101 TEKOA,US Senator,,D,Patty Murray,144,
Whitman,102 OAKESDALE,US Senator,,D,Patty Murray,95,
Whitman,103 FARMINGTON,US Senator,,D,Patty Murray,42,
Whitman,104 STEPTOE,US Senator,,D,Patty Murray,37,
Whitman,105 GARFIELD,US Senator,,D,Patty Murray,153,
Whitman,106 PALOUSE,US Senator,,D,Patty Murray,87,
Whitman,107 PALOUSE,US Senator,,D,Patty Murray,253,
Whitman,108 COLTON,US Senator,,D,Patty Murray,122,
Whitman,109 UNIONTOWN,US Senator,,D,Patty Murray,63,
Whitman,110 SOUTH PULLMAN,US Senator,,D,Patty Murray,186,
Whitman,111 NORTH PULLMAN,US Senator,,D,Patty Murray,63,
Whitman,112 ALBION,US Senator,,D,Patty Murray,157,
Whitman,113 PULLMAN,US Senator,,D,Patty Murray,142,
Whitman,114 PULLMAN,US Senator,,D,Patty Murray,30,
Whitman,115 PULLMAN,US Senator,,D,Patty Murray,16,
Whitman,116 PULLMAN,US Senator,,D,Patty Murray,329,
Whitman,117 PULLMAN,US Senator,,D,Patty Murray,122,
Whitman,118 PULLMAN,US Senator,,D,Patty Murray,254,
Whitman,119 PULLMAN,US Senator,,D,Patty Murray,276,
Whitman,120 PULLMAN,US Senator,,D,Patty Murray,433,
Whitman,121 PULLMAN,US Senator,,D,Patty Murray,142,
Whitman,122 PULLMAN,US Senator,,D,Patty Murray,139,
Whitman,123 PULLMAN,US Senator,,D,Patty Murray,248,
Whitman,124 PULLMAN,US Senator,,D,Patty Murray,48,
Whitman,125 PULLMAN,US Senator,,D,Patty Murray,31,
Whitman,126 PULLMAN,US Senator,,D,Patty Murray,32,
Whitman,127 PULLMAN,US Senator,,D,Patty Murray,49,
Whitman,128 PULLMAN,US Senator,,D,Patty Murray,54,
Whitman,129 PULLMAN,US Senator,,D,Patty Murray,90,
Whitman,130 PULLMAN,US Senator,,D,Patty Murray,79,
Whitman,131 PULLMAN,US Senator,,D,Patty Murray,6,
Whitman,132 PULLMAN,US Senator,,D,Patty Murray,3,
Whitman,133 PULLMAN,US Senator,,D,Patty Murray,6,
Whitman,134 PULLMAN,US Senator,,D,Patty Murray,23,
Whitman,135 PULLMAN,US Senator,,D,Patty Murray,220,
Whitman,136 NORTH COLFAX,US Senator,,D,Patty Murray,49,
Whitman,137 SOUTH COLFAX,US Senator,,D,Patty Murray,68,
Whitman,138 WILCOX,US Senator,,D,Patty Murray,24,
Whitman,139 COLFAX,US Senator,,D,Patty Murray,102,
Whitman,140 COLFAX,US Senator,,D,Patty Murray,90,
Whitman,141 COLFAX,US Senator,,D,Patty Murray,80,
Whitman,142 COLFAX,US Senator,,D,Patty Murray,117,
Whitman,143 DUSTY,US Senator,,D,Patty Murray,6,
Whitman,144 HAY,US Senator,,D,Patty Murray,3,
Whitman,145 HOOPER,US Senator,,D,Patty Murray,4,
Whitman,146 LACROSSE,US Senator,,D,Patty Murray,59,
Whitman,147 ENDICOTT,US Senator,,D,Patty Murray,77,
Whitman,148 LAMONT,US Senator,,D,Patty Murray,14,
Whitman,149 ST JOHN,US Senator,,D,Patty Murray,109,
Whitman,150 MALDEN,US Senator,,D,Patty Murray,31,
Whitman,151 ROSALIA,US Senator,,D,Patty Murray,98,
Whitman,152 THORNTON,US Senator,,D,Patty Murray,22,
Whitman,218 PULLMAN,US Senator,,D,Patty Murray,202,
Whitman,228 PULLMAN,US Senator,,D,Patty Murray,25,
Whitman,234 PULLMAN,US Senator,,D,Patty Murray,56,
Whitman,235 PULLMAN,US Senator,,D,Patty Murray,366,
Whitman,101 TEKOA,US Senator,,R,Dino Rossi,235,
Whitman,102 OAKESDALE,US Senator,,R,Dino Rossi,255,
Whitman,103 FARMINGTON,US Senator,,R,Dino Rossi,68,
Whitman,104 STEPTOE,US Senator,,R,Dino Rossi,110,
Whitman,105 GARFIELD,US Senator,,R,Dino Rossi,226,
Whitman,106 PALOUSE,US Senator,,R,Dino Rossi,156,
Whitman,107 PALOUSE,US Senator,,R,Dino Rossi,243,
Whitman,108 COLTON,US Senator,,R,Dino Rossi,257,
Whitman,109 UNIONTOWN,US Senator,,R,Dino Rossi,150,
Whitman,110 SOUTH PULLMAN,US Senator,,R,Dino Rossi,366,
Whitman,111 NORTH PULLMAN,US Senator,,R,Dino Rossi,90,
Whitman,112 ALBION,US Senator,,R,Dino Rossi,189,
Whitman,113 PULLMAN,US Senator,,R,Dino Rossi,72,
Whitman,114 PULLMAN,US Senator,,R,Dino Rossi,25,
Whitman,115 PULLMAN,US Senator,,R,Dino Rossi,17,
Whitman,116 PULLMAN,US Senator,,R,Dino Rossi,306,
Whitman,117 PULLMAN,US Senator,,R,Dino Rossi,113,
Whitman,118 PULLMAN,US Senator,,R,Dino Rossi,186,
Whitman,119 PULLMAN,US Senator,,R,Dino Rossi,117,
Whitman,120 PULLMAN,US Senator,,R,Dino Rossi,410,
Whitman,121 PULLMAN,US Senator,,R,Dino Rossi,119,
Whitman,122 PULLMAN,US Senator,,R,Dino Rossi,84,
Whitman,123 PULLMAN,US Senator,,R,Dino Rossi,132,
Whitman,124 PULLMAN,US Senator,,R,Dino Rossi,26,
Whitman,125 PULLMAN,US Senator,,R,Dino Rossi,21,
Whitman,126 PULLMAN,US Senator,,R,Dino Rossi,13,
Whitman,127 PULLMAN,US Senator,,R,Dino Rossi,26,
Whitman,128 PULLMAN,US Senator,,R,Dino Rossi,47,
Whitman,129 PULLMAN,US Senator,,R,Dino Rossi,77,
Whitman,130 PULLMAN,US Senator,,R,Dino Rossi,20,
Whitman,131 PULLMAN,US Senator,,R,Dino Rossi,7,
Whitman,132 PULLMAN,US Senator,,R,Dino Rossi,7,
Whitman,133 PULLMAN,US Senator,,R,Dino Rossi,2,
Whitman,134 PULLMAN,US Senator,,R,Dino Rossi,14,
Whitman,135 PULLMAN,US Senator,,R,Dino Rossi,119,
Whitman,136 NORTH COLFAX,US Senator,,R,Dino Rossi,142,
Whitman,137 SOUTH COLFAX,US Senator,,R,Dino Rossi,249,
Whitman,138 WILCOX,US Senator,,R,Dino Rossi,151,
Whitman,139 COLFAX,US Senator,,R,Dino Rossi,194,
Whitman,140 COLFAX,US Senator,,R,Dino Rossi,203,
Whitman,141 COLFAX,US Senator,,R,Dino Rossi,174,
Whitman,142 COLFAX,US Senator,,R,Dino Rossi,295,
Whitman,143 DUSTY,US Senator,,R,Dino Rossi,46,
Whitman,144 HAY,US Senator,,R,Dino Rossi,38,
Whitman,145 HOOPER,US Senator,,R,Dino Rossi,28,
Whitman,146 LACROSSE,US Senator,,R,Dino Rossi,210,
Whitman,147 ENDICOTT,US Senator,,R,Dino Rossi,235,
Whitman,148 LAMONT,US Senator,,R,Dino Rossi,68,
Whitman,149 ST JOHN,US Senator,,R,Dino Rossi,433,
Whitman,150 MALDEN,US Senator,,R,Dino Rossi,70,
Whitman,151 ROSALIA,US Senator,,R,Dino Rossi,257,
Whitman,152 THORNTON,US Senator,,R,Dino Rossi,65,
Whitman,218 PULLMAN,US Senator,,R,Dino Rossi,188,
Whitman,228 PULLMAN,US Senator,,R,Dino Rossi,27,
Whitman,234 PULLMAN,US Senator,,R,Dino Rossi,56,
Whitman,235 PULLMAN,US Senator,,R,Dino Rossi,210,
Whitman,101 TEKOA,US Senator,,,WRITE-IN,5,
Whitman,102 OAKESDALE,US Senator,,,WRITE-IN,5,
Whitman,103 FARMINGTON,US Senator,,,WRITE-IN,0,
Whitman,104 STEPTOE,US Senator,,,WRITE-IN,1,
Whitman,105 GARFIELD,US Senator,,,WRITE-IN,3,
Whitman,106 PALOUSE,US Senator,,,WRITE-IN,0,
Whitman,107 PALOUSE,US Senator,,,WRITE-IN,5,
Whitman,108 COLTON,US Senator,,,WRITE-IN,6,
Whitman,109 UNIONTOWN,US Senator,,,WRITE-IN,1,
Whitman,110 SOUTH PULLMAN,US Senator,,,WRITE-IN,3,
Whitman,111 NORTH PULLMAN,US Senator,,,WRITE-IN,2,
Whitman,112 ALBION,US Senator,,,WRITE-IN,4,
Whitman,113 PULLMAN,US Senator,,,WRITE-IN,5,
Whitman,114 PULLMAN,US Senator,,,WRITE-IN,2,
Whitman,115 PULLMAN,US Senator,,,WRITE-IN,0,
Whitman,116 PULLMAN,US Senator,,,WRITE-IN,5,
Whitman,117 PULLMAN,US Senator,,,WRITE-IN,1,
Whitman,118 PULLMAN,US Senator,,,WRITE-IN,2,
Whitman,119 PULLMAN,US Senator,,,WRITE-IN,2,
Whitman,120 PULLMAN,US Senator,,,WRITE-IN,2,
Whitman,121 PULLMAN,US Senator,,,WRITE-IN,1,
Whitman,122 PULLMAN,US Senator,,,WRITE-IN,5,
Whitman,123 PULLMAN,US Senator,,,WRITE-IN,1,
Whitman,124 PULLMAN,US Senator,,,WRITE-IN,0,
Whitman,125 PULLMAN,US Senator,,,WRITE-IN,5,
Whitman,126 PULLMAN,US Senator,,,WRITE-IN,0,
Whitman,127 PULLMAN,US Senator,,,WRITE-IN,1,
Whitman,128 PULLMAN,US Senator,,,WRITE-IN,4,
Whitman,129 PULLMAN,US Senator,,,WRITE-IN,3,
Whitman,130 PULLMAN,US Senator,,,WRITE-IN,0,
Whitman,131 PULLMAN,US Senator,,,WRITE-IN,0,
Whitman,132 PULLMAN,US Senator,,,WRITE-IN,0,
Whitman,133 PULLMAN,US Senator,,,WRITE-IN,0,
Whitman,134 PULLMAN,US Senator,,,WRITE-IN,0,
Whitman,135 PULLMAN,US Senator,,,WRITE-IN,0,
Whitman,136 NORTH COLFAX,US Senator,,,WRITE-IN,1,
Whitman,137 SOUTH COLFAX,US Senator,,,WRITE-IN,2,
Whitman,138 WILCOX,US Senator,,,WRITE-IN,1,
Whitman,139 COLFAX,US Senator,,,WRITE-IN,5,
Whitman,140 COLFAX,US Senator,,,WRITE-IN,4,
Whitman,141 COLFAX,US Senator,,,WRITE-IN,2,
Whitman,142 COLFAX,US Senator,,,WRITE-IN,4,
Whitman,143 DUSTY,US Senator,,,WRITE-IN,0,
Whitman,144 HAY,US Senator,,,WRITE-IN,0,
Whitman,145 HOOPER,US Senator,,,WRITE-IN,0,
Whitman,146 LACROSSE,US Senator,,,WRITE-IN,1,
Whitman,147 ENDICOTT,US Senator,,,WRITE-IN,2,
Whitman,148 LAMONT,US Senator,,,WRITE-IN,1,
Whitman,149 ST JOHN,US Senator,,,WRITE-IN,6,
Whitman,150 MALDEN,US Senator,,,WRITE-IN,4,
Whitman,151 ROSALIA,US Senator,,,WRITE-IN,3,
Whitman,152 THORNTON,US Senator,,,WRITE-IN,0,
Whitman,218 PULLMAN,US Senator,,,WRITE-IN,0,
Whitman,228 PULLMAN,US Senator,,,WRITE-IN,1,
Whitman,234 PULLMAN,US Senator,,,WRITE-IN,1,
Whitman,235 PULLMAN,US Senator,,,WRITE-IN,3,
Whitman,,,,,,,
Whitman,101 TEKOA,Congress 5,CD5,R,Cathy McMorris Rodgers,273,
Whitman,102 OAKESDALE,Congress 5,CD5,R,Cathy McMorris Rodgers,275,
Whitman,103 FARMINGTON,Congress 5,CD5,R,Cathy McMorris Rodgers,78,
Whitman,104 STEPTOE,Congress 5,CD5,R,Cathy McMorris Rodgers,103,
Whitman,105 GARFIELD,Congress 5,CD5,R,Cathy McMorris Rodgers,250,
Whitman,106 PALOUSE,Congress 5,CD5,R,Cathy McMorris Rodgers,162,
Whitman,107 PALOUSE,Congress 5,CD5,R,Cathy McMorris Rodgers,282,
Whitman,108 COLTON,Congress 5,CD5,R,Cathy McMorris Rodgers,298,
Whitman,109 UNIONTOWN,Congress 5,CD5,R,Cathy McMorris Rodgers,158,
Whitman,110 SOUTH PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,377,
Whitman,111 NORTH PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,110,
Whitman,112 ALBION,Congress 5,CD5,R,Cathy McMorris Rodgers,216,
Whitman,113 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,99,
Whitman,114 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,26,
Whitman,115 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,16,
Whitman,116 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,347,
Whitman,117 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,132,
Whitman,118 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,203,
Whitman,119 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,146,
Whitman,120 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,465,
Whitman,121 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,122,
Whitman,122 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,100,
Whitman,123 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,160,
Whitman,124 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,29,
Whitman,125 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,25,
Whitman,126 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,15,
Whitman,127 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,31,
Whitman,128 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,56,
Whitman,129 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,81,
Whitman,130 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,28,
Whitman,131 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,6,
Whitman,132 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,6,
Whitman,133 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,3,
Whitman,134 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,16,
Whitman,135 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,127,
Whitman,136 NORTH COLFAX,Congress 5,CD5,R,Cathy McMorris Rodgers,162,
Whitman,137 SOUTH COLFAX,Congress 5,CD5,R,Cathy McMorris Rodgers,252,
Whitman,138 WILCOX,Congress 5,CD5,R,Cathy McMorris Rodgers,160,
Whitman,139 COLFAX,Congress 5,CD5,R,Cathy McMorris Rodgers,208,
Whitman,140 COLFAX,Congress 5,CD5,R,Cathy McMorris Rodgers,215,
Whitman,141 COLFAX,Congress 5,CD5,R,Cathy McMorris Rodgers,185,
Whitman,142 COLFAX,Congress 5,CD5,R,Cathy McMorris Rodgers,321,
Whitman,143 DUSTY,Congress 5,CD5,R,Cathy McMorris Rodgers,51,
Whitman,144 HAY,Congress 5,CD5,R,Cathy McMorris Rodgers,39,
Whitman,145 HOOPER,Congress 5,CD5,R,Cathy McMorris Rodgers,26,
Whitman,146 LACROSSE,Congress 5,CD5,R,Cathy McMorris Rodgers,231,
Whitman,147 ENDICOTT,Congress 5,CD5,R,Cathy McMorris Rodgers,243,
Whitman,148 LAMONT,Congress 5,CD5,R,Cathy McMorris Rodgers,75,
Whitman,149 ST JOHN,Congress 5,CD5,R,Cathy McMorris Rodgers,441,
Whitman,150 MALDEN,Congress 5,CD5,R,Cathy McMorris Rodgers,65,
Whitman,151 ROSALIA,Congress 5,CD5,R,Cathy McMorris Rodgers,255,
Whitman,152 THORNTON,Congress 5,CD5,R,Cathy McMorris Rodgers,62,
Whitman,218 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,213,
Whitman,228 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,32,
Whitman,234 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,61,
Whitman,235 PULLMAN,Congress 5,CD5,R,Cathy McMorris Rodgers,264,
Whitman,101 TEKOA,Congress 5,CD5,D,Daryl Romeyn,112,
Whitman,102 OAKESDALE,Congress 5,CD5,D,Daryl Romeyn,80,
Whitman,103 FARMINGTON,Congress 5,CD5,D,Daryl Romeyn,36,
Whitman,104 STEPTOE,Congress 5,CD5,D,Daryl Romeyn,43,
Whitman,105 GARFIELD,Congress 5,CD5,D,Daryl Romeyn,135,
Whitman,106 PALOUSE,Congress 5,CD5,D,Daryl Romeyn,82,
Whitman,107 PALOUSE,Congress 5,CD5,D,Daryl Romeyn,206,
Whitman,108 COLTON,Congress 5,CD5,D,Daryl Romeyn,93,
Whitman,109 UNIONTOWN,Congress 5,CD5,D,Daryl Romeyn,51,
Whitman,110 SOUTH PULLMAN,Congress 5,CD5,D,Daryl Romeyn,171,
Whitman,111 NORTH PULLMAN,Congress 5,CD5,D,Daryl Romeyn,49,
Whitman,112 ALBION,Congress 5,CD5,D,Daryl Romeyn,133,
Whitman,113 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,119,
Whitman,114 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,25,
Whitman,115 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,13,
Whitman,116 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,286,
Whitman,117 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,100,
Whitman,118 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,228,
Whitman,119 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,240,
Whitman,120 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,361,
Whitman,121 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,141,
Whitman,122 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,122,
Whitman,123 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,217,
Whitman,124 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,44,
Whitman,125 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,28,
Whitman,126 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,27,
Whitman,127 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,41,
Whitman,128 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,44,
Whitman,129 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,86,
Whitman,130 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,67,
Whitman,131 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,5,
Whitman,132 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,4,
Whitman,133 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,5,
Whitman,134 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,19,
Whitman,135 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,206,
Whitman,136 NORTH COLFAX,Congress 5,CD5,D,Daryl Romeyn,30,
Whitman,137 SOUTH COLFAX,Congress 5,CD5,D,Daryl Romeyn,62,
Whitman,138 WILCOX,Congress 5,CD5,D,Daryl Romeyn,17,
Whitman,139 COLFAX,Congress 5,CD5,D,Daryl Romeyn,92,
Whitman,140 COLFAX,Congress 5,CD5,D,Daryl Romeyn,79,
Whitman,141 COLFAX,Congress 5,CD5,D,Daryl Romeyn,66,
Whitman,142 COLFAX,Congress 5,CD5,D,Daryl Romeyn,91,
Whitman,143 DUSTY,Congress 5,CD5,D,Daryl Romeyn,2,
Whitman,144 HAY,Congress 5,CD5,D,Daryl Romeyn,3,
Whitman,145 HOOPER,Congress 5,CD5,D,Daryl Romeyn,6,
Whitman,146 LACROSSE,Congress 5,CD5,D,Daryl Romeyn,43,
Whitman,147 ENDICOTT,Congress 5,CD5,D,Daryl Romeyn,70,
Whitman,148 LAMONT,Congress 5,CD5,D,Daryl Romeyn,9,
Whitman,149 ST JOHN,Congress 5,CD5,D,Daryl Romeyn,118,
Whitman,150 MALDEN,Congress 5,CD5,D,Daryl Romeyn,41,
Whitman,151 ROSALIA,Congress 5,CD5,D,Daryl Romeyn,103,
Whitman,152 THORNTON,Congress 5,CD5,D,Daryl Romeyn,24,
Whitman,218 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,169,
Whitman,228 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,19,
Whitman,234 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,48,
Whitman,235 PULLMAN,Congress 5,CD5,D,Daryl Romeyn,301,
Whitman,101 TEKOA,Congress 5,CD5,NON,WRITE-IN,0,
Whitman,102 OAKESDALE,Congress 5,CD5,NON,WRITE-IN,3,
Whitman,103 FARMINGTON,Congress 5,CD5,NON,WRITE-IN,0,
Whitman,104 STEPTOE,Congress 5,CD5,NON,WRITE-IN,1,
Whitman,105 GARFIELD,Congress 5,CD5,NON,WRITE-IN,2,
Whitman,106 PALOUSE,Congress 5,CD5,NON,WRITE-IN,0,
Whitman,107 PALOUSE,Congress 5,CD5,NON,WRITE-IN,4,
Whitman,108 COLTON,Congress 5,CD5,NON,WRITE-IN,0,
Whitman,109 UNIONTOWN,Congress 5,CD5,NON,WRITE-IN,1,
Whitman,110 SOUTH PULLMAN,Congress 5,CD5,NON,WRITE-IN,0,
Whitman,111 NORTH PULLMAN,Congress 5,CD5,NON,WRITE-IN,0,
Whitman,112 ALBION,Congress 5,CD5,NON,WRITE-IN,0,
Whitman,113 PULLMAN,Congress 5,CD5,NON,WRITE-IN,0,
Whitman,114 PULLMAN,Congress 5,CD5,NON,WRITE-IN,1,
Whitman,115 PULLMAN,Congress 5,CD5,NON,WRITE-IN,0,
Whitman,116 PULLMAN,Congress 5,CD5,NON,WRITE-IN,1,
Whitman,117 PULLMAN,Congress 5,CD5,NON,WRITE-IN,0,
Whitman,118 PULLMAN,Congress 5,CD5,NON,WRITE-IN,0,
Whitman,119 PULLMAN,Congress 5,CD5,NON,WRITE-IN,1,
Whitman,120 PULLMAN,Congress 5,CD5,NON,WRITE-IN,4,
Whitman,121 PULLMAN,Congress 5,CD5,NON,WRITE-IN,1,
Whitman,122 PULLMAN,Congress 5,CD5,NON,WRITE-IN,4,
Whitman,123 PULLMAN,Congress 5,CD5,NON,WRITE-IN,0,
Whitman,124 PULLMAN,Congress 5,CD5,NON,WRITE-IN,0,
