,,,,,,,,,
YAKIMA,0101,,,,Registered,730,,,
YAKIMA,0104,,,,Registered,674,,,
YAKIMA,0110,,,,Registered,1291,,,
YAKIMA,0111,,,,Registered,1180,,,
YAKIMA,0116,,,,Registered,182,,,
YAKIMA,0118,,,,Registered,286,,,
YAKIMA,0120,,,,Registered,878,,,
YAKIMA,0126,,,,Registered,903,,,
YAKIMA,0127,,,,Registered,837,,,
YAKIMA,0129,,,,Registered,1018,,,
YAKIMA,0131,,,,Registered,1379,,,
YAKIMA,0133,,,,Registered,1465,,,
YAKIMA,0134,,,,Registered,1508,,,
YAKIMA,0138,,,,Registered,2215,,,
YAKIMA,0142,,,,Registered,1475,,,
YAKIMA,0154,,,,Registered,1588,,,
YAKIMA,0155,,,,Registered,1245,,,
YAKIMA,0156,,,,Registered,1011,,,
YAKIMA,0162,,,,Registered,648,,,
YAKIMA,0163,,,,Registered,1350,,,
YAKIMA,0165,,,,Registered,19,,,
YAKIMA,0169,,,,Registered,1712,,,
YAKIMA,0170,,,,Registered,1674,,,
YAKIMA,0179,,,,Registered,1863,,,
YAKIMA,0181,,,,Registered,1010,,,
YAKIMA,0182,,,,Registered,1627,,,
YAKIMA,0184,,,,Registered,820,,,
YAKIMA,0186,,,,Registered,1156,,,
GRANDVIEW,0301,,,,Registered,203,,,
GRANDVIEW,0302,,,,Registered,757,,,
GRANDVIEW,0303,,,,Registered,699,,,
GRANDVIEW,0304,,,,Registered,143,,,
GRANDVIEW,0305,,,,Registered,20,,,
GRANDVIEW 0306,,,,,Registered,738,,,
GRANGER,0501,,,,Registered,577,,,
HARRAH,0701,,,,Registered,184,,,
MABTON,0901,,,,Registered,459,,,
MOXEE,1101,,,,Registered,465,,,
NACHES,1301,,,,Registered,364,,,
SELAH,1501,,,,Registered,664,,,
SELAH,1502,,,,Registered,735,,,
SELAH,1503,,,,Registered,648,,,
SELAH,1504,,,,Registered,749,,,
SUNNYSIDE,1701,,,,Registered,695,,,
SUNNYSIDE,1702,,,,Registered,10,,,
