county,precinct,office,district,party,race,votes,
Thurston,0037   WILSON,,,,Registration,7,
Thurston,0038   DELTA,,,,Registration,10,
Thurston,0039   JONES  BEACH,,,,Registration,300,
Thurston,0040   SIMMONS 7,,,,Registration,2,
Thurston,0041   SIMMONS 8,,,,Registration,1,
Thurston,0042   SIMMONS 9,,,,Registration,12,
Thurston,0043   UNIVERSITY  NORTH,,,,Registration,348,
Thurston,0044   STEAMBOAT  ISLAND,,,,Registration,389,
Thurston,0045   ROCKY   PRAIRIE,,,,Registration,481,
Thurston,0046   LAWRENCE  LAKE  NORTH,,,,Registration,505,
Thurston,0047   WOODARD  CREEK,,,,Registration,404,
Thurston,0048   MICHIGAN  HILL,,,,Registration,366,
Thurston,0049   SCOTT  LAKE  SOUTH,,,,Registration,497,
Thurston,0050   SALMON  CREEK,,,,Registration,368,
Thurston,0051   SPURGEON  CREEK,,,,Registration,698,
Thurston,0052   JAMES,,,,Registration,597,
Thurston,0053   VAIL,,,,Registration,583,
Thurston,0054   ROCHESTER 5,,,,Registration,650,
Thurston,0055   ROCHESTER 4,,,,Registration,503,
Thurston,0056   ALDERGLEN,,,,Registration,347,
Thurston,0057   MEDICINE  CREEK,,,,Registration,376,
Thurston,0058   SKOKOMISH,,,,Registration,410,
Thurston,0059   PLEASANT  HILL,,,,Registration,668,
Thurston,0060   SMITH   PRAIRIE,,,,Registration,514,
Thurston,0061   BELMORE,,,,Registration,864,
Thurston,0062   BLACK  RIVER,,,,Registration,540,
Thurston,0063   AMES,,,,Registration,451,
Thurston,0064   AIRPORT,,,,Registration,33,
Thurston,0065   LUHR  BEACH,,,,Registration,576,
Thurston,0066   FISH  TRAP,,,,Registration,388,
Thurston,0067  DENNIS,,,,Registration,0,
Thurston,0068   SIMMONS,,,,Registration,4,
Thurston,0069   SIMMONS 3,,,,Registration,38,
Thurston,0070   SIMMONS 4,,,,Registration,49,
Thurston,0071   SIMMONS 5,,,,Registration,1,
Thurston,0072   SIMMONS 6,,,,Registration,0,
Thurston,0073   SULENES 2,,,,Registration,22,
Thurston,0074   PINES,,,,Registration,670,
Thurston,0075   LONG  LAKE,,,,Registration,141,
