number,name,office,district,party,candidate,total,poll,absentee
101,Gardiner 1,Congress 6,CD6,D,Norm Dicks,56,56,0
102,Gardiner 2,Congress 6,CD6,D,Norm Dicks,29,29,0
103,Gardiner 3,Congress 6,CD6,D,Norm Dicks,11,11,0
104,Cape George,Congress 6,CD6,D,Norm Dicks,570,216,354
105,S Discovery,Congress 6,CD6,D,Norm Dicks,332,102,230
106,North Jacob,Congress 6,CD6,D,Norm Dicks,118,47,71
107,Eaglemount,Congress 6,CD6,D,Norm Dicks,23,23,
108,Port Discovery,Congress 6,CD6,D,Norm Dicks,51,51,
109,Crocker Lake,Congress 6,CD6,D,Norm Dicks,29,29,
110,Leland,Congress 6,CD6,D,Norm Dicks,43,43,
200,Coyle 1,Congress 6,CD6,D,Norm Dicks,77,77,
201,Quilcene,Congress 6,CD6,D,Norm Dicks,257,88,169
203,Coyle 2,Congress 6,CD6,D,Norm Dicks,50,50,
204,Brinnon,Congress 6,CD6,D,Norm Dicks,371,71,300
206,Thorndyke,Congress 6,CD6,D,Norm Dicks,28,28,
301,Chimacum,Congress 6,CD6,D,Norm Dicks,304,103,201
302,Center,Congress 6,CD6,D,Norm Dicks,267,103,164
303,Hadlock,Congress 6,CD6,D,Norm Dicks,543,202,341
304,Kala Point,Congress 6,CD6,D,Norm Dicks,342,118,224
305,Irondale,Congress 6,CD6,D,Norm Dicks,236,69,167
401,Nordland,Congress 6,CD6,D,Norm Dicks,311,112,199
501,N Port Ludlow,Congress 6,CD6,D,Norm Dicks,658,179,479
502,S Port Ludlow,Congress 6,CD6,D,Norm Dicks,472,96,376
503,Shine,Congress 6,CD6,D,Norm Dicks,229,64,165
600,Hoh,Congress 6,CD6,D,Norm Dicks,32,32,
601,Queets,Congress 6,CD6,D,Norm Dicks,31,31,
701,Port Townsend 1,Congress 6,CD6,D,Norm Dicks,610,251,359
702,Port Townsend 2,Congress 6,CD6,D,Norm Dicks,756,269,487
