Number,Precinct Name,Office,District,Party,Candidate,Ballots,Poll,Absentee
Franklin,01 Pasco,,,,,780,,
Franklin,02 Pasco,,,,,386,,
Franklin,03 Pasco,,,,,522,,
Franklin,04 Pasco,,,,,360,,
Franklin,05 Pasco,,,,,255,,
Franklin,06 Pasco,,,,,395,,
Franklin,07 Pasco,,,,,298,,
Franklin,08 Pasco,,,,,200,,
Franklin,09 Pasco,,,,,133,,
Franklin,10 Pasco,,,,,528,,
Franklin,11 Pasco,,,,,671,,
Franklin,12 Pasco,,,,,761,,
Franklin,13 Pasco,,,,,277,,
Franklin,14 Pasco,,,,,437,,
Franklin,15 Pasco,,,,,206,,
Franklin,16 Pasco,,,,,80,,
Franklin,17 Pasco,,,,,178,,
Franklin,18 Pasco,,,,,120,,
Franklin,19 Pasco,,,,,157,,
Franklin,20 Pasco,,,,,136,,
Franklin,21 Pasco,,,,,136,,
Franklin,22 Pasco,,,,,236,,
Franklin,23 Pasco,,,,,581,,
Franklin,24 Pasco,,,,,687,,
Franklin,25 Pasco,,,,,121,,
Franklin,26 Pasco,,,,,145,,
Franklin,27 Pasco,,,,,111,,
Franklin,28 Pasco,,,,,125,,
Franklin,29 Pasco,,,,,358,,
Franklin,30 Pasco,,,,,94,,
Franklin,31 Pasco,,,,,647,,
Franklin,32 Pasco,,,,,636,,
Franklin,33 Pasco,,,,,484,,
Franklin,34,,,,,16,,
Franklin,35,,,,,84,,
Franklin,36,,,,,207,,
Franklin,37,,,,,236,,
Franklin,38,,,,,76,,
Franklin,39,,,,,152,,
Franklin,40,,,,,264,,
Franklin,41,,,,,494,,
Franklin,42,,,,,327,,
Franklin,43,,,,,207,,
Franklin,44,,,,,149,,
Franklin,45,,,,,142,,
Franklin,46,,,,,244,,
Franklin,47,,,,,289,,
Franklin,48,,,,,276,,
Franklin,49,,,,,65,,
Franklin,50,,,,,109,,
Franklin,51,,,,,136,,
Franklin,52,,,,,150,,
Franklin,53,,,,,149,,
Franklin,54,,,,,310,,
Franklin,55,,,,,108,,
Franklin,56,,,,,171,,
Franklin,57,,,,,127,,
Franklin,58,,,,,170,,
Franklin,59,,,,,106,,
Franklin,60,,,,,78,,
Franklin,61,,,,,132,,
Franklin,62,,,,,106,,
Franklin,63,,,,,171,,
Franklin,64,,,,,297,,
Franklin,65,,,,,43,,
Franklin,66,,,,,253,,
Franklin,67,,,,,276,,
Franklin,68,,,,,98,,
Franklin,69,,,,,167,,
Franklin,70,,,,,85,,
Franklin,71,,,,,101,,
Franklin,72,,,,,128,,
Franklin,73,,,,,221,,
FRANKLIN WA,FRANKLIN WA,,,,,18161,,
Number,Precinct Name,Office,District,Party,Candidate,Ballots,Poll,Absentee
Franklin,01 Pasco,,,,,218,29,189
Franklin,02 Pasco,,,,,118,11,107
Franklin,03 Pasco,,,,,147,49,98
Franklin,04 Pasco,,,,,158,58,100
Franklin,05 Pasco,,,,,115,50,65
Franklin,06 Pasco,,,,,160,22,138
Franklin,07 Pasco,,,,,105,26,79
Franklin,08 Pasco,,,,,174,174,0
Franklin,09 Pasco,,,,,70,70,0
Franklin,10 Pasco,,,,,242,85,157
Franklin,11 Pasco,,,,,319,126,193
Franklin,12 Pasco,,,,,297,136,161
Franklin,13 Pasco,,,,,132,132,0
Franklin,14 Pasco,,,,,239,105,134
Franklin,15 Pasco,,,,,135,135,
Franklin,16 Pasco,,,,,59,59,
Franklin,17 Pasco,,,,,135,135,
Franklin,18 Pasco,,,,,86,86,
Franklin,19 Pasco,,,,,111,111,
Franklin,20 Pasco,,,,,87,87,
Franklin,21 Pasco,,,,,88,88,
Franklin,22 Pasco,,,,,148,148,
Franklin,23 Pasco,,,,,333,127,206
Franklin,24 Pasco,,,,,444,158,286
Franklin,25 Pasco,,,,,96,96,
Franklin,26 Pasco,,,,,118,118,
Franklin,27 Pasco,,,,,93,93,
Franklin,28 Pasco,,,,,96,96,
Franklin,29 Pasco,,,,,229,41,188
Franklin,30 Pasco,,,,,69,4,65
Franklin,31 Pasco,,,,,364,43,321
Franklin,32 Pasco,,,,,377,172,205
Franklin,33 Pasco,,,,,285,120,165
Franklin,34,,,,,14,14,0
Franklin,35,,,,,70,70,0
Franklin,36,,,,,169,169,0
Franklin,37,,,,,193,193,0
Franklin,38,,,,,50,12,38
Franklin,39,,,,,90,29,61
Franklin,40,,,,,171,70,101
Franklin,41,,,,,275,125,150
Franklin,42,,,,,208,81,127
Franklin,43,,,,,114,37,77
Franklin,44,,,,,121,121,
Franklin,45,,,,,108,108,
Franklin,46,,,,,146,146,
Franklin,47,,,,,178,178,
Franklin,48,,,,,186,186,
Franklin,49,,,,,47,47,
Franklin,50,,,,,77,77,
Franklin,51,,,,,82,82,
Franklin,52,,,,,103,103,
Franklin,53,,,,,109,109,
Franklin,54,,,,,208,208,
Franklin,55,,,,,75,75,
Franklin,56,,,,,111,111,
Franklin,57,,,,,63,63,
Franklin,58,,,,,104,104,
Franklin,59,,,,,65,65,
Franklin,60,,,,,41,41,
Franklin,61,,,,,88,88,
Franklin,62,,,,,63,63,
Franklin,63,,,,,104,104,
Franklin,64,,,,,134,80,54
Franklin,65,,,,,14,5,9
Franklin,66,,,,,130,65,65
Franklin,67,,,,,149,84,65
Franklin,68,,,,,65,65,
Franklin,69,,,,,120,120,
Franklin,70,,,,,52,52,
Franklin,71,,,,,67,67,
Franklin,72,,,,,87,87,
Franklin,73,,,,,130,130,
FRANKLIN WA,FRANKLIN WA,,,,,10228,6624,3604
Number,Precinct Name,Office,District,Party,Candidate,Ballots,Poll,Absentee
Franklin,01 Pasco,Congress 4,CD4,D,Craig Mason,105,15,90
Franklin,02 Pasco,Congress 4,CD4,D,Craig Mason,68,7,61
Franklin,03 Pasco,Congress 4,CD4,D,Craig Mason,69,17,52
Franklin,04 Pasco,Congress 4,CD4,D,Craig Mason,77,25,52
Franklin,05 Pasco,Congress 4,CD4,D,Craig Mason,43,22,21
Franklin,06 Pasco,Congress 4,CD4,D,Craig Mason,84,13,71
Franklin,07 Pasco,Congress 4,CD4,D,Craig Mason,52,12,40
Franklin,08 Pasco,Congress 4,CD4,D,Craig Mason,51,51,
Franklin,09 Pasco,Congress 4,CD4,D,Craig Mason,32,32,
Franklin,10 Pasco,Congress 4,CD4,D,Craig Mason,101,36,65
Franklin,11 Pasco,Congress 4,CD4,D,Craig Mason,133,60,73
Franklin,12 Pasco,Congress 4,CD4,D,Craig Mason,138,62,76
Franklin,13 Pasco,Congress 4,CD4,D,Craig Mason,47,47,
Franklin,14 Pasco,Congress 4,CD4,D,Craig Mason,87,28,59
Franklin,15 Pasco,Congress 4,CD4,D,Craig Mason,63,63,
Franklin,16 Pasco,Congress 4,CD4,D,Craig Mason,25,25,
Franklin,17 Pasco,Congress 4,CD4,D,Craig Mason,51,51,
Franklin,18 Pasco,Congress 4,CD4,D,Craig Mason,19,19,
Franklin,19 Pasco,Congress 4,CD4,D,Craig Mason,45,45,
Franklin,20 Pasco,Congress 4,CD4,D,Craig Mason,39,39,
Franklin,21 Pasco,Congress 4,CD4,D,Craig Mason,32,32,
Franklin,22 Pasco,Congress 4,CD4,D,Craig Mason,48,48,
Franklin,23 Pasco,Congress 4,CD4,D,Craig Mason,91,34,57
Franklin,24 Pasco,Congress 4,CD4,D,Craig Mason,130,50,80
Franklin,25 Pasco,Congress 4,CD4,D,Craig Mason,30,30,
Franklin,26 Pasco,Congress 4,CD4,D,Craig Mason,12,12,
Franklin,27 Pasco,Congress 4,CD4,D,Craig Mason,23,23,
Franklin,28 Pasco,Congress 4,CD4,D,Craig Mason,26,26,
Franklin,29 Pasco,Congress 4,CD4,D,Craig Mason,60,13,47
Franklin,30 Pasco,Congress 4,CD4,D,Craig Mason,24,0,24
Franklin,31 Pasco,Congress 4,CD4,D,Craig Mason,88,9,79
Franklin,32 Pasco,Congress 4,CD4,D,Craig Mason,121,43,78
Franklin,33 Pasco,Congress 4,CD4,D,Craig Mason,75,36,39
Franklin,34,Congress 4,CD4,D,Craig Mason,1,1,
